,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,304.150,254.031,21.231,25.886,3.060,0.015,0.000,0.015,17.045,371.800,-67.650,205.765,138.116,0.497,0.277,0.167,0.182,0.223,0.001,0.005,0.001,0.224,0.011,0.217,1.090,0.011,0.002,0.004,0.005,0.010,0.020,0.488,0.010,0.006,0.357,130.369,47.159,
2015-2045_DJF,261.746,190.306,11.035,39.940,3.026,0.022,0.000,0.022,6.734,320.370,-58.624,154.148,95.524,0.344,0.145,0.089,0.101,0.345,0.005,0.019,0.005,0.350,0.023,0.360,2.463,0.020,0.006,0.008,0.006,0.019,0.040,0.565,0.020,-0.015,0.538,196.411,57.740,2030.005
2015-2045_MAM,305.421,273.178,21.287,26.263,3.051,0.023,0.000,0.023,17.181,371.286,-65.864,221.274,155.410,0.559,0.283,0.160,0.202,0.386,0.000,0.000,0.000,0.386,0.015,0.380,1.190,0.014,0.002,0.006,0.007,0.015,0.029,0.713,0.014,0.006,0.556,202.876,58.886,2030.000
2015-2045_JJA,348.937,315.311,30.599,14.068,3.227,0.002,0.000,0.002,26.921,423.277,-74.340,255.402,181.062,0.652,0.415,0.252,0.265,0.009,0.000,0.000,0.000,0.009,0.000,0.009,0.018,0.004,0.000,0.000,0.004,0.000,0.000,0.441,0.003,-0.001,0.054,19.757,15.132,2030.000
2015-2045_SON,299.627,235.905,21.812,23.516,2.933,0.012,0.000,0.012,17.146,371.268,-71.641,191.083,119.442,0.430,0.265,0.165,0.158,0.155,0.000,0.000,0.000,0.155,0.008,0.122,0.710,0.006,0.001,0.002,0.002,0.007,0.013,0.232,0.005,0.033,0.283,103.412,57.190,2030.000
2045-2075_annual,306.313,255.401,21.611,25.519,3.078,0.015,0.000,0.015,17.434,373.827,-67.514,206.875,139.361,0.502,0.282,0.171,0.184,0.228,0.001,0.002,0.001,0.228,0.009,0.219,1.009,0.009,0.001,0.004,0.005,0.010,0.019,0.478,0.008,0.009,0.350,127.671,44.661,
2045-2075_DJF,262.775,191.756,11.421,39.317,3.004,0.020,0.000,0.020,7.096,322.025,-59.249,155.322,96.073,0.346,0.148,0.091,0.102,0.314,0.003,0.007,0.003,0.317,0.009,0.316,1.947,0.008,0.000,0.003,0.004,0.009,0.017,0.440,0.007,-0.002,0.488,178.089,60.192,2060.000
2045-2075_MAM,306.811,275.769,21.606,26.105,3.054,0.025,0.000,0.025,17.528,373.121,-66.311,223.373,157.062,0.565,0.286,0.163,0.205,0.446,0.000,0.000,0.000,0.446,0.021,0.440,1.397,0.017,0.002,0.009,0.007,0.021,0.042,0.701,0.017,0.006,0.599,218.809,52.006,2060.000
2045-2075_JJA,353.285,314.494,31.005,14.011,3.272,0.003,0.000,0.003,27.351,425.740,-72.454,254.740,182.286,0.656,0.421,0.258,0.268,0.008,0.000,0.000,0.000,0.008,0.000,0.009,0.017,0.005,0.000,0.000,0.005,0.000,0.000,0.518,0.004,-0.000,0.062,22.549,17.834,2060.000
2045-2075_SON,301.489,238.173,22.221,22.882,2.978,0.010,0.000,0.010,17.563,373.421,-71.932,192.920,120.988,0.436,0.270,0.169,0.161,0.143,0.000,0.000,0.000,0.143,0.008,0.112,0.692,0.007,0.002,0.003,0.003,0.008,0.015,0.250,0.006,0.032,0.252,91.820,48.957,2060.000
2070-2100_annual,304.524,256.588,21.522,24.718,3.110,0.013,0.000,0.013,17.259,372.909,-68.385,207.836,139.451,0.502,0.285,0.170,0.184,0.204,0.000,0.001,0.000,0.204,0.009,0.195,0.931,0.009,0.001,0.004,0.005,0.009,0.020,0.451,0.008,0.009,0.318,116.084,41.900,
2070-2100_DJF,261.080,191.902,11.193,38.267,3.041,0.020,0.000,0.020,6.849,320.913,-59.834,155.440,95.607,0.344,0.148,0.090,0.101,0.290,0.002,0.003,0.002,0.292,0.007,0.295,1.849,0.007,0.000,0.002,0.004,0.007,0.014,0.434,0.006,-0.005,0.483,176.168,66.393,2084.997
2070-2100_MAM,306.001,279.014,21.789,24.812,3.052,0.021,0.000,0.021,17.614,373.524,-67.523,226.002,158.479,0.571,0.293,0.164,0.208,0.375,0.000,0.000,0.000,0.375,0.022,0.367,1.224,0.020,0.002,0.011,0.007,0.023,0.053,0.660,0.019,0.007,0.515,187.897,46.847,2085.000
2070-2100_JJA,351.101,314.822,30.898,13.656,3.315,0.002,0.000,0.002,27.155,424.615,-73.514,255.006,181.492,0.653,0.423,0.256,0.266,0.018,0.000,0.000,0.000,0.018,0.001,0.018,0.041,0.005,0.000,0.000,0.005,0.001,0.001,0.485,0.005,-0.001,0.056,20.568,12.151,2085.000
2070-2100_SON,299.017,239.176,22.013,22.373,3.030,0.009,0.000,0.009,17.216,371.568,-72.551,193.733,121.182,0.436,0.273,0.167,0.160,0.134,0.000,0.000,0.000,0.134,0.005,0.100,0.624,0.004,0.000,0.002,0.002,0.005,0.012,0.223,0.003,0.033,0.220,80.474,42.691,2085.000
