,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,329.653,252.069,24.943,24.666,3.144,0.013,0.000,0.013,20.889,392.338,-62.685,204.176,141.491,0.509,0.316,0.204,0.197,0.204,0.000,0.000,0.000,0.204,0.008,0.201,0.946,0.008,0.001,0.003,0.004,0.007,0.015,0.411,0.007,0.003,0.316,115.316,39.514,
2015-2045_DJF,275.796,188.280,14.310,36.830,2.896,0.018,0.000,0.018,9.623,333.923,-58.127,152.507,94.380,0.340,0.166,0.108,0.108,0.324,0.000,0.001,0.000,0.324,0.011,0.359,2.114,0.010,0.000,0.004,0.006,0.011,0.022,0.581,0.009,-0.035,0.427,155.722,21.054,2030.005
2015-2045_MAM,326.790,276.884,25.448,22.772,3.228,0.015,0.000,0.015,21.160,392.305,-65.516,224.276,158.760,0.572,0.331,0.199,0.219,0.237,0.000,0.000,0.000,0.237,0.006,0.235,0.651,0.007,0.000,0.002,0.005,0.006,0.011,0.544,0.007,0.002,0.359,130.947,42.742,2030.000
2015-2045_JJA,393.262,308.741,34.325,16.100,3.529,0.007,0.000,0.007,31.622,450.742,-57.481,250.080,192.600,0.693,0.471,0.304,0.292,0.053,0.000,0.000,0.000,0.053,0.001,0.048,0.098,0.003,0.000,0.000,0.003,0.001,0.003,0.301,0.003,0.005,0.161,58.834,40.381,2030.000
2015-2045_SON,321.639,232.934,25.490,23.179,2.917,0.013,0.000,0.013,20.935,391.243,-69.604,188.677,119.073,0.429,0.291,0.201,0.166,0.204,0.000,0.000,0.000,0.204,0.013,0.164,0.943,0.010,0.003,0.004,0.002,0.011,0.023,0.217,0.009,0.041,0.319,116.554,53.679,2030.000
2045-2075_annual,332.452,253.340,25.338,24.213,3.167,0.013,0.000,0.013,21.364,394.943,-62.491,205.205,142.714,0.514,0.321,0.208,0.199,0.199,0.000,0.000,0.000,0.199,0.007,0.192,0.820,0.007,0.000,0.003,0.004,0.007,0.014,0.367,0.006,0.007,0.307,112.226,40.040,
2045-2075_DJF,276.756,189.920,14.742,35.897,2.913,0.018,0.000,0.018,10.014,335.768,-59.012,153.835,94.823,0.341,0.171,0.111,0.109,0.328,0.000,0.000,0.000,0.328,0.009,0.312,1.763,0.006,0.000,0.002,0.004,0.009,0.014,0.359,0.005,0.016,0.424,154.731,39.111,2060.000
2045-2075_MAM,328.948,278.946,25.737,22.735,3.206,0.016,0.000,0.016,21.584,394.659,-65.710,225.946,160.236,0.577,0.333,0.203,0.222,0.281,0.000,0.000,0.000,0.281,0.013,0.292,0.893,0.013,0.001,0.006,0.006,0.013,0.029,0.563,0.012,-0.011,0.380,138.524,27.532,2060.000
2045-2075_JJA,398.469,307.826,34.723,16.179,3.589,0.008,0.000,0.008,32.158,453.969,-55.500,249.339,193.839,0.698,0.479,0.310,0.295,0.056,0.000,0.000,0.000,0.056,0.001,0.054,0.090,0.003,0.000,0.000,0.003,0.001,0.001,0.340,0.003,0.002,0.190,69.242,48.435,2060.000
2045-2075_SON,324.473,235.249,25.954,22.244,2.953,0.010,0.000,0.010,21.484,394.227,-69.754,190.552,120.797,0.435,0.299,0.206,0.169,0.131,0.000,0.000,0.000,0.131,0.005,0.111,0.551,0.005,0.001,0.002,0.002,0.005,0.011,0.203,0.004,0.020,0.238,86.952,45.119,2060.000
2070-2100_annual,331.159,253.755,25.252,23.619,3.189,0.013,0.000,0.013,21.187,393.983,-62.824,205.541,142.717,0.514,0.323,0.207,0.199,0.208,0.000,0.000,0.000,0.208,0.010,0.198,0.918,0.010,0.001,0.004,0.005,0.011,0.022,0.450,0.009,0.011,0.307,112.041,36.412,
2070-2100_DJF,274.964,189.704,14.448,34.959,2.928,0.020,0.000,0.020,9.727,334.434,-59.470,153.660,94.190,0.339,0.170,0.109,0.108,0.357,0.000,0.000,0.000,0.357,0.014,0.341,1.995,0.012,0.001,0.006,0.005,0.014,0.029,0.507,0.011,0.016,0.475,173.543,45.065,2084.997
2070-2100_MAM,328.121,280.854,25.890,22.413,3.216,0.016,0.000,0.016,21.629,394.825,-66.704,227.492,160.788,0.579,0.338,0.204,0.223,0.280,0.000,0.000,0.000,0.280,0.013,0.281,0.843,0.013,0.001,0.006,0.007,0.013,0.027,0.689,0.013,-0.001,0.376,137.127,29.515,2085.000
2070-2100_JJA,398.367,307.841,34.694,15.566,3.598,0.007,0.000,0.007,32.056,453.358,-54.990,249.351,194.360,0.700,0.481,0.309,0.296,0.051,0.000,0.000,0.000,0.051,0.001,0.050,0.101,0.005,0.000,0.001,0.004,0.001,0.004,0.392,0.004,0.001,0.166,60.577,40.984,2085.000
2070-2100_SON,321.999,235.182,25.774,21.737,3.006,0.009,0.000,0.009,21.114,392.145,-70.147,190.497,120.351,0.433,0.301,0.203,0.168,0.147,0.000,0.000,0.000,0.147,0.013,0.121,0.754,0.011,0.003,0.006,0.002,0.014,0.029,0.212,0.010,0.027,0.213,77.731,30.184,2085.000
