,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,344.565,235.932,24.206,42.499,2.283,0.036,0.000,0.036,21.238,393.804,-49.239,191.105,141.866,0.511,0.242,0.192,0.196,0.411,0.005,0.028,0.005,0.416,0.022,0.398,1.928,0.022,0.003,0.009,0.010,0.022,0.043,0.961,0.021,0.013,0.870,317.412,164.193,
2015-2045_DJF,282.069,178.842,14.962,53.793,2.098,0.022,0.000,0.022,10.448,337.735,-55.666,144.862,89.196,0.321,0.128,0.111,0.104,0.326,0.018,0.112,0.018,0.344,0.015,0.380,3.051,0.016,0.000,0.005,0.010,0.015,0.031,1.019,0.015,-0.055,0.530,193.546,49.163,2030.005
2015-2045_MAM,337.742,271.511,24.783,32.184,2.375,0.034,0.000,0.034,21.499,393.840,-56.097,219.924,163.826,0.590,0.283,0.190,0.225,0.481,0.000,0.000,0.000,0.481,0.024,0.458,1.590,0.023,0.000,0.013,0.010,0.024,0.059,1.029,0.023,0.023,0.823,300.257,124.548,2030.000
2015-2045_JJA,414.863,278.498,32.353,39.312,2.633,0.054,0.000,0.054,31.349,448.779,-33.916,225.584,191.668,0.690,0.344,0.276,0.286,0.487,0.000,0.000,0.000,0.487,0.027,0.433,1.210,0.023,0.008,0.005,0.009,0.026,0.031,0.891,0.022,0.054,1.304,476.001,309.856,2030.000
2015-2045_SON,342.358,213.531,24.550,44.951,2.019,0.034,0.000,0.034,21.449,393.781,-51.423,172.961,121.538,0.438,0.209,0.189,0.167,0.349,0.000,0.000,0.000,0.349,0.021,0.321,1.882,0.025,0.005,0.011,0.009,0.021,0.051,0.903,0.025,0.028,0.814,297.236,171.060,2030.000
2045-2075_annual,347.092,238.165,24.673,41.090,2.303,0.032,0.000,0.032,21.733,396.474,-49.382,192.914,143.531,0.517,0.249,0.197,0.199,0.397,0.001,0.001,0.001,0.397,0.022,0.376,1.748,0.022,0.004,0.008,0.009,0.021,0.042,0.933,0.021,0.021,0.760,277.328,132.419,
2045-2075_DJF,283.812,180.385,15.477,52.336,2.103,0.023,0.000,0.023,10.915,339.961,-56.149,146.112,89.963,0.324,0.133,0.114,0.106,0.378,0.002,0.004,0.001,0.378,0.019,0.349,2.739,0.016,0.002,0.006,0.008,0.019,0.034,0.829,0.016,0.028,0.556,202.851,69.672,2060.000
2045-2075_MAM,340.509,273.664,25.080,32.513,2.365,0.034,0.000,0.034,21.902,396.056,-55.548,221.668,166.120,0.598,0.286,0.194,0.229,0.515,0.000,0.000,0.002,0.517,0.029,0.517,1.816,0.028,0.002,0.014,0.012,0.029,0.062,1.196,0.028,-0.002,0.805,293.656,94.755,2060.000
2045-2075_JJA,417.146,280.070,32.802,38.382,2.696,0.047,0.000,0.047,31.781,451.313,-34.167,226.857,192.690,0.694,0.352,0.282,0.288,0.428,0.000,0.000,0.000,0.428,0.024,0.389,1.062,0.024,0.007,0.008,0.009,0.021,0.039,0.869,0.023,0.038,1.118,408.222,257.804,2060.000
2045-2075_SON,345.665,217.198,25.161,41.350,2.042,0.023,0.000,0.023,22.130,397.487,-51.822,175.930,124.108,0.447,0.221,0.195,0.172,0.265,0.000,0.000,0.000,0.265,0.015,0.246,1.389,0.018,0.004,0.006,0.008,0.016,0.032,0.834,0.018,0.019,0.554,202.329,105.947,2060.000
2070-2100_annual,346.094,238.349,24.555,41.354,2.294,0.034,0.000,0.034,21.602,395.801,-49.707,193.063,143.355,0.516,0.247,0.196,0.199,0.418,0.002,0.004,0.002,0.420,0.025,0.394,1.894,0.025,0.004,0.010,0.011,0.025,0.050,1.049,0.025,0.024,0.817,298.213,145.237,
2070-2100_DJF,282.191,180.885,15.155,52.622,2.100,0.027,0.000,0.027,10.621,338.573,-56.383,146.517,90.134,0.324,0.131,0.112,0.105,0.407,0.008,0.018,0.008,0.416,0.025,0.391,3.070,0.023,0.002,0.012,0.010,0.026,0.058,0.961,0.023,0.016,0.645,235.257,84.189,2084.997
2070-2100_MAM,340.200,274.602,25.065,33.384,2.345,0.038,0.000,0.038,21.900,396.021,-55.821,222.428,166.607,0.600,0.284,0.193,0.229,0.554,0.000,0.000,0.000,0.554,0.032,0.538,1.959,0.033,0.004,0.015,0.014,0.030,0.068,1.383,0.033,0.015,0.904,329.920,121.639,2085.000
2070-2100_JJA,416.990,279.260,32.840,37.966,2.698,0.046,0.000,0.046,31.801,451.433,-34.443,226.201,191.758,0.690,0.353,0.283,0.287,0.426,0.000,0.000,0.000,0.426,0.022,0.395,1.064,0.024,0.008,0.006,0.010,0.024,0.032,1.008,0.024,0.031,1.099,401.073,248.295,2085.000
2070-2100_SON,343.737,217.312,24.983,41.665,2.025,0.026,0.000,0.026,21.878,396.078,-52.342,176.023,123.681,0.445,0.219,0.193,0.171,0.284,0.000,0.000,0.000,0.284,0.020,0.252,1.501,0.019,0.002,0.009,0.008,0.020,0.041,0.838,0.019,0.032,0.615,224.589,125.434,2085.000
