,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,351.444,247.595,26.051,39.198,3.632,0.013,0.000,0.013,22.607,400.380,-48.936,200.552,151.616,0.546,0.302,0.207,0.213,0.261,0.000,0.000,0.000,0.261,0.019,0.247,1.180,0.018,0.005,0.008,0.006,0.020,0.035,0.578,0.018,0.014,0.323,117.861,21.312,
2015-2045_DJF,298.901,194.143,18.534,45.176,3.608,0.015,0.000,0.015,13.999,354.882,-55.981,157.255,101.274,0.365,0.193,0.135,0.126,0.361,0.000,0.000,0.000,0.361,0.024,0.385,2.441,0.024,0.005,0.011,0.007,0.026,0.052,0.720,0.024,-0.023,0.357,130.197,-18.806,2030.005
2015-2045_MAM,347.640,272.461,26.611,32.448,3.665,0.019,0.000,0.019,22.915,401.189,-53.550,220.693,167.144,0.602,0.340,0.208,0.235,0.387,0.000,0.000,0.000,0.387,0.023,0.367,1.140,0.022,0.004,0.011,0.008,0.024,0.048,0.744,0.022,0.021,0.455,166.155,24.274,2030.000
2015-2045_JJA,408.959,291.890,32.014,43.336,3.831,0.007,0.000,0.007,30.238,442.132,-33.173,236.431,203.258,0.732,0.380,0.271,0.301,0.081,0.000,0.000,0.000,0.081,0.011,0.072,0.193,0.016,0.008,0.002,0.005,0.015,0.010,0.537,0.015,0.009,0.166,60.770,29.227,2030.000
2015-2045_SON,349.238,230.672,26.911,35.910,3.421,0.013,0.000,0.013,23.115,402.462,-53.224,186.844,133.621,0.481,0.295,0.211,0.189,0.216,0.000,0.000,0.000,0.216,0.016,0.165,0.967,0.012,0.002,0.007,0.003,0.016,0.032,0.309,0.011,0.050,0.314,114.524,50.093,2030.000
2045-2075_annual,353.274,249.232,26.356,38.197,3.699,0.012,0.000,0.012,22.885,401.888,-48.614,201.878,153.264,0.552,0.311,0.210,0.216,0.255,0.000,0.000,0.000,0.255,0.016,0.239,1.036,0.016,0.005,0.006,0.005,0.016,0.026,0.522,0.015,0.016,0.285,104.036,11.341,
2045-2075_DJF,299.667,196.200,18.916,43.831,3.645,0.013,0.000,0.013,14.337,356.548,-56.881,158.922,102.041,0.367,0.199,0.138,0.128,0.329,0.000,0.000,0.000,0.329,0.010,0.337,1.876,0.009,0.000,0.003,0.006,0.010,0.020,0.553,0.008,-0.008,0.322,117.698,-8.439,2060.000
2045-2075_MAM,349.200,274.429,26.837,31.303,3.752,0.016,0.000,0.016,23.123,402.358,-53.159,222.287,169.129,0.609,0.349,0.210,0.238,0.385,0.000,0.000,0.000,0.385,0.025,0.370,1.175,0.024,0.006,0.011,0.007,0.023,0.050,0.684,0.023,0.015,0.380,138.648,-4.652,2060.000
2045-2075_JJA,412.232,291.427,32.280,43.073,3.890,0.006,0.000,0.006,30.499,443.661,-31.429,236.056,204.627,0.737,0.386,0.275,0.304,0.092,0.000,0.000,0.000,0.092,0.002,0.089,0.200,0.006,0.000,0.001,0.005,0.002,0.004,0.505,0.005,0.002,0.145,52.949,18.637,2060.000
2045-2075_SON,350.939,233.682,27.257,34.651,3.504,0.012,0.000,0.012,23.421,404.137,-53.198,189.282,136.084,0.490,0.306,0.215,0.193,0.215,0.000,0.000,0.000,0.215,0.026,0.161,0.907,0.024,0.014,0.007,0.004,0.030,0.032,0.347,0.023,0.053,0.294,107.147,39.745,2060.000
2070-2100_annual,351.780,250.338,26.306,37.549,3.701,0.011,0.000,0.011,22.768,401.261,-49.482,202.774,153.293,0.552,0.313,0.210,0.216,0.222,0.000,0.000,0.000,0.222,0.013,0.209,0.961,0.013,0.003,0.005,0.005,0.012,0.026,0.459,0.012,0.013,0.269,98.195,17.492,
2070-2100_DJF,298.604,195.733,18.707,43.523,3.630,0.017,0.000,0.017,14.116,355.477,-56.873,158.544,101.671,0.366,0.198,0.137,0.127,0.355,0.000,0.000,0.000,0.355,0.014,0.343,1.986,0.012,0.001,0.005,0.005,0.014,0.028,0.499,0.011,0.012,0.406,148.367,19.208,2084.997
2070-2100_MAM,348.421,276.777,26.910,31.350,3.753,0.017,0.000,0.017,23.154,402.498,-54.077,224.190,170.112,0.612,0.351,0.211,0.240,0.321,0.000,0.000,0.000,0.321,0.021,0.309,0.990,0.021,0.006,0.009,0.007,0.018,0.041,0.664,0.021,0.013,0.404,147.388,27.210,2085.000
2070-2100_JJA,410.722,292.124,32.337,42.093,3.914,0.004,0.000,0.004,30.454,443.397,-32.675,236.620,203.946,0.734,0.390,0.276,0.303,0.058,0.000,0.000,0.000,0.058,0.002,0.062,0.136,0.006,0.000,0.001,0.004,0.002,0.006,0.431,0.005,-0.004,0.107,38.942,14.673,2085.000
2070-2100_SON,348.307,235.505,27.131,33.299,3.504,0.007,0.000,0.007,23.185,402.806,-54.499,190.759,136.260,0.491,0.309,0.214,0.193,0.157,0.000,0.000,0.000,0.157,0.014,0.125,0.751,0.012,0.004,0.006,0.002,0.015,0.027,0.240,0.011,0.032,0.161,58.623,8.816,2085.000
