,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,319.958,253.951,23.686,29.736,3.853,0.013,0.000,0.013,19.457,384.005,-64.047,205.700,141.654,0.510,0.312,0.188,0.193,0.256,0.000,0.000,0.000,0.256,0.016,0.244,1.208,0.016,0.003,0.006,0.006,0.015,0.031,0.607,0.015,0.011,0.301,109.978,15.355,
2015-2045_DJF,272.253,195.250,13.905,40.666,3.882,0.015,0.000,0.015,9.545,333.397,-61.144,158.152,97.009,0.349,0.176,0.105,0.110,0.396,0.000,0.000,0.000,0.396,0.028,0.408,2.708,0.026,0.006,0.012,0.007,0.025,0.058,0.732,0.025,-0.012,0.361,131.911,-26.185,2030.005
2015-2045_MAM,320.277,277.053,24.267,26.470,3.810,0.017,0.000,0.017,19.926,385.397,-65.120,224.413,159.293,0.573,0.335,0.186,0.217,0.413,0.000,0.000,0.000,0.413,0.020,0.399,1.241,0.020,0.003,0.008,0.008,0.021,0.039,0.841,0.020,0.014,0.415,151.531,-1.139,2030.000
2015-2045_JJA,369.736,305.900,31.917,25.147,3.964,0.006,0.000,0.006,28.461,431.829,-62.093,247.779,185.687,0.668,0.427,0.269,0.276,0.020,0.000,0.000,0.000,0.020,0.000,0.022,0.045,0.006,0.000,0.000,0.006,0.000,0.000,0.547,0.005,-0.001,0.141,51.472,41.915,2030.000
2015-2045_SON,316.609,236.277,24.475,26.839,3.756,0.012,0.000,0.012,19.707,384.424,-67.815,191.384,123.569,0.445,0.308,0.189,0.170,0.195,0.000,0.000,0.000,0.195,0.015,0.151,0.863,0.012,0.003,0.006,0.003,0.014,0.026,0.305,0.011,0.044,0.289,105.371,46.365,2030.000
2045-2075_annual,321.741,255.349,24.030,29.174,3.911,0.012,0.000,0.012,19.767,385.639,-63.898,206.832,142.934,0.515,0.319,0.191,0.196,0.250,0.000,0.000,0.000,0.250,0.011,0.238,1.061,0.011,0.001,0.005,0.005,0.011,0.023,0.538,0.010,0.011,0.280,102.316,11.495,
2045-2075_DJF,273.037,197.096,14.308,39.656,3.919,0.014,0.000,0.014,9.901,335.076,-62.039,159.648,97.609,0.351,0.181,0.107,0.112,0.358,0.000,0.000,0.000,0.358,0.011,0.355,2.065,0.009,0.000,0.004,0.005,0.011,0.022,0.505,0.008,0.002,0.336,122.723,-9.924,2060.000
2045-2075_MAM,321.630,278.974,24.564,25.835,3.865,0.015,0.000,0.015,20.212,386.958,-65.327,225.969,160.641,0.578,0.342,0.189,0.219,0.454,0.000,0.000,0.000,0.454,0.027,0.443,1.393,0.023,0.004,0.011,0.008,0.027,0.052,0.770,0.023,0.011,0.369,134.709,-35.087,2060.000
2045-2075_JJA,373.105,304.943,32.204,25.259,4.021,0.006,0.000,0.006,28.732,433.398,-60.293,247.004,186.711,0.672,0.433,0.273,0.278,0.024,0.000,0.000,0.000,0.024,0.000,0.024,0.052,0.006,0.000,0.000,0.006,0.000,0.000,0.582,0.005,-0.000,0.145,52.866,42.167,2060.000
2045-2075_SON,318.214,239.081,24.866,26.115,3.838,0.011,0.000,0.011,20.037,386.156,-67.942,193.656,125.714,0.453,0.317,0.193,0.173,0.165,0.000,0.000,0.000,0.165,0.008,0.132,0.749,0.007,0.001,0.004,0.003,0.008,0.016,0.289,0.006,0.032,0.272,99.327,48.816,2060.000
2070-2100_annual,320.249,256.382,23.975,28.312,3.929,0.010,0.000,0.010,19.626,384.901,-64.652,207.669,143.017,0.515,0.322,0.190,0.196,0.229,0.000,0.000,0.000,0.229,0.011,0.218,1.000,0.011,0.001,0.005,0.005,0.011,0.024,0.509,0.010,0.011,0.251,91.771,8.659,
2070-2100_DJF,271.677,196.648,14.059,38.956,3.912,0.016,0.000,0.016,9.641,333.872,-62.195,159.285,97.090,0.350,0.180,0.106,0.110,0.337,0.000,0.000,0.000,0.337,0.009,0.334,1.935,0.008,0.000,0.003,0.005,0.009,0.016,0.517,0.007,0.002,0.390,142.242,17.666,2084.997
2070-2100_MAM,321.072,281.418,24.685,25.367,3.872,0.015,0.000,0.015,20.267,387.201,-66.129,227.948,161.820,0.583,0.346,0.190,0.221,0.390,0.000,0.000,0.000,0.390,0.023,0.382,1.251,0.020,0.002,0.011,0.007,0.023,0.052,0.726,0.020,0.008,0.364,132.747,-13.961,2085.000
2070-2100_JJA,371.258,305.828,32.228,24.208,4.042,0.004,0.000,0.004,28.648,432.918,-61.660,247.721,186.061,0.670,0.437,0.273,0.277,0.033,0.000,0.000,0.000,0.033,0.001,0.033,0.077,0.006,0.000,0.001,0.005,0.001,0.004,0.534,0.006,-0.001,0.095,34.828,20.605,2085.000
2070-2100_SON,316.006,240.307,24.744,24.885,3.892,0.007,0.000,0.007,19.759,384.627,-68.621,194.649,126.028,0.454,0.322,0.191,0.173,0.157,0.000,0.000,0.000,0.157,0.010,0.122,0.753,0.009,0.001,0.005,0.003,0.010,0.024,0.256,0.008,0.035,0.159,57.871,10.519,2085.000
