,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,343.632,250.793,25.525,23.708,5.258,0.009,0.000,0.009,21.422,395.270,-51.638,203.142,151.504,0.545,0.416,0.213,0.213,0.157,0.000,0.001,0.000,0.157,0.006,0.155,0.728,0.006,0.002,0.002,0.003,0.005,0.010,0.264,0.005,0.001,0.225,82.286,23.660,
2015-2045_DJF,283.710,179.329,13.581,36.905,4.093,0.016,0.000,0.016,9.919,335.225,-51.515,145.256,93.741,0.337,0.182,0.104,0.105,0.269,0.002,0.002,0.002,0.271,0.016,0.286,1.770,0.014,0.006,0.005,0.003,0.011,0.022,0.337,0.013,-0.017,0.390,142.258,33.081,2030.005
2015-2045_MAM,341.748,272.338,25.754,23.960,4.794,0.014,0.000,0.014,21.892,396.240,-54.493,220.594,166.101,0.598,0.387,0.203,0.230,0.245,0.000,0.000,0.000,0.245,0.006,0.244,0.693,0.006,0.000,0.002,0.004,0.006,0.013,0.371,0.005,0.001,0.341,124.472,33.572,2030.000
2015-2045_JJA,418.625,319.910,36.607,12.136,7.040,0.000,0.000,0.000,32.715,457.380,-38.755,259.127,220.372,0.793,0.707,0.337,0.341,0.002,0.000,0.000,0.000,0.002,0.000,0.002,0.003,0.002,0.000,0.000,0.002,0.000,0.000,0.229,0.001,-0.000,0.003,1.255,0.120,2030.000
2015-2045_SON,329.131,229.991,25.933,22.067,5.083,0.007,0.000,0.007,20.937,391.029,-61.898,186.293,124.395,0.448,0.385,0.206,0.174,0.113,0.000,0.000,0.000,0.113,0.003,0.092,0.464,0.002,0.000,0.001,0.001,0.003,0.007,0.119,0.002,0.021,0.170,62.094,28.095,2030.000
2045-2075_annual,347.328,251.523,25.877,23.780,5.248,0.010,0.000,0.010,21.949,398.248,-50.920,203.734,152.814,0.550,0.421,0.217,0.216,0.164,0.000,0.000,0.000,0.164,0.004,0.159,0.674,0.004,0.000,0.001,0.002,0.004,0.008,0.247,0.003,0.004,0.235,85.605,26.270,
2045-2075_DJF,284.816,180.433,13.869,36.838,3.993,0.014,0.000,0.014,10.218,336.645,-51.829,146.151,94.322,0.340,0.182,0.106,0.106,0.239,0.000,0.000,0.000,0.239,0.005,0.242,1.344,0.004,0.001,0.002,0.002,0.005,0.009,0.230,0.003,-0.003,0.348,126.904,37.472,2060.000
2045-2075_MAM,343.574,274.612,26.093,24.385,4.778,0.017,0.000,0.017,22.327,398.634,-55.059,222.435,167.376,0.603,0.389,0.207,0.233,0.296,0.000,0.000,0.000,0.296,0.008,0.296,0.825,0.007,0.000,0.003,0.004,0.008,0.016,0.370,0.006,-0.000,0.419,152.962,42.803,2060.000
2045-2075_JJA,427.114,318.514,37.065,12.012,7.160,0.000,0.000,0.000,33.561,462.557,-35.443,257.997,222.554,0.801,0.722,0.345,0.345,0.001,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.003,0.000,0.000,0.003,0.000,0.000,0.255,0.002,-0.000,0.003,0.918,0.059,2060.000
2045-2075_SON,332.440,230.940,26.254,22.116,5.033,0.007,0.000,0.007,21.459,393.923,-61.482,187.061,125.579,0.452,0.386,0.210,0.177,0.120,0.000,0.000,0.000,0.120,0.004,0.100,0.537,0.003,0.001,0.001,0.001,0.004,0.007,0.133,0.002,0.020,0.170,62.180,24.948,2060.000
2070-2100_annual,345.333,252.411,25.801,22.909,5.338,0.009,0.000,0.009,21.697,396.825,-51.492,204.453,152.961,0.551,0.427,0.216,0.216,0.142,0.000,0.000,0.000,0.142,0.004,0.138,0.617,0.004,0.000,0.001,0.002,0.004,0.008,0.213,0.003,0.004,0.206,75.045,23.685,
2070-2100_DJF,282.236,181.666,13.625,35.144,4.061,0.014,0.000,0.014,9.920,335.270,-53.035,147.149,94.115,0.339,0.185,0.104,0.106,0.225,0.000,0.000,0.000,0.225,0.005,0.236,1.351,0.004,0.000,0.002,0.002,0.005,0.011,0.217,0.003,-0.011,0.326,118.916,31.611,2084.997
2070-2100_MAM,341.690,277.573,26.298,23.387,4.793,0.014,0.000,0.014,22.312,398.459,-56.770,224.834,168.065,0.605,0.398,0.209,0.235,0.237,0.000,0.000,0.000,0.237,0.009,0.233,0.691,0.008,0.001,0.004,0.003,0.010,0.020,0.331,0.008,0.004,0.346,126.267,38.290,2085.000
2070-2100_JJA,426.741,317.413,36.892,11.951,7.234,0.000,0.000,0.000,33.225,460.450,-33.709,257.104,223.395,0.804,0.725,0.342,0.346,0.005,0.000,0.000,0.000,0.005,0.000,0.007,0.009,0.002,0.000,0.000,0.002,0.000,0.000,0.211,0.001,-0.002,0.009,3.314,0.432,2085.000
2070-2100_SON,329.273,231.399,26.157,21.374,5.237,0.006,0.000,0.006,21.100,391.878,-62.605,187.433,124.828,0.449,0.395,0.208,0.175,0.100,0.000,0.000,0.000,0.100,0.001,0.076,0.430,0.001,0.000,0.000,0.001,0.001,0.002,0.093,0.000,0.025,0.143,52.280,24.568,2085.000
