,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,360.022,236.268,25.567,41.869,2.481,0.024,0.000,0.024,23.151,404.201,-44.179,191.377,147.198,0.530,0.259,0.205,0.206,0.299,0.000,0.001,0.000,0.300,0.018,0.286,1.630,0.018,0.001,0.008,0.009,0.018,0.038,0.851,0.017,0.013,0.577,210.470,99.718,
2015-2045_DJF,294.700,179.207,16.656,54.425,2.328,0.017,0.000,0.017,12.497,347.542,-52.842,145.157,92.315,0.332,0.139,0.122,0.111,0.515,0.001,0.003,0.001,0.516,0.035,0.539,3.932,0.029,0.001,0.017,0.011,0.034,0.079,1.130,0.029,-0.024,0.408,149.060,-58.495,2030.005
2015-2045_MAM,350.744,270.034,26.062,31.153,2.617,0.020,0.000,0.020,22.957,401.694,-50.951,218.728,167.777,0.604,0.303,0.203,0.234,0.415,0.000,0.000,0.000,0.415,0.016,0.411,1.309,0.019,0.001,0.006,0.012,0.015,0.032,1.219,0.019,0.003,0.480,175.357,18.171,2030.000
2015-2045_JJA,437.335,279.838,33.538,38.164,2.827,0.033,0.000,0.033,33.811,463.585,-26.251,226.669,200.418,0.722,0.367,0.293,0.301,0.037,0.000,0.000,0.000,0.037,0.002,0.031,0.091,0.008,0.001,0.000,0.007,0.002,0.003,0.676,0.007,0.007,0.782,285.513,271.892,2030.000
2015-2045_SON,356.006,214.658,25.843,44.002,2.144,0.026,0.000,0.026,23.131,402.875,-46.869,173.873,127.004,0.457,0.225,0.202,0.178,0.234,0.000,0.000,0.000,0.234,0.019,0.168,1.226,0.014,0.002,0.008,0.004,0.019,0.038,0.378,0.013,0.066,0.633,230.988,164.962,2030.000
2045-2075_annual,362.166,238.382,26.015,40.446,2.503,0.021,0.000,0.021,23.670,407.080,-44.914,193.089,148.175,0.533,0.265,0.210,0.209,0.295,0.000,0.001,0.000,0.295,0.015,0.280,1.468,0.015,0.001,0.006,0.008,0.015,0.031,0.753,0.014,0.015,0.494,180.271,72.789,
2045-2075_DJF,296.327,180.904,17.171,52.611,2.347,0.019,0.000,0.019,12.947,349.730,-53.403,146.532,93.129,0.335,0.145,0.125,0.113,0.505,0.001,0.002,0.001,0.505,0.023,0.469,3.273,0.016,0.001,0.008,0.007,0.023,0.043,0.738,0.015,0.036,0.445,162.579,-14.252,2060.000
2045-2075_MAM,353.643,272.175,26.329,31.558,2.602,0.019,0.000,0.019,23.351,403.893,-50.250,220.462,170.212,0.613,0.305,0.206,0.238,0.470,0.000,0.000,0.000,0.470,0.030,0.483,1.682,0.031,0.004,0.015,0.012,0.031,0.067,1.233,0.031,-0.013,0.463,168.987,-18.587,2060.000
2045-2075_JJA,437.733,280.977,33.976,37.444,2.897,0.027,0.000,0.027,34.331,466.740,-29.007,227.591,198.584,0.715,0.372,0.299,0.300,0.032,0.000,0.000,0.000,0.032,0.000,0.032,0.066,0.007,0.000,0.000,0.007,0.000,0.001,0.690,0.007,0.000,0.655,239.039,224.826,2060.000
2045-2075_SON,359.662,218.145,26.419,40.405,2.157,0.017,0.000,0.017,23.845,406.847,-47.185,176.697,129.512,0.466,0.236,0.208,0.182,0.175,0.000,0.000,0.000,0.175,0.007,0.138,0.878,0.006,0.000,0.002,0.003,0.007,0.015,0.345,0.005,0.037,0.410,149.809,97.762,2060.000
2070-2100_annual,360.892,238.527,25.893,40.606,2.489,0.023,0.000,0.023,23.530,406.344,-45.452,193.206,147.754,0.532,0.264,0.209,0.208,0.288,0.000,0.000,0.000,0.288,0.021,0.266,1.455,0.021,0.005,0.008,0.008,0.019,0.040,0.769,0.020,0.022,0.542,197.999,93.404,
2070-2100_DJF,294.640,181.086,16.857,52.481,2.339,0.022,0.000,0.022,12.638,348.241,-53.601,146.680,93.079,0.335,0.144,0.123,0.112,0.499,0.000,0.000,0.000,0.499,0.030,0.465,3.275,0.022,0.001,0.012,0.008,0.030,0.062,0.792,0.021,0.034,0.526,191.829,14.573,2084.997
2070-2100_MAM,353.437,273.063,26.329,32.419,2.573,0.023,0.000,0.023,23.364,403.944,-50.507,221.181,170.674,0.614,0.304,0.206,0.239,0.426,0.000,0.000,0.000,0.426,0.023,0.428,1.439,0.025,0.002,0.011,0.013,0.023,0.053,1.246,0.025,-0.002,0.552,201.661,36.336,2085.000
2070-2100_JJA,437.277,280.370,33.975,37.215,2.907,0.028,0.000,0.028,34.327,466.710,-29.434,227.100,197.666,0.712,0.372,0.299,0.298,0.036,0.000,0.000,0.000,0.036,0.001,0.043,0.080,0.007,0.000,0.000,0.007,0.001,0.002,0.700,0.007,-0.007,0.677,247.103,228.722,2085.000
2070-2100_SON,356.893,218.258,26.241,40.535,2.131,0.017,0.000,0.017,23.582,405.351,-48.458,176.789,128.331,0.462,0.233,0.206,0.180,0.195,0.000,0.000,0.000,0.195,0.031,0.132,1.057,0.030,0.017,0.009,0.003,0.022,0.043,0.334,0.028,0.064,0.413,150.770,92.456,2085.000
