,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,318.118,234.678,21.021,38.456,2.379,0.037,0.000,0.036,17.486,374.739,-56.621,190.089,133.468,0.480,0.225,0.167,0.176,1.277,0.000,0.000,0.000,1.277,0.177,1.104,4.543,0.177,0.059,0.081,0.037,0.153,0.346,3.649,0.177,0.173,0.881,321.422,-146.084,
2015-2045_DJF,262.840,172.614,11.012,48.669,2.373,0.030,0.001,0.028,6.297,318.781,-55.941,139.818,83.876,0.302,0.116,0.091,0.089,0.898,0.000,0.000,0.000,0.898,0.142,0.837,6.729,0.146,0.030,0.081,0.035,0.127,0.341,3.506,0.147,0.060,0.712,259.843,-99.436,2030.005
2015-2045_MAM,314.083,264.374,21.388,33.959,2.553,0.041,0.000,0.041,17.703,374.465,-60.382,214.143,153.761,0.554,0.251,0.163,0.201,1.560,0.000,0.000,0.000,1.560,0.233,1.333,4.155,0.227,0.081,0.109,0.037,0.188,0.453,3.632,0.227,0.226,0.993,362.476,-206.859,2030.000
2015-2045_JJA,379.845,286.273,29.913,32.314,2.477,0.045,0.000,0.045,27.973,429.690,-49.846,231.881,182.035,0.655,0.330,0.247,0.264,1.740,0.000,0.000,0.000,1.740,0.191,1.519,3.604,0.181,0.070,0.074,0.037,0.170,0.324,3.660,0.180,0.221,1.076,392.809,-227.334,2030.000
2015-2045_SON,314.600,214.031,21.586,39.086,2.109,0.031,0.000,0.031,17.759,374.943,-60.343,173.365,113.022,0.407,0.199,0.165,0.149,0.899,0.000,0.000,0.000,0.899,0.143,0.717,3.716,0.153,0.053,0.062,0.038,0.125,0.264,3.797,0.153,0.182,0.736,268.802,-48.750,2030.000
2045-2075_annual,320.726,236.800,21.524,37.425,2.376,0.034,0.000,0.034,18.002,377.410,-56.684,191.808,135.125,0.486,0.231,0.171,0.180,1.219,0.000,0.000,0.000,1.219,0.158,1.061,4.137,0.158,0.050,0.074,0.035,0.135,0.314,3.437,0.158,0.158,0.816,297.739,-147.413,
2045-2075_DJF,264.459,173.594,11.605,47.661,2.365,0.031,0.001,0.030,6.811,321.110,-56.651,140.611,83.959,0.302,0.120,0.094,0.090,0.919,0.000,0.000,0.000,0.919,0.148,0.755,5.878,0.140,0.045,0.065,0.030,0.129,0.278,3.000,0.140,0.165,0.743,271.073,-55.378,2060.000
2045-2075_MAM,316.411,266.845,21.711,34.261,2.510,0.042,0.000,0.042,18.111,376.624,-60.213,216.144,155.932,0.561,0.253,0.166,0.204,1.644,0.000,0.000,0.000,1.644,0.257,1.436,4.578,0.254,0.087,0.129,0.037,0.205,0.538,3.703,0.254,0.208,1.004,366.485,-250.407,2060.000
2045-2075_JJA,383.417,288.307,30.396,31.400,2.505,0.040,0.000,0.040,28.463,432.479,-49.062,233.529,184.466,0.664,0.339,0.253,0.269,1.542,0.000,0.000,0.000,1.542,0.141,1.373,3.149,0.137,0.044,0.057,0.035,0.128,0.251,3.510,0.137,0.169,0.959,350.142,-200.929,2060.000
2045-2075_SON,317.499,217.023,22.198,36.566,2.122,0.023,0.000,0.023,18.411,378.353,-60.854,175.789,114.935,0.414,0.208,0.170,0.153,0.760,0.000,0.000,0.000,0.760,0.085,0.672,2.964,0.101,0.023,0.043,0.036,0.077,0.187,3.528,0.101,0.088,0.553,201.698,-80.433,2060.000
2070-2100_annual,319.658,236.936,21.402,37.333,2.366,0.036,0.000,0.035,17.868,376.739,-57.082,191.918,134.837,0.485,0.230,0.170,0.179,1.287,0.000,0.000,0.000,1.287,0.195,1.090,4.548,0.195,0.068,0.090,0.037,0.164,0.378,3.653,0.195,0.197,0.854,311.647,-157.164,
2070-2100_DJF,262.741,174.180,11.273,47.377,2.357,0.034,0.001,0.033,6.513,319.758,-57.017,141.086,84.069,0.303,0.119,0.092,0.090,1.061,0.000,0.000,0.000,1.061,0.213,0.837,6.649,0.204,0.074,0.097,0.032,0.178,0.407,3.216,0.203,0.224,0.808,295.038,-84.505,2084.997
2070-2100_MAM,316.065,267.654,21.744,34.516,2.494,0.044,0.000,0.044,18.133,376.691,-60.626,216.800,156.174,0.562,0.253,0.166,0.205,1.654,0.000,0.000,0.000,1.654,0.266,1.428,4.683,0.266,0.086,0.138,0.042,0.227,0.568,4.134,0.266,0.226,1.066,389.097,-229.133,2085.000
2070-2100_JJA,382.871,287.651,30.400,30.960,2.506,0.039,0.000,0.039,28.441,432.368,-49.497,232.998,183.500,0.661,0.339,0.253,0.268,1.500,0.000,0.000,0.000,1.500,0.132,1.341,3.154,0.128,0.036,0.055,0.037,0.123,0.244,3.693,0.128,0.159,0.940,342.969,-193.178,2085.000
2070-2100_SON,315.814,216.830,22.001,36.667,2.103,0.025,0.000,0.025,18.168,377.045,-61.230,175.632,114.402,0.412,0.206,0.168,0.152,0.923,0.000,0.000,0.000,0.923,0.170,0.745,3.740,0.181,0.076,0.069,0.036,0.129,0.293,3.559,0.181,0.178,0.598,218.146,-120.034,2085.000
