,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,299.449,235.667,18.269,42.400,2.486,0.043,0.000,0.043,14.769,360.502,-61.053,190.891,129.837,0.467,0.205,0.142,0.165,0.637,0.089,1.735,0.089,0.727,0.083,0.647,3.889,0.083,0.018,0.041,0.024,0.079,0.180,2.388,0.083,-0.010,1.031,376.141,109.484,
2015-2045_DJF,245.552,174.692,8.226,49.379,2.605,0.030,0.002,0.028,3.581,306.202,-60.650,141.501,80.851,0.291,0.107,0.076,0.080,0.600,0.350,6.940,0.322,0.922,0.109,0.815,7.508,0.087,0.018,0.048,0.021,0.107,0.216,2.046,0.086,-0.215,0.718,261.927,-67.011,2030.005
2015-2045_MAM,296.644,261.862,18.598,41.866,2.659,0.054,0.000,0.054,15.025,360.392,-63.749,212.108,148.359,0.534,0.221,0.138,0.185,1.297,0.011,0.078,0.039,1.336,0.167,1.246,5.367,0.167,0.036,0.094,0.037,0.158,0.398,3.688,0.168,0.051,1.294,472.262,-43.787,2030.000
2015-2045_JJA,359.228,287.717,27.079,35.562,2.431,0.057,0.000,0.057,25.203,413.619,-54.391,233.051,178.660,0.643,0.305,0.212,0.252,0.268,0.000,0.000,0.000,0.268,0.021,0.243,0.627,0.042,0.012,0.004,0.026,0.018,0.019,2.527,0.042,0.025,1.363,497.479,393.672,2030.000
2015-2045_SON,295.285,217.020,18.987,42.933,2.250,0.031,0.000,0.031,15.054,360.750,-65.464,175.786,110.322,0.397,0.184,0.141,0.140,0.381,0.001,0.003,0.000,0.381,0.035,0.285,2.105,0.036,0.005,0.019,0.013,0.036,0.084,1.274,0.036,0.096,0.738,269.534,152.122,2030.000
2045-2075_annual,301.818,238.054,18.795,41.467,2.479,0.041,0.000,0.041,15.296,363.156,-61.337,192.824,131.486,0.473,0.211,0.146,0.168,0.679,0.055,0.704,0.055,0.734,0.084,0.651,3.866,0.084,0.017,0.042,0.025,0.080,0.184,2.503,0.084,0.029,0.983,358.711,90.429,
2045-2075_DJF,247.291,174.953,8.881,49.009,2.593,0.032,0.001,0.031,4.133,308.642,-61.351,141.712,80.361,0.289,0.110,0.079,0.081,0.721,0.209,2.800,0.204,0.925,0.099,0.788,6.981,0.078,0.013,0.043,0.022,0.095,0.195,2.162,0.078,-0.068,0.769,280.534,-35.590,2060.000
2045-2075_MAM,298.655,264.336,18.895,42.583,2.611,0.057,0.000,0.057,15.393,362.279,-63.624,214.112,150.489,0.542,0.223,0.140,0.189,1.369,0.010,0.045,0.017,1.387,0.183,1.312,5.616,0.181,0.043,0.099,0.039,0.169,0.418,3.815,0.181,0.057,1.374,501.595,-43.391,2060.000
2045-2075_JJA,362.212,291.434,27.610,34.086,2.433,0.050,0.000,0.050,25.762,416.733,-54.521,236.062,181.541,0.654,0.314,0.218,0.257,0.226,0.000,0.000,0.000,0.226,0.012,0.212,0.534,0.036,0.003,0.007,0.027,0.011,0.029,2.658,0.036,0.013,1.195,436.071,345.277,2060.000
2045-2075_SON,298.022,220.080,19.612,40.321,2.280,0.024,0.000,0.024,15.683,363.927,-65.904,178.265,112.361,0.404,0.194,0.146,0.144,0.400,0.004,0.004,0.001,0.400,0.043,0.288,2.377,0.042,0.008,0.020,0.014,0.043,0.092,1.358,0.042,0.111,0.585,213.557,93.019,2060.000
2070-2100_annual,300.790,238.015,18.643,41.438,2.467,0.043,0.000,0.043,15.168,362.541,-61.751,192.792,131.041,0.472,0.209,0.145,0.167,0.664,0.071,1.075,0.071,0.734,0.092,0.641,3.910,0.091,0.020,0.047,0.025,0.083,0.200,2.443,0.091,0.023,1.030,375.862,108.569,
2070-2100_DJF,245.568,175.991,8.480,48.984,2.585,0.035,0.002,0.033,3.837,307.338,-61.770,142.553,80.782,0.291,0.108,0.077,0.080,0.669,0.285,4.335,0.268,0.937,0.122,0.782,7.309,0.098,0.019,0.059,0.020,0.117,0.259,1.997,0.098,-0.113,0.838,305.740,-15.743,2084.997
2070-2100_MAM,298.352,264.496,18.893,42.737,2.597,0.060,0.000,0.060,15.401,362.278,-63.927,214.242,150.315,0.541,0.223,0.140,0.188,1.339,0.002,0.015,0.017,1.356,0.180,1.254,5.495,0.180,0.038,0.103,0.039,0.162,0.429,3.868,0.180,0.085,1.429,521.469,-1.996,2085.000
2070-2100_JJA,361.520,290.687,27.617,33.504,2.431,0.048,0.000,0.048,25.754,416.696,-55.176,235.457,180.280,0.649,0.314,0.218,0.255,0.220,0.000,0.000,0.000,0.220,0.007,0.241,0.557,0.032,0.000,0.005,0.026,0.007,0.023,2.610,0.032,-0.021,1.147,418.490,318.870,2085.000
2070-2100_SON,296.609,219.487,19.394,40.665,2.254,0.029,0.000,0.029,15.464,362.789,-66.180,177.785,111.605,0.402,0.191,0.144,0.142,0.424,0.001,0.003,0.001,0.425,0.059,0.285,2.326,0.056,0.023,0.019,0.013,0.046,0.088,1.276,0.055,0.139,0.699,255.085,130.992,2085.000
