,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,330.246,251.873,24.365,33.255,4.124,0.013,0.000,0.013,20.380,388.715,-58.470,204.017,145.548,0.524,0.317,0.193,0.201,0.234,0.001,0.005,0.001,0.235,0.014,0.225,1.156,0.014,0.003,0.006,0.006,0.014,0.029,0.548,0.013,0.009,0.316,115.338,28.372,
2015-2045_DJF,280.146,195.070,15.225,42.653,4.186,0.014,0.000,0.014,10.935,340.028,-59.881,158.006,98.125,0.353,0.185,0.113,0.114,0.361,0.005,0.022,0.005,0.366,0.028,0.384,2.637,0.026,0.006,0.013,0.007,0.030,0.059,0.721,0.026,-0.024,0.348,126.958,-22.886,2030.005
2015-2045_MAM,329.483,276.536,25.041,27.939,4.053,0.018,0.000,0.018,20.850,390.222,-60.739,223.994,163.256,0.588,0.348,0.193,0.224,0.344,0.000,0.000,0.000,0.344,0.013,0.335,1.014,0.014,0.002,0.005,0.008,0.013,0.023,0.743,0.013,0.009,0.426,155.439,28.275,2030.000
2015-2045_JJA,382.627,300.289,31.797,32.656,4.260,0.008,0.000,0.008,28.810,433.833,-51.206,243.234,192.028,0.691,0.417,0.268,0.285,0.033,0.000,0.000,0.000,0.033,0.001,0.034,0.083,0.006,0.000,0.001,0.005,0.001,0.004,0.461,0.005,-0.000,0.186,67.827,53.795,2030.000
2015-2045_SON,327.733,234.312,25.232,29.916,3.997,0.013,0.000,0.013,20.746,389.851,-62.119,189.793,127.674,0.460,0.315,0.195,0.177,0.198,0.000,0.000,0.000,0.198,0.016,0.148,0.914,0.011,0.003,0.006,0.003,0.014,0.029,0.268,0.010,0.050,0.305,111.308,53.590,2030.000
2045-2075_annual,332.015,253.329,24.695,32.512,4.203,0.012,0.000,0.012,20.668,390.235,-58.220,205.197,146.977,0.529,0.324,0.196,0.203,0.232,0.000,0.000,0.000,0.232,0.010,0.222,1.017,0.010,0.001,0.004,0.005,0.010,0.022,0.484,0.010,0.010,0.287,104.796,20.366,
2045-2075_DJF,280.956,196.999,15.643,41.449,4.246,0.014,0.000,0.014,11.298,341.762,-60.805,159.569,98.764,0.356,0.191,0.116,0.116,0.330,0.000,0.000,0.000,0.330,0.011,0.331,2.010,0.009,0.000,0.004,0.005,0.011,0.023,0.511,0.008,-0.001,0.325,118.712,-5.192,2060.000
2045-2075_MAM,330.939,278.429,25.315,26.993,4.137,0.015,0.000,0.015,21.102,391.611,-60.672,225.528,164.855,0.593,0.357,0.196,0.228,0.390,0.000,0.000,0.000,0.390,0.021,0.382,1.191,0.020,0.004,0.009,0.007,0.021,0.041,0.671,0.019,0.008,0.352,128.372,-18.060,2060.000
2045-2075_JJA,385.809,299.508,32.052,32.725,4.340,0.008,0.000,0.008,29.033,435.125,-49.316,242.601,193.285,0.696,0.423,0.271,0.287,0.041,0.000,0.000,0.000,0.041,0.000,0.042,0.092,0.005,0.000,0.000,0.005,0.000,0.000,0.481,0.004,-0.000,0.184,67.099,50.422,2060.000
2045-2075_SON,329.341,237.119,25.605,29.016,4.088,0.012,0.000,0.012,21.061,391.520,-62.179,192.067,129.887,0.468,0.324,0.199,0.181,0.168,0.000,0.000,0.000,0.168,0.009,0.133,0.791,0.008,0.000,0.005,0.003,0.009,0.023,0.272,0.007,0.035,0.288,105.276,54.169,2060.000
2070-2100_annual,330.577,254.348,24.640,31.717,4.214,0.011,0.000,0.011,20.533,389.528,-58.951,206.022,147.071,0.529,0.328,0.195,0.203,0.213,0.000,0.000,0.000,0.213,0.011,0.201,0.967,0.011,0.002,0.005,0.005,0.011,0.023,0.449,0.010,0.011,0.264,96.292,19.100,
2070-2100_DJF,279.702,196.446,15.392,40.893,4.222,0.016,0.000,0.016,11.037,340.537,-60.835,159.121,98.286,0.354,0.190,0.114,0.115,0.327,0.000,0.000,0.000,0.327,0.010,0.324,1.955,0.008,0.000,0.003,0.005,0.010,0.018,0.472,0.007,0.003,0.390,142.438,21.612,2084.997
2070-2100_MAM,330.339,280.734,25.409,26.913,4.138,0.016,0.000,0.016,21.142,391.775,-61.436,227.395,165.959,0.597,0.360,0.197,0.229,0.340,0.000,0.000,0.000,0.340,0.019,0.330,1.051,0.018,0.003,0.008,0.007,0.019,0.040,0.653,0.018,0.010,0.379,138.451,11.651,2085.000
2070-2100_JJA,384.224,300.363,32.105,31.599,4.356,0.005,0.000,0.005,28.983,434.842,-50.618,243.294,192.675,0.694,0.428,0.272,0.286,0.036,0.000,0.000,0.000,0.036,0.003,0.040,0.092,0.007,0.000,0.002,0.005,0.003,0.006,0.453,0.006,-0.004,0.130,47.337,30.591,2085.000
2070-2100_SON,327.026,238.560,25.485,27.595,4.138,0.007,0.000,0.007,20.789,390.020,-62.994,193.234,130.240,0.469,0.330,0.198,0.181,0.149,0.000,0.000,0.000,0.149,0.012,0.114,0.789,0.011,0.002,0.006,0.002,0.012,0.026,0.217,0.009,0.036,0.157,57.410,12.522,2085.000
