,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,352.394,244.066,25.645,41.707,3.909,0.012,0.000,0.012,22.222,398.223,-45.829,197.694,151.865,0.547,0.293,0.201,0.212,0.224,0.000,0.000,0.000,0.224,0.021,0.208,1.032,0.021,0.009,0.007,0.005,0.019,0.034,0.468,0.020,0.016,0.289,105.351,22.291,
2015-2045_DJF,296.388,194.075,18.739,38.871,3.404,0.008,0.000,0.008,13.819,354.017,-57.629,157.201,99.572,0.358,0.201,0.137,0.124,0.281,0.000,0.000,0.000,0.281,0.019,0.311,2.034,0.019,0.004,0.010,0.006,0.020,0.046,0.563,0.018,-0.031,0.198,72.298,-48.031,2030.005
2015-2045_MAM,346.090,276.946,26.533,31.820,4.092,0.014,0.000,0.014,22.714,400.145,-54.055,224.326,170.271,0.613,0.352,0.207,0.239,0.334,0.000,0.000,0.000,0.334,0.034,0.302,1.029,0.033,0.014,0.012,0.006,0.028,0.054,0.578,0.032,0.032,0.341,124.378,2.293,2030.000
2015-2045_JJA,412.833,278.546,30.545,56.088,4.795,0.014,0.000,0.014,29.119,435.638,-22.805,225.622,202.817,0.730,0.343,0.253,0.297,0.085,0.000,0.000,0.000,0.085,0.018,0.068,0.201,0.022,0.015,0.003,0.005,0.014,0.012,0.460,0.021,0.017,0.330,120.430,88.162,2030.000
2015-2045_SON,353.192,225.533,26.639,39.976,3.331,0.012,0.000,0.012,23.084,402.282,-49.090,182.681,133.591,0.481,0.275,0.208,0.188,0.197,0.000,0.000,0.000,0.197,0.013,0.150,0.882,0.010,0.002,0.005,0.003,0.013,0.025,0.272,0.009,0.047,0.284,103.643,45.637,2030.000
2045-2075_annual,354.731,245.914,25.962,41.017,3.961,0.011,0.000,0.011,22.543,399.961,-45.231,199.190,153.960,0.554,0.300,0.205,0.216,0.201,0.000,0.000,0.000,0.201,0.015,0.186,0.839,0.015,0.007,0.004,0.004,0.012,0.020,0.364,0.015,0.015,0.259,94.543,21.321,
2045-2075_DJF,297.297,196.711,19.155,37.577,3.417,0.007,0.000,0.007,14.191,355.848,-58.552,159.336,100.784,0.363,0.207,0.140,0.127,0.242,0.000,0.000,0.000,0.242,0.006,0.251,1.410,0.006,0.000,0.002,0.004,0.006,0.012,0.372,0.006,-0.010,0.179,65.451,-28.318,2060.000
2045-2075_MAM,347.892,278.896,26.789,30.897,4.192,0.009,0.000,0.009,22.970,401.571,-53.680,225.906,172.226,0.620,0.361,0.210,0.242,0.293,0.000,0.000,0.000,0.293,0.016,0.283,0.930,0.014,0.001,0.008,0.005,0.016,0.037,0.471,0.013,0.009,0.212,77.284,-30.990,2060.000
2045-2075_JJA,417.213,278.556,30.778,56.166,4.844,0.015,0.000,0.015,29.395,437.235,-20.021,225.630,205.609,0.740,0.348,0.256,0.301,0.064,0.000,0.000,0.000,0.064,0.001,0.063,0.149,0.004,0.000,0.000,0.004,0.001,0.001,0.353,0.003,0.002,0.356,130.098,106.091,2060.000
2045-2075_SON,355.421,228.352,27.006,39.343,3.374,0.012,0.000,0.012,23.467,404.388,-48.968,184.966,135.998,0.490,0.281,0.212,0.192,0.208,0.000,0.000,0.000,0.208,0.039,0.148,0.878,0.037,0.028,0.007,0.003,0.027,0.031,0.257,0.036,0.060,0.287,104.892,37.721,2060.000
2070-2100_annual,353.324,246.433,25.876,40.584,3.975,0.010,0.000,0.010,22.415,399.268,-45.944,199.611,153.666,0.553,0.301,0.204,0.216,0.187,0.000,0.000,0.000,0.187,0.011,0.175,0.836,0.011,0.003,0.004,0.004,0.011,0.021,0.368,0.010,0.012,0.242,88.283,20.634,
2070-2100_DJF,296.414,195.554,18.927,37.264,3.409,0.009,0.000,0.009,13.982,354.833,-58.419,158.399,99.980,0.360,0.205,0.138,0.125,0.301,0.000,0.000,0.000,0.301,0.013,0.289,1.779,0.010,0.002,0.005,0.004,0.013,0.026,0.367,0.010,0.012,0.222,80.911,-28.012,2084.997
2070-2100_MAM,347.183,280.572,26.814,31.610,4.201,0.011,0.000,0.011,22.981,401.595,-54.413,227.263,172.850,0.622,0.360,0.210,0.243,0.288,0.000,0.000,0.000,0.288,0.019,0.273,0.927,0.019,0.005,0.008,0.006,0.017,0.037,0.558,0.018,0.015,0.272,99.404,-6.946,2085.000
2070-2100_JJA,415.747,278.624,30.778,55.609,4.908,0.012,0.000,0.012,29.318,436.794,-21.047,225.685,204.638,0.737,0.350,0.256,0.300,0.041,0.000,0.000,0.000,0.041,0.001,0.046,0.104,0.005,0.000,0.001,0.004,0.001,0.005,0.367,0.004,-0.004,0.288,105.086,86.997,2085.000
2070-2100_SON,352.848,229.821,26.862,37.757,3.366,0.008,0.000,0.008,23.226,403.034,-50.186,186.155,135.969,0.489,0.285,0.210,0.192,0.121,0.000,0.000,0.000,0.121,0.012,0.093,0.550,0.011,0.006,0.004,0.002,0.014,0.017,0.179,0.010,0.028,0.185,67.363,29.658,2085.000
