"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
1981-01-02,0.00192083375379401,0,0,0,0.00192083375379401,0.00100063595998514,4.82653048961343,95.1743897081804,0,0,0,0,0.00100063595998514,0,0,0,"1981",-4.82460965585963
1981-01-03,6.04987009068978e-05,0,0,0,6.04987009068978e-05,3.00260882025591e-05,5.14029513752496,90.0341250432681,0,0,0,0,3.00260882025591e-05,0.00100063595998514,0,0,"1981",-5.14023463882405
1981-01-04,0.000468864932028459,0,0,0,0.000468864932028459,0.000220388277724676,4.32187375731059,85.7124997626119,7.32991529624172e-06,0,0,7.32991529624172e-06,0.000220388277724676,3.00260882025591e-05,0.000993306044688898,0,"1981",-4.32140489237856
1981-01-05,0.00122509869336347,0,0,0,0.00122509869336347,0.000548772928103067,5.52388628891175,80.1892897994654,7.49617058948007e-06,0,0,7.49617058948007e-06,0.000548772928103067,0.000220388277724676,0.00101583596230198,0,"1981",-5.52266119021838
1981-01-06,0,0,0,0,0,0,3.78170885793557,76.4075809415298,9.05565992920216e-06,0,0,9.05565992920216e-06,0,0.000548772928103067,0.00122716858009745,0,"1981",-3.78170885793557
1981-01-07,0,0,0,0,0,0,3.98167238874531,72.4259085527845,1.30092274780759e-05,0,0,1.30092274780759e-05,0,0,0.00176293228072244,0,"1981",-3.98167238874531
1981-01-08,0,0,0,0,0,0,4.03991436279219,68.3859941899923,1.2913931546991e-05,0,0,1.2913931546991e-05,0,0,0.00175001834917545,0,"1981",-4.03991436279219
1981-01-09,0,0,0,0,0,0,4.53458435553335,63.851409834459,1.28193336830662e-05,0,0,1.28193336830662e-05,0,0,0.00173719901549238,0,"1981",-4.53458435553335
1981-01-10,0,0,0,0,0,0,4.62414511100233,59.2272647234566,1.27254287727805e-05,0,0,1.27254287727805e-05,0,0,0.0017244735867196,0,"1981",-4.62414511100233
1981-01-11,0,0,0,0,0,0,4.63925704792793,54.5880076755287,1.26322117400704e-05,0,0,1.26322117400704e-05,0,0,0.00171184137497953,0,"1981",-4.63925704792793
