"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
2011-08-22,1.49457503187893,0,0,0,1.49457503187893,0.00175525384540896,0.0264754638457791,1.66443961319966,0.00427812294305915,0,0,0.00427812294305915,0.00175525384540896,5.78377938624499e-05,0.579745496028004,0,"2011",1.46809956803315
2011-08-23,1.39488829745977,0,0,0,1.39488829745977,0.01316890821051,0.345293115405861,2.70086588704306,0.00424720827088401,0,0,0.00424720827088401,0.01316890821051,0.00175525384540896,0.575556125550982,0,"2011",1.04959518205391
2011-08-24,0.7763798287381,0,0,0,0.7763798287381,0.0117747472993394,0.610710271046501,2.85476069743531,0.0042289540649677,0,0,0.0042289540649677,0.0117747472993394,0.01316890821051,0.573082425331424,0,"2011",0.165669557691599
2011-08-25,0.0206149323340242,0,0,0,0.0206149323340242,0.000330085108189513,0.571329358717804,2.30371618594335,0.00429444152420321,0,0,0.00429444152420321,0.000330085108189513,0.0117747472993394,0.58195689201773,0,"2011",-0.55071442638378
2011-08-26,0.00491551944868424,0,0,0,0.00491551944868424,6.37981150439233e-05,0.38013452621257,1.92843338106442,0.00434923668439569,0,0,0.00434923668439569,6.37981150439233e-05,0.000330085108189513,0.589382402632674,0,"2011",-0.375219006763886
2011-08-27,0.0102847791541726,0,0,0,0.0102847791541726,0.000112153678786434,0.426949507713408,1.51165649882639,0.00431979536727893,0,0,0.00431979536727893,0.000112153678786434,6.37981150439233e-05,0.585392692373584,0,"2011",-0.416664728559235
2011-08-28,0.059560971042841,0,0,0,0.059560971042841,0.000511712413853109,0.333210312620675,1.23749544483471,0.00428861909478081,0,0,0.00428861909478081,0.000511712413853109,0.000112153678786434,0.581167871393848,0,"2011",-0.273649341577834
2011-08-29,1.18867847541849,0,0,0,1.18867847541849,0.00839507842828124,0.22788844580277,2.18989039602214,0.00425802541340104,0,0,0.00425802541340104,0.00839507842828124,0.000511712413853109,0.577021999659233,0,"2011",0.960790029615718
2011-08-30,0.000211745453174143,0,0,0,0.000211745453174143,2.61518941147811e-06,0.415290256099094,1.77480927018681,0.00423058270890309,0,0,0.00423058270890309,2.61518941147811e-06,0.00839507842828124,0.573303129364183,0,"2011",-0.41507851064592
2011-08-31,0,0,0,0,0,0,0.362501493687684,1.41230777649913,0.00426108870918221,0,0,0.00426108870918221,0,2.61518941147811e-06,0.577437119083282,0,"2011",-0.362501493687684
2011-09-01,0,0,0,0,0,0,0.264732569069382,1.14757520742975,0.00422989429738866,0,0,0.00422989429738866,0,0,0.573209839975305,0,"2011",-0.264732569069382
