,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,357.062,243.004,26.463,39.574,3.522,0.009,0.000,0.009,23.099,402.925,-45.862,196.833,150.971,0.543,0.297,0.210,0.213,0.158,0.000,0.000,0.000,0.158,0.006,0.157,0.607,0.006,0.001,0.002,0.002,0.006,0.011,0.234,0.005,0.001,0.224,81.729,22.742,
2015-2045_DJF,300.189,193.639,19.580,38.514,3.082,0.005,0.000,0.005,14.639,358.041,-57.851,156.847,98.996,0.356,0.200,0.143,0.125,0.169,0.000,0.000,0.000,0.169,0.003,0.206,1.062,0.004,0.000,0.001,0.003,0.003,0.007,0.273,0.003,-0.037,0.129,46.995,-29.423,2030.005
2015-2045_MAM,350.703,277.672,27.404,28.464,3.710,0.008,0.000,0.008,23.724,405.592,-54.890,224.914,170.024,0.612,0.358,0.216,0.241,0.202,0.000,0.000,0.000,0.202,0.014,0.187,0.585,0.013,0.004,0.006,0.003,0.015,0.028,0.305,0.012,0.015,0.200,73.160,0.308,2030.000
2015-2045_JJA,417.298,277.644,31.382,51.934,4.267,0.013,0.000,0.013,29.870,439.952,-22.654,224.891,202.237,0.728,0.357,0.263,0.298,0.102,0.000,0.000,0.000,0.102,0.001,0.101,0.190,0.002,0.000,0.000,0.002,0.001,0.001,0.201,0.001,0.001,0.301,109.834,72.604,2030.000
2015-2045_SON,358.985,221.880,27.362,39.363,3.015,0.011,0.000,0.011,24.010,407.297,-48.312,179.723,131.411,0.473,0.272,0.216,0.187,0.160,0.000,0.000,0.000,0.160,0.005,0.133,0.601,0.004,0.000,0.002,0.002,0.005,0.011,0.158,0.003,0.026,0.264,96.417,46.734,2030.000
2045-2075_annual,366.580,242.062,27.414,39.167,3.601,0.011,0.000,0.011,24.143,408.698,-42.118,196.071,153.953,0.554,0.309,0.221,0.220,0.149,0.000,0.000,0.000,0.149,0.009,0.140,0.482,0.009,0.004,0.003,0.002,0.009,0.013,0.213,0.008,0.009,0.255,93.194,39.277,
2045-2075_DJF,304.728,194.405,20.403,36.490,3.244,0.006,0.000,0.006,15.469,362.218,-57.490,157.468,99.978,0.360,0.213,0.150,0.128,0.142,0.000,0.000,0.000,0.142,0.002,0.144,0.669,0.002,0.000,0.000,0.002,0.002,0.002,0.194,0.001,-0.002,0.149,54.368,1.380,2060.000
2045-2075_MAM,359.529,275.555,28.362,28.581,3.716,0.011,0.000,0.011,24.778,411.453,-51.924,223.200,171.276,0.617,0.367,0.227,0.245,0.216,0.000,0.000,0.000,0.216,0.018,0.204,0.630,0.016,0.007,0.007,0.002,0.017,0.030,0.224,0.015,0.013,0.254,92.608,12.732,2060.000
2045-2075_JJA,430.600,275.980,32.309,53.119,4.372,0.015,0.000,0.015,30.911,446.043,-15.443,223.543,208.101,0.749,0.367,0.276,0.310,0.115,0.000,0.000,0.000,0.115,0.002,0.112,0.216,0.003,0.000,0.001,0.002,0.002,0.004,0.232,0.002,0.003,0.353,128.730,87.048,2060.000
2045-2075_SON,370.311,221.164,28.458,38.420,3.059,0.011,0.000,0.011,25.260,414.242,-43.931,179.143,135.211,0.487,0.286,0.228,0.195,0.121,0.000,0.000,0.000,0.121,0.014,0.099,0.416,0.014,0.009,0.003,0.002,0.015,0.014,0.203,0.013,0.022,0.264,96.356,55.392,2060.000
2070-2100_annual,378.253,241.318,28.465,40.123,3.640,0.011,0.000,0.011,25.353,415.379,-37.125,195.468,158.343,0.570,0.318,0.232,0.229,0.158,0.000,0.000,0.000,0.158,0.010,0.147,0.513,0.010,0.005,0.003,0.002,0.007,0.013,0.235,0.010,0.010,0.262,95.488,38.152,
2070-2100_DJF,312.733,193.440,21.593,36.551,3.224,0.007,0.000,0.007,16.711,368.459,-55.726,156.687,100.960,0.363,0.220,0.159,0.132,0.184,0.000,0.000,0.000,0.184,0.005,0.182,0.858,0.005,0.001,0.002,0.002,0.005,0.011,0.240,0.004,0.002,0.174,63.485,-4.587,2084.997
2070-2100_MAM,368.426,277.445,29.463,27.656,3.758,0.006,0.000,0.006,25.956,418.033,-49.607,224.731,175.123,0.630,0.383,0.241,0.254,0.141,0.000,0.000,0.000,0.141,0.009,0.135,0.416,0.009,0.003,0.003,0.003,0.009,0.014,0.262,0.008,0.007,0.135,49.412,-2.708,2085.000
2070-2100_JJA,446.416,272.313,33.244,54.859,4.489,0.014,0.000,0.014,31.997,452.485,-6.069,220.573,214.504,0.772,0.375,0.289,0.322,0.124,0.000,0.000,0.000,0.124,0.002,0.120,0.224,0.003,0.000,0.001,0.002,0.002,0.006,0.202,0.002,0.004,0.346,126.184,81.610,2085.000
2070-2100_SON,384.240,220.930,29.437,41.372,3.076,0.016,0.000,0.016,26.596,421.701,-37.461,178.953,141.492,0.509,0.289,0.240,0.206,0.183,0.000,0.000,0.000,0.183,0.025,0.154,0.561,0.024,0.017,0.004,0.002,0.014,0.022,0.237,0.023,0.028,0.391,142.767,77.900,2085.000
