,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,302.816,252.551,20.986,29.228,2.917,0.015,0.000,0.015,16.650,369.705,-66.889,204.567,137.678,0.496,0.263,0.163,0.181,0.157,0.000,0.000,0.000,0.157,0.011,0.150,0.639,0.011,0.005,0.004,0.003,0.010,0.017,0.280,0.010,0.007,0.352,128.382,69.715,
2015-2045_DJF,254.204,192.929,11.457,39.698,2.917,0.014,0.000,0.014,6.367,318.733,-64.528,156.273,91.745,0.330,0.145,0.091,0.098,0.210,0.000,0.000,0.000,0.210,0.006,0.244,1.172,0.006,0.000,0.002,0.004,0.006,0.013,0.358,0.005,-0.034,0.338,123.389,32.609,2030.005
2015-2045_MAM,299.211,283.040,21.453,24.250,3.210,0.015,0.000,0.015,16.849,369.536,-70.324,229.262,158.938,0.572,0.297,0.160,0.207,0.210,0.000,0.000,0.000,0.210,0.016,0.196,0.596,0.016,0.007,0.005,0.004,0.013,0.023,0.378,0.016,0.014,0.371,135.454,58.204,2030.000
2015-2045_JJA,355.776,301.222,29.189,23.571,2.948,0.017,0.000,0.017,26.129,418.715,-62.939,243.990,181.050,0.652,0.370,0.235,0.261,0.034,0.000,0.000,0.000,0.034,0.000,0.034,0.072,0.002,0.000,0.000,0.002,0.000,0.000,0.221,0.001,-0.000,0.414,150.962,138.059,2030.000
2015-2045_SON,301.117,231.636,21.668,29.597,2.588,0.012,0.000,0.012,17.061,370.865,-69.748,187.626,117.878,0.424,0.239,0.163,0.155,0.176,0.000,0.000,0.000,0.176,0.023,0.130,0.725,0.020,0.011,0.007,0.002,0.021,0.032,0.164,0.019,0.046,0.283,103.353,49.049,2030.000
2045-2075_annual,311.459,251.300,22.091,28.823,2.941,0.016,0.000,0.016,17.855,376.028,-64.569,203.553,138.984,0.500,0.273,0.173,0.186,0.141,0.000,0.000,0.000,0.141,0.003,0.137,0.495,0.003,0.000,0.001,0.002,0.003,0.007,0.199,0.003,0.003,0.394,143.958,92.999,
2045-2075_DJF,258.611,193.014,12.260,39.102,3.029,0.015,0.000,0.015,7.195,322.571,-63.961,156.341,92.380,0.333,0.152,0.096,0.101,0.176,0.000,0.000,0.000,0.176,0.004,0.181,0.845,0.004,0.000,0.001,0.002,0.004,0.008,0.204,0.003,-0.005,0.359,131.005,63.830,2060.000
2045-2075_MAM,307.127,281.939,22.507,23.966,3.184,0.017,0.000,0.017,17.994,375.477,-68.350,228.371,160.021,0.576,0.306,0.170,0.212,0.210,0.000,0.000,0.000,0.210,0.007,0.208,0.594,0.006,0.001,0.003,0.003,0.007,0.015,0.248,0.006,0.002,0.398,145.151,67.364,2060.000
2045-2075_JJA,368.480,298.709,30.626,23.583,2.963,0.021,0.000,0.021,27.687,427.519,-59.039,241.954,182.915,0.658,0.384,0.253,0.268,0.067,0.000,0.000,0.000,0.067,0.001,0.066,0.136,0.002,0.000,0.000,0.002,0.001,0.001,0.204,0.001,0.001,0.503,183.689,159.214,2060.000
2045-2075_SON,310.589,230.186,22.788,28.839,2.588,0.013,0.000,0.013,18.343,377.528,-66.939,186.450,119.511,0.430,0.248,0.173,0.160,0.109,0.000,0.000,0.000,0.109,0.002,0.094,0.409,0.002,0.000,0.000,0.001,0.002,0.003,0.138,0.001,0.016,0.316,115.427,80.893,2060.000
2070-2100_annual,322.105,250.315,23.447,29.168,2.933,0.017,0.000,0.017,19.319,383.678,-61.574,202.755,141.181,0.508,0.283,0.186,0.192,0.148,0.000,0.000,0.000,0.148,0.011,0.136,0.524,0.011,0.005,0.004,0.002,0.011,0.017,0.227,0.011,0.011,0.406,148.059,94.365,
2070-2100_DJF,265.645,192.662,13.582,39.507,3.007,0.015,0.000,0.015,8.514,328.625,-62.980,156.056,93.076,0.335,0.159,0.103,0.105,0.192,0.000,0.000,0.000,0.192,0.005,0.193,0.840,0.005,0.001,0.002,0.002,0.004,0.008,0.238,0.004,-0.001,0.353,128.783,57.137,2084.997
2070-2100_MAM,314.610,283.740,23.771,22.112,3.164,0.013,0.000,0.013,19.315,382.352,-67.741,229.830,162.088,0.584,0.322,0.181,0.219,0.174,0.000,0.000,0.000,0.174,0.014,0.162,0.504,0.013,0.004,0.007,0.003,0.015,0.029,0.285,0.013,0.012,0.305,111.161,47.385,2085.000
2070-2100_JJA,384.783,294.508,32.208,24.432,3.014,0.021,0.000,0.021,29.385,437.254,-52.471,238.551,186.080,0.670,0.398,0.274,0.277,0.053,0.000,0.000,0.000,0.053,0.001,0.052,0.104,0.002,0.000,0.000,0.002,0.001,0.001,0.215,0.002,0.000,0.497,181.411,161.687,2085.000
2070-2100_SON,322.293,229.006,24.044,30.840,2.544,0.019,0.000,0.019,19.862,385.440,-63.147,185.495,122.348,0.440,0.252,0.184,0.167,0.173,0.000,0.000,0.000,0.173,0.027,0.140,0.655,0.025,0.017,0.007,0.002,0.026,0.031,0.170,0.025,0.034,0.468,170.757,110.712,2085.000
