,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,349.460,226.279,23.518,50.086,3.263,0.029,0.000,0.029,20.719,390.530,-41.071,183.286,142.216,0.512,0.246,0.183,0.194,0.668,0.000,0.000,0.000,0.668,0.055,0.618,2.166,0.054,0.012,0.026,0.017,0.051,0.116,1.661,0.055,0.050,0.696,254.185,8.837,
2015-2045_DJF,291.747,171.372,15.346,62.933,2.607,0.015,0.000,0.015,11.632,343.350,-51.603,138.811,87.209,0.314,0.122,0.113,0.102,0.379,0.000,0.000,0.000,0.379,0.039,0.403,2.706,0.045,0.008,0.021,0.017,0.036,0.093,1.678,0.046,-0.024,0.363,132.528,-31.236,2030.005
2015-2045_MAM,341.522,267.577,23.910,37.393,3.239,0.027,0.000,0.027,20.658,389.153,-47.630,216.738,169.107,0.609,0.296,0.181,0.229,0.627,0.000,0.000,0.000,0.627,0.057,0.569,1.651,0.055,0.012,0.029,0.014,0.050,0.122,1.374,0.055,0.058,0.644,235.068,7.581,2030.000
2015-2045_JJA,414.652,262.950,30.880,46.973,4.301,0.046,0.000,0.046,29.656,438.833,-24.182,212.989,188.808,0.680,0.352,0.257,0.277,1.036,0.000,0.000,0.000,1.036,0.065,0.955,2.024,0.059,0.018,0.025,0.016,0.064,0.121,1.598,0.060,0.081,1.100,401.391,31.092,2030.000
2015-2045_SON,348.798,201.893,23.782,53.328,2.889,0.028,0.000,0.028,20.754,389.868,-41.070,163.533,122.463,0.441,0.211,0.181,0.167,0.623,0.000,0.000,0.000,0.623,0.057,0.539,2.296,0.058,0.010,0.028,0.020,0.055,0.127,1.999,0.058,0.084,0.672,245.310,27.340,2030.000
2045-2075_annual,357.431,226.198,24.765,48.353,3.280,0.027,0.000,0.027,22.105,398.189,-40.758,183.221,142.463,0.513,0.259,0.197,0.198,0.626,0.000,0.000,0.000,0.626,0.047,0.579,1.854,0.047,0.011,0.021,0.015,0.045,0.096,1.519,0.047,0.047,0.647,236.185,7.620,
2045-2075_DJF,296.221,174.401,16.260,60.602,2.620,0.016,0.000,0.016,12.474,347.436,-51.215,141.264,90.050,0.324,0.132,0.119,0.107,0.373,0.000,0.000,0.000,0.373,0.029,0.364,2.249,0.033,0.003,0.016,0.014,0.028,0.073,1.432,0.034,0.009,0.373,135.992,-9.216,2060.000
2045-2075_MAM,350.229,267.821,24.962,36.151,3.208,0.023,0.000,0.023,21.793,395.316,-45.087,216.935,171.848,0.619,0.308,0.192,0.236,0.557,0.000,0.000,0.000,0.557,0.036,0.521,1.391,0.035,0.007,0.015,0.013,0.034,0.070,1.275,0.035,0.036,0.555,202.562,-0.299,2060.000
2045-2075_JJA,422.629,260.064,32.696,45.543,4.379,0.045,0.000,0.045,31.808,451.469,-28.840,210.652,181.811,0.655,0.368,0.281,0.272,1.063,0.000,0.000,0.000,1.063,0.073,0.973,2.098,0.062,0.015,0.032,0.015,0.069,0.147,1.521,0.062,0.090,1.075,392.452,14.493,2060.000
2045-2075_SON,359.488,201.238,24.980,51.383,2.897,0.024,0.000,0.024,22.161,397.549,-38.061,163.003,124.942,0.450,0.225,0.193,0.173,0.505,0.000,0.000,0.000,0.505,0.050,0.453,1.685,0.058,0.018,0.021,0.019,0.049,0.093,1.850,0.057,0.053,0.580,211.532,25.368,2060.000
2070-2100_annual,364.806,228.052,25.984,48.430,3.348,0.029,0.000,0.029,23.498,405.868,-41.062,184.722,143.660,0.517,0.268,0.210,0.202,0.667,0.000,0.000,0.000,0.667,0.063,0.604,1.876,0.063,0.022,0.025,0.016,0.058,0.113,1.577,0.063,0.063,0.707,257.873,14.492,
2070-2100_DJF,302.665,175.714,17.310,59.659,2.592,0.016,0.000,0.016,13.540,352.592,-49.926,142.328,92.402,0.333,0.139,0.126,0.112,0.368,0.000,0.000,0.000,0.368,0.028,0.361,2.073,0.035,0.004,0.016,0.015,0.027,0.073,1.460,0.036,0.007,0.379,138.251,-6.534,2084.997
2070-2100_MAM,358.335,270.180,26.176,34.732,3.241,0.022,0.000,0.022,23.086,402.367,-44.032,218.846,174.814,0.629,0.324,0.205,0.244,0.551,0.000,0.000,0.000,0.551,0.042,0.495,1.326,0.039,0.003,0.023,0.013,0.041,0.099,1.299,0.039,0.056,0.533,194.372,-0.570,2085.000
2070-2100_JJA,426.620,262.398,34.191,46.738,4.522,0.046,0.000,0.046,33.584,462.083,-35.462,212.542,177.080,0.637,0.372,0.302,0.268,1.087,0.000,0.000,0.000,1.087,0.085,1.005,2.152,0.078,0.030,0.033,0.015,0.077,0.153,1.500,0.078,0.082,1.105,403.485,8.157,2085.000
2070-2100_SON,370.467,202.630,26.094,52.857,3.021,0.034,0.000,0.034,23.593,405.399,-34.932,164.130,129.199,0.465,0.232,0.205,0.181,0.656,0.000,0.000,0.000,0.656,0.097,0.549,1.958,0.100,0.051,0.028,0.021,0.088,0.126,2.053,0.099,0.107,0.804,293.463,56.972,2085.000
