,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,320.728,253.723,23.985,28.495,3.864,0.009,0.000,0.009,19.684,385.126,-64.398,205.516,141.118,0.508,0.317,0.190,0.193,0.209,0.000,0.000,0.000,0.209,0.014,0.198,0.998,0.014,0.005,0.005,0.004,0.012,0.024,0.443,0.013,0.010,0.226,82.390,5.021,
2015-2045_DJF,273.412,195.029,14.466,38.710,3.875,0.012,0.000,0.012,9.946,335.281,-61.870,157.974,96.104,0.346,0.183,0.108,0.110,0.312,0.000,0.000,0.000,0.312,0.013,0.337,2.002,0.012,0.001,0.006,0.005,0.013,0.028,0.534,0.011,-0.025,0.279,102.003,-25.116,2030.005
2015-2045_MAM,320.485,278.586,24.653,24.213,3.871,0.012,0.000,0.012,20.191,386.763,-66.277,225.654,159.377,0.574,0.346,0.189,0.218,0.298,0.000,0.000,0.000,0.298,0.018,0.289,0.941,0.019,0.006,0.007,0.006,0.018,0.033,0.621,0.018,0.008,0.297,108.520,-3.608,2030.000
2015-2045_JJA,369.068,304.960,31.859,24.685,3.978,0.004,0.000,0.004,28.365,431.286,-62.218,247.018,184.800,0.665,0.428,0.268,0.274,0.021,0.000,0.000,0.000,0.021,0.000,0.021,0.044,0.004,0.000,0.000,0.004,0.000,0.000,0.388,0.003,-0.000,0.089,32.537,23.686,2030.000
2015-2045_SON,319.015,234.983,24.789,26.547,3.731,0.010,0.000,0.010,20.051,386.224,-67.209,190.336,123.127,0.443,0.308,0.192,0.170,0.206,0.000,0.000,0.000,0.206,0.026,0.149,1.024,0.023,0.013,0.008,0.002,0.019,0.037,0.229,0.022,0.058,0.238,86.926,24.754,2030.000
2045-2075_annual,329.234,252.373,25.024,27.520,3.930,0.009,0.000,0.009,20.739,390.799,-61.565,204.422,142.857,0.514,0.330,0.201,0.198,0.198,0.001,0.002,0.001,0.199,0.009,0.190,0.832,0.009,0.002,0.004,0.004,0.009,0.017,0.366,0.008,0.008,0.210,76.780,4.516,
2045-2075_DJF,277.190,195.429,15.175,36.141,4.071,0.010,0.000,0.010,10.648,338.664,-61.474,158.298,96.824,0.349,0.195,0.113,0.113,0.243,0.004,0.008,0.004,0.246,0.010,0.270,1.550,0.009,0.001,0.004,0.004,0.009,0.020,0.377,0.009,-0.027,0.242,88.504,-13.230,2060.000
2045-2075_MAM,328.717,277.403,25.757,23.656,3.882,0.013,0.000,0.013,21.314,392.768,-64.050,224.697,160.646,0.578,0.359,0.201,0.223,0.352,0.000,0.000,0.000,0.352,0.021,0.340,1.101,0.018,0.004,0.009,0.005,0.022,0.042,0.491,0.018,0.012,0.301,109.993,-20.789,2060.000
2045-2075_JJA,382.066,301.348,33.077,25.145,4.027,0.005,0.000,0.005,29.610,438.470,-56.405,244.092,187.687,0.676,0.441,0.285,0.282,0.039,0.000,0.000,0.000,0.039,0.000,0.039,0.080,0.004,0.000,0.000,0.004,0.000,0.000,0.393,0.003,-0.000,0.129,47.103,31.602,2060.000
2045-2075_SON,327.946,234.015,25.908,25.281,3.741,0.007,0.000,0.007,21.195,392.306,-64.360,189.552,125.191,0.451,0.322,0.203,0.175,0.158,0.000,0.000,0.000,0.158,0.005,0.111,0.611,0.004,0.001,0.001,0.002,0.005,0.007,0.201,0.002,0.048,0.169,61.581,20.310,2060.000
2070-2100_annual,340.131,251.050,26.286,28.071,3.957,0.009,0.000,0.009,22.081,397.993,-57.862,203.351,145.489,0.524,0.340,0.214,0.205,0.186,0.000,0.000,0.000,0.186,0.012,0.174,0.833,0.012,0.004,0.005,0.003,0.013,0.022,0.325,0.012,0.012,0.222,81.060,13.220,
2070-2100_DJF,284.981,194.456,16.466,36.560,4.106,0.012,0.000,0.012,11.901,344.641,-59.661,157.510,97.849,0.352,0.205,0.121,0.117,0.310,0.000,0.000,0.000,0.310,0.015,0.309,1.760,0.015,0.004,0.007,0.004,0.016,0.033,0.370,0.015,0.001,0.280,102.095,-16.132,2084.997
2070-2100_MAM,336.229,279.539,26.990,22.123,3.889,0.010,0.000,0.010,22.554,399.447,-63.218,226.427,163.209,0.588,0.375,0.214,0.230,0.226,0.000,0.000,0.000,0.226,0.013,0.224,0.666,0.014,0.003,0.006,0.005,0.012,0.026,0.459,0.013,0.002,0.229,83.509,-3.000,2085.000
2070-2100_JJA,398.540,295.988,34.357,26.858,4.131,0.005,0.000,0.005,31.019,446.717,-48.177,239.750,191.573,0.690,0.452,0.304,0.291,0.020,0.000,0.000,0.000,0.020,0.000,0.021,0.041,0.003,0.000,0.000,0.003,0.000,0.000,0.288,0.002,-0.000,0.119,43.409,35.093,2085.000
2070-2100_SON,339.707,232.930,27.151,26.893,3.700,0.011,0.000,0.011,22.659,400.161,-60.454,188.673,128.219,0.462,0.327,0.216,0.182,0.192,0.000,0.000,0.000,0.192,0.022,0.145,0.885,0.018,0.010,0.006,0.002,0.024,0.029,0.181,0.017,0.047,0.262,95.793,36.608,2085.000
