,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,272.306,246.998,15.111,32.833,3.290,0.028,0.000,0.028,10.772,340.672,-68.366,200.069,131.703,0.474,0.220,0.120,0.158,0.597,0.014,0.120,0.014,0.612,0.074,0.541,3.314,0.074,0.018,0.035,0.021,0.065,0.153,2.083,0.074,0.056,0.676,246.743,22.207,
2015-2045_DJF,230.533,176.184,4.865,39.204,3.456,0.032,0.002,0.030,0.401,292.279,-61.747,142.709,80.962,0.291,0.111,0.062,0.072,0.924,0.058,0.484,0.057,0.981,0.133,0.869,7.433,0.112,0.030,0.062,0.021,0.116,0.271,2.068,0.112,0.055,0.768,280.332,-77.595,2030.005
2015-2045_MAM,270.738,270.496,14.953,37.232,3.798,0.046,0.000,0.046,10.787,339.539,-68.800,219.102,150.302,0.541,0.225,0.113,0.175,1.096,0.001,0.002,0.001,1.097,0.131,1.037,4.082,0.134,0.033,0.068,0.033,0.115,0.290,3.294,0.134,0.059,1.100,401.548,-25.860,2030.000
2015-2045_JJA,319.273,310.545,24.493,24.159,3.049,0.017,0.000,0.017,20.637,388.800,-69.527,251.541,182.015,0.655,0.336,0.185,0.248,0.035,0.000,0.000,0.000,0.035,0.000,0.038,0.075,0.020,0.000,0.000,0.020,0.000,0.000,2.028,0.021,-0.003,0.403,147.118,125.640,2030.000
2015-2045_SON,267.824,229.210,15.945,30.837,2.856,0.018,0.000,0.018,11.066,341.141,-73.316,185.660,112.343,0.404,0.203,0.120,0.135,0.337,0.000,0.000,0.000,0.337,0.033,0.224,1.727,0.029,0.009,0.011,0.009,0.028,0.051,0.931,0.029,0.112,0.432,157.652,65.183,2030.000
2045-2075_annual,280.894,246.769,16.446,31.972,3.237,0.027,0.000,0.027,12.082,347.132,-66.237,199.883,133.645,0.481,0.231,0.130,0.164,0.594,0.005,0.023,0.005,0.600,0.066,0.534,3.208,0.066,0.014,0.032,0.021,0.064,0.140,2.048,0.066,0.061,0.660,240.831,21.876,
2045-2075_DJF,235.175,176.243,5.943,39.912,3.471,0.033,0.002,0.032,1.355,296.417,-61.242,142.757,81.514,0.293,0.116,0.066,0.075,0.954,0.020,0.089,0.020,0.974,0.137,0.887,7.407,0.125,0.037,0.066,0.023,0.129,0.288,2.232,0.124,0.067,0.798,291.187,-77.979,2060.000
2045-2075_MAM,277.875,272.452,16.332,34.906,3.653,0.042,0.000,0.042,11.998,345.423,-67.549,220.686,153.137,0.551,0.241,0.122,0.183,0.976,0.001,0.003,0.001,0.977,0.086,0.940,3.493,0.090,0.011,0.047,0.032,0.084,0.206,3.135,0.090,0.036,1.000,364.939,-11.047,2060.000
2045-2075_JJA,332.744,308.927,26.013,23.297,3.035,0.018,0.000,0.018,22.295,397.689,-64.945,250.231,185.286,0.667,0.353,0.200,0.257,0.071,0.000,0.000,0.000,0.071,0.002,0.075,0.169,0.020,0.000,0.001,0.019,0.002,0.005,1.919,0.020,-0.004,0.431,157.450,122.697,2060.000
2045-2075_SON,276.858,227.889,17.303,29.903,2.788,0.017,0.000,0.017,12.476,348.029,-71.170,184.590,113.419,0.408,0.212,0.130,0.140,0.381,0.001,0.001,0.000,0.381,0.040,0.236,1.827,0.030,0.007,0.014,0.009,0.043,0.061,0.898,0.031,0.145,0.410,149.731,52.238,2060.000
2070-2100_annual,290.665,245.791,18.042,31.303,3.144,0.026,0.000,0.026,13.672,355.033,-64.368,199.091,134.723,0.485,0.242,0.142,0.170,0.567,0.001,0.004,0.001,0.568,0.075,0.493,3.026,0.075,0.025,0.032,0.018,0.063,0.140,1.781,0.075,0.074,0.631,230.462,23.027,
2070-2100_DJF,240.861,176.678,7.477,40.219,3.338,0.033,0.000,0.032,2.680,302.138,-61.277,143.109,81.832,0.295,0.122,0.072,0.079,0.994,0.005,0.016,0.005,0.999,0.123,0.912,7.221,0.112,0.032,0.061,0.019,0.113,0.268,1.909,0.112,0.082,0.784,286.145,-87.455,2084.997
2070-2100_MAM,285.157,274.131,17.904,31.719,3.545,0.036,0.000,0.036,13.392,352.251,-67.094,222.046,154.953,0.558,0.259,0.133,0.191,0.820,0.001,0.001,0.001,0.821,0.106,0.777,2.962,0.115,0.037,0.049,0.029,0.082,0.212,2.832,0.115,0.043,0.853,311.187,-14.260,2085.000
2070-2100_JJA,347.710,305.358,27.812,22.804,3.001,0.018,0.000,0.018,24.308,408.699,-60.989,247.340,186.351,0.671,0.368,0.220,0.265,0.049,0.000,0.000,0.000,0.049,0.000,0.053,0.105,0.016,0.000,0.000,0.016,0.000,0.001,1.624,0.016,-0.004,0.428,156.272,130.897,2085.000
2070-2100_SON,287.944,225.442,18.778,30.635,2.691,0.019,0.000,0.019,14.100,356.036,-68.092,182.608,114.516,0.412,0.218,0.140,0.145,0.412,0.000,0.000,0.000,0.412,0.071,0.237,1.883,0.058,0.032,0.018,0.008,0.059,0.081,0.750,0.057,0.175,0.462,168.644,61.211,2085.000
