,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,337.737,247.794,25.233,32.853,3.651,0.011,0.000,0.011,21.348,393.801,-56.064,200.713,144.649,0.521,0.309,0.200,0.202,0.164,0.000,0.000,0.000,0.164,0.012,0.156,0.679,0.012,0.005,0.004,0.003,0.009,0.020,0.313,0.012,0.008,0.271,99.054,38.049,
2015-2045_DJF,287.618,191.554,16.785,41.942,3.655,0.013,0.000,0.013,12.139,345.825,-58.207,155.159,96.952,0.349,0.187,0.123,0.117,0.248,0.000,0.000,0.000,0.248,0.009,0.280,1.358,0.009,0.000,0.004,0.004,0.009,0.022,0.412,0.008,-0.032,0.322,117.400,12.373,2030.005
2015-2045_MAM,335.909,272.930,25.854,26.443,3.649,0.015,0.000,0.015,21.760,395.054,-59.146,221.074,161.928,0.583,0.344,0.200,0.225,0.207,0.000,0.000,0.000,0.207,0.011,0.201,0.579,0.012,0.003,0.005,0.004,0.009,0.022,0.429,0.011,0.006,0.361,131.746,54.277,2030.000
2015-2045_JJA,389.697,296.090,32.101,32.440,3.782,0.005,0.000,0.005,29.513,437.917,-48.221,239.833,191.612,0.690,0.401,0.272,0.285,0.016,0.000,0.000,0.000,0.016,0.000,0.017,0.032,0.003,0.000,0.000,0.003,0.000,0.000,0.249,0.002,-0.000,0.115,42.079,35.420,2030.000
2015-2045_SON,336.748,229.317,26.039,30.740,3.514,0.012,0.000,0.012,21.806,395.502,-58.754,185.747,126.993,0.457,0.300,0.203,0.178,0.185,0.000,0.000,0.000,0.185,0.031,0.127,0.762,0.027,0.017,0.008,0.002,0.020,0.036,0.162,0.026,0.058,0.289,105.414,49.759,2030.000
2045-2075_annual,346.659,246.442,26.233,31.709,3.716,0.010,0.000,0.010,22.415,399.646,-52.987,199.618,146.631,0.528,0.321,0.211,0.207,0.149,0.000,0.000,0.000,0.149,0.005,0.144,0.530,0.005,0.000,0.002,0.002,0.005,0.011,0.232,0.004,0.005,0.243,88.869,34.930,
2045-2075_DJF,291.432,191.960,17.517,38.829,3.867,0.011,0.000,0.011,12.857,349.367,-57.934,155.488,97.553,0.351,0.201,0.129,0.119,0.203,0.000,0.000,0.000,0.203,0.007,0.213,1.014,0.006,0.001,0.003,0.002,0.007,0.015,0.240,0.005,-0.010,0.271,98.793,19.025,2060.000
2045-2075_MAM,344.804,271.702,26.880,25.674,3.667,0.015,0.000,0.015,22.860,401.038,-56.233,220.079,163.845,0.590,0.357,0.212,0.231,0.247,0.000,0.000,0.000,0.247,0.010,0.243,0.688,0.008,0.001,0.005,0.003,0.010,0.024,0.310,0.008,0.004,0.351,127.968,36.438,2060.000
2045-2075_JJA,402.960,292.530,33.264,33.084,3.824,0.006,0.000,0.006,30.786,445.368,-42.408,236.949,194.541,0.700,0.412,0.288,0.292,0.038,0.000,0.000,0.000,0.038,0.000,0.038,0.072,0.003,0.000,0.000,0.003,0.000,0.000,0.250,0.002,0.000,0.154,56.074,41.670,2060.000
2045-2075_SON,346.370,228.326,27.113,29.359,3.506,0.008,0.000,0.008,22.980,401.865,-55.495,184.944,129.449,0.466,0.313,0.215,0.184,0.107,0.000,0.000,0.000,0.107,0.002,0.082,0.351,0.002,0.000,0.001,0.001,0.002,0.006,0.126,0.001,0.026,0.199,72.655,42.360,2060.000
2070-2100_annual,357.630,244.993,27.373,32.506,3.774,0.011,0.000,0.011,23.657,406.385,-48.755,198.444,149.689,0.539,0.331,0.224,0.214,0.143,0.000,0.000,0.000,0.143,0.007,0.136,0.531,0.007,0.001,0.003,0.002,0.006,0.014,0.225,0.006,0.006,0.261,95.144,43.315,
2070-2100_DJF,299.490,190.600,18.766,39.253,3.911,0.014,0.000,0.014,14.100,355.439,-55.949,154.386,98.436,0.354,0.210,0.137,0.123,0.238,0.000,0.000,0.000,0.238,0.008,0.238,1.047,0.008,0.002,0.003,0.002,0.008,0.015,0.243,0.007,-0.000,0.335,122.250,32.889,2084.997
2070-2100_MAM,352.703,273.768,28.035,24.126,3.693,0.011,0.000,0.011,24.056,407.588,-54.884,221.752,166.868,0.601,0.374,0.225,0.238,0.164,0.000,0.000,0.000,0.164,0.007,0.161,0.436,0.007,0.001,0.004,0.003,0.007,0.017,0.309,0.006,0.002,0.260,94.740,33.600,2085.000
2070-2100_JJA,418.410,287.012,34.318,35.319,3.982,0.006,0.000,0.006,31.944,452.219,-33.809,232.479,198.670,0.715,0.421,0.304,0.301,0.022,0.000,0.000,0.000,0.022,0.000,0.023,0.042,0.002,0.000,0.000,0.002,0.000,0.000,0.209,0.002,-0.001,0.146,53.243,44.295,2085.000
2070-2100_SON,358.809,227.351,28.215,31.446,3.508,0.013,0.000,0.013,24.350,409.343,-50.534,184.154,133.620,0.481,0.318,0.227,0.192,0.149,0.000,0.000,0.000,0.149,0.011,0.124,0.612,0.009,0.002,0.006,0.001,0.010,0.026,0.137,0.009,0.025,0.304,111.039,62.481,2085.000
