,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,326.193,254.084,24.391,30.644,4.364,0.008,0.000,0.008,20.167,387.543,-61.349,205.808,144.458,0.520,0.332,0.193,0.199,0.135,0.000,0.000,0.000,0.135,0.009,0.131,0.648,0.009,0.003,0.003,0.003,0.009,0.016,0.263,0.008,0.005,0.203,74.001,23.363,
2015-2045_DJF,276.814,196.228,15.021,39.293,4.373,0.009,0.000,0.009,10.687,338.792,-61.977,158.945,96.968,0.349,0.194,0.112,0.113,0.216,0.000,0.000,0.000,0.216,0.007,0.256,1.423,0.008,0.000,0.003,0.004,0.007,0.019,0.380,0.007,-0.040,0.227,82.715,-13.300,2030.005
2015-2045_MAM,325.603,281.427,25.239,24.846,4.328,0.011,0.000,0.011,20.806,389.964,-64.361,227.956,163.595,0.589,0.367,0.195,0.225,0.160,0.000,0.000,0.000,0.160,0.010,0.154,0.464,0.011,0.002,0.005,0.004,0.010,0.022,0.354,0.010,0.007,0.259,94.467,34.652,2030.000
2015-2045_JJA,376.305,302.392,31.872,30.031,4.561,0.005,0.000,0.005,28.404,431.479,-55.173,244.938,189.764,0.683,0.438,0.268,0.282,0.006,0.000,0.000,0.000,0.006,0.000,0.006,0.010,0.002,0.000,0.000,0.002,0.000,0.000,0.191,0.001,-0.000,0.116,42.357,39.708,2030.000
2015-2045_SON,325.087,234.963,25.262,28.550,4.191,0.009,0.000,0.009,20.593,389.013,-63.926,190.320,126.394,0.455,0.325,0.196,0.175,0.160,0.000,0.000,0.000,0.160,0.019,0.108,0.712,0.015,0.009,0.005,0.001,0.018,0.025,0.125,0.015,0.051,0.210,76.662,31.775,2030.000
2045-2075_annual,334.581,252.778,25.415,29.649,4.445,0.008,0.000,0.008,21.180,393.001,-58.419,204.750,146.331,0.527,0.346,0.204,0.204,0.122,0.000,0.000,0.000,0.122,0.003,0.119,0.506,0.003,0.000,0.001,0.002,0.003,0.006,0.168,0.002,0.003,0.199,72.678,28.375,
2045-2075_DJF,280.832,196.817,15.774,36.653,4.613,0.009,0.000,0.009,11.412,342.314,-61.482,159.422,97.940,0.353,0.208,0.117,0.115,0.203,0.000,0.000,0.000,0.203,0.006,0.215,1.150,0.005,0.001,0.002,0.002,0.005,0.012,0.202,0.004,-0.011,0.208,75.829,-4.085,2060.000
2045-2075_MAM,333.707,279.933,26.319,24.305,4.343,0.011,0.000,0.011,21.877,395.726,-62.019,226.745,164.727,0.593,0.381,0.206,0.230,0.167,0.000,0.000,0.000,0.167,0.004,0.168,0.486,0.004,0.000,0.001,0.002,0.004,0.008,0.229,0.003,-0.000,0.273,99.604,37.309,2060.000
2045-2075_JJA,388.377,299.222,33.004,30.607,4.624,0.006,0.000,0.006,29.523,437.938,-49.561,242.370,192.809,0.694,0.451,0.284,0.289,0.028,0.000,0.000,0.000,0.028,0.000,0.028,0.051,0.002,0.000,0.000,0.002,0.000,0.000,0.156,0.001,0.000,0.150,54.804,44.223,2060.000
2045-2075_SON,334.371,233.854,26.389,27.139,4.200,0.007,0.000,0.007,21.724,395.070,-60.699,189.422,128.723,0.463,0.340,0.208,0.181,0.091,0.000,0.000,0.000,0.091,0.002,0.068,0.347,0.001,0.000,0.001,0.001,0.002,0.003,0.085,0.001,0.023,0.165,60.401,35.506,2060.000
2070-2100_annual,345.432,251.350,26.623,30.450,4.495,0.009,0.000,0.009,22.447,399.795,-54.364,203.594,149.230,0.537,0.356,0.217,0.211,0.123,0.000,0.000,0.000,0.123,0.009,0.114,0.488,0.009,0.005,0.003,0.002,0.008,0.013,0.191,0.009,0.009,0.211,76.965,32.144,
2070-2100_DJF,288.904,195.681,17.094,36.887,4.666,0.010,0.000,0.010,12.678,348.394,-59.490,158.502,99.012,0.356,0.219,0.125,0.120,0.212,0.000,0.000,0.000,0.212,0.006,0.211,1.045,0.005,0.001,0.002,0.002,0.005,0.010,0.202,0.004,0.000,0.244,88.922,10.299,2084.997
2070-2100_MAM,341.217,281.890,27.538,22.864,4.358,0.008,0.000,0.008,23.061,402.137,-60.919,228.331,167.412,0.603,0.399,0.219,0.237,0.137,0.000,0.000,0.000,0.137,0.010,0.132,0.409,0.009,0.002,0.005,0.003,0.010,0.022,0.269,0.009,0.006,0.193,70.350,18.972,2085.000
2070-2100_JJA,404.216,293.842,34.095,32.970,4.788,0.006,0.000,0.006,30.737,445.036,-40.820,238.012,197.192,0.710,0.460,0.300,0.298,0.018,0.000,0.000,0.000,0.018,0.000,0.020,0.032,0.002,0.000,0.000,0.002,0.000,0.000,0.181,0.001,-0.001,0.147,53.675,46.130,2085.000
2070-2100_SON,346.309,232.711,27.591,29.190,4.167,0.011,0.000,0.011,23.133,402.655,-56.346,188.496,132.150,0.476,0.344,0.220,0.188,0.127,0.000,0.000,0.000,0.127,0.022,0.096,0.478,0.021,0.015,0.004,0.001,0.016,0.020,0.111,0.020,0.031,0.261,95.346,52.982,2085.000
