,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,341.379,248.140,25.377,34.921,3.173,0.012,0.000,0.012,21.868,396.582,-55.203,200.994,145.790,0.525,0.291,0.200,0.203,0.139,0.000,0.000,0.000,0.139,0.005,0.139,0.574,0.005,0.001,0.002,0.002,0.006,0.011,0.210,0.004,0.001,0.283,103.345,51.123,
2015-2045_DJF,286.337,196.785,17.446,40.485,3.037,0.008,0.000,0.008,12.584,348.030,-61.693,159.396,97.703,0.352,0.184,0.128,0.119,0.151,0.000,0.000,0.000,0.151,0.003,0.188,1.018,0.003,0.000,0.001,0.002,0.003,0.007,0.242,0.003,-0.037,0.183,66.921,-2.640,2030.005
2015-2045_MAM,336.810,279.338,26.229,24.465,3.328,0.011,0.000,0.011,22.429,398.684,-61.874,226.264,164.390,0.592,0.343,0.204,0.229,0.188,0.000,0.000,0.000,0.188,0.013,0.173,0.563,0.012,0.004,0.005,0.003,0.015,0.026,0.278,0.012,0.014,0.254,92.728,25.225,2030.000
2015-2045_JJA,399.610,287.663,31.565,39.933,3.537,0.017,0.000,0.017,29.751,439.279,-39.669,233.007,193.338,0.696,0.370,0.265,0.286,0.073,0.000,0.000,0.000,0.073,0.000,0.073,0.144,0.002,0.000,0.000,0.002,0.000,0.000,0.181,0.001,0.000,0.410,149.662,122.628,2030.000
2015-2045_SON,341.702,227.560,26.121,34.906,2.785,0.012,0.000,0.012,22.537,399.431,-57.730,184.324,126.594,0.456,0.266,0.203,0.177,0.147,0.000,0.000,0.000,0.147,0.004,0.121,0.580,0.003,0.000,0.002,0.001,0.004,0.009,0.140,0.002,0.025,0.283,103.368,58.319,2030.000
2045-2075_annual,350.380,247.096,26.390,34.386,3.222,0.013,0.000,0.013,22.985,402.713,-52.332,200.148,147.815,0.532,0.302,0.212,0.209,0.131,0.000,0.000,0.000,0.131,0.008,0.123,0.452,0.008,0.004,0.002,0.002,0.008,0.012,0.192,0.008,0.008,0.324,118.120,70.461,
2045-2075_DJF,290.924,197.276,18.287,38.812,3.189,0.009,0.000,0.009,13.429,352.197,-61.273,159.794,98.520,0.355,0.195,0.134,0.122,0.127,0.000,0.000,0.000,0.127,0.001,0.129,0.623,0.002,0.000,0.000,0.002,0.001,0.002,0.171,0.001,-0.002,0.207,75.444,28.088,2060.000
2045-2075_MAM,345.418,277.391,27.191,24.343,3.308,0.013,0.000,0.013,23.538,404.779,-59.361,224.686,165.326,0.595,0.351,0.215,0.234,0.201,0.000,0.000,0.000,0.201,0.017,0.189,0.609,0.015,0.007,0.006,0.002,0.016,0.028,0.200,0.014,0.012,0.303,110.745,36.388,2060.000
2045-2075_JJA,411.763,285.999,32.758,40.495,3.581,0.020,0.000,0.020,31.000,446.591,-34.828,231.659,196.831,0.709,0.381,0.281,0.294,0.087,0.000,0.000,0.000,0.087,0.002,0.084,0.172,0.003,0.000,0.001,0.002,0.002,0.004,0.211,0.002,0.002,0.482,175.974,144.379,2060.000
2045-2075_SON,352.291,226.534,27.178,33.973,2.806,0.012,0.000,0.012,23.798,406.349,-54.058,183.492,129.434,0.466,0.278,0.215,0.184,0.110,0.000,0.000,0.000,0.110,0.014,0.089,0.404,0.013,0.009,0.003,0.002,0.015,0.013,0.185,0.013,0.021,0.300,109.400,72.191,2060.000
2070-2100_annual,361.411,246.185,27.520,35.283,3.244,0.014,0.000,0.014,24.257,409.666,-48.255,199.410,151.155,0.544,0.310,0.224,0.216,0.139,0.000,0.000,0.000,0.139,0.010,0.130,0.482,0.010,0.005,0.003,0.002,0.007,0.013,0.212,0.009,0.010,0.336,122.711,72.108,
2070-2100_DJF,298.681,196.272,19.517,39.021,3.175,0.009,0.000,0.009,14.680,358.333,-59.653,158.980,99.328,0.358,0.202,0.143,0.126,0.167,0.000,0.000,0.000,0.167,0.005,0.165,0.808,0.005,0.000,0.003,0.002,0.005,0.012,0.214,0.004,0.002,0.221,80.492,18.876,2084.997
2070-2100_MAM,353.824,279.116,28.322,22.912,3.306,0.008,0.000,0.008,24.783,411.643,-57.819,226.084,168.265,0.606,0.366,0.228,0.241,0.130,0.000,0.000,0.000,0.130,0.008,0.124,0.399,0.008,0.003,0.003,0.002,0.009,0.013,0.237,0.008,0.006,0.194,70.830,22.683,2085.000
2070-2100_JJA,426.941,282.070,33.874,42.546,3.688,0.019,0.000,0.019,32.236,453.934,-26.993,228.477,201.484,0.725,0.389,0.297,0.304,0.094,0.000,0.000,0.000,0.094,0.002,0.091,0.180,0.003,0.000,0.001,0.002,0.002,0.005,0.184,0.002,0.003,0.467,170.288,136.268,2085.000
2070-2100_SON,365.029,226.102,28.220,36.741,2.799,0.019,0.000,0.019,25.156,413.808,-48.780,183.143,134.363,0.484,0.281,0.226,0.193,0.166,0.000,0.000,0.000,0.166,0.024,0.139,0.547,0.023,0.017,0.004,0.002,0.013,0.020,0.214,0.023,0.028,0.463,168.920,109.991,2085.000
