,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,309.650,248.970,22.491,25.221,3.086,0.020,0.000,0.020,18.065,377.398,-67.748,201.666,133.918,0.482,0.291,0.182,0.181,0.557,0.000,0.001,0.000,0.558,0.057,0.505,2.788,0.057,0.012,0.026,0.018,0.050,0.118,1.780,0.057,0.053,0.491,179.058,-25.782,
2015-2045_DJF,264.103,172.542,10.791,38.557,2.971,0.033,0.000,0.033,6.458,319.109,-55.006,139.759,84.753,0.305,0.141,0.088,0.089,0.893,0.001,0.003,0.001,0.893,0.098,0.818,6.163,0.081,0.018,0.045,0.018,0.085,0.201,1.760,0.080,0.075,0.792,289.199,-38.616,2030.005
2015-2045_MAM,309.180,271.691,22.543,27.510,3.417,0.033,0.000,0.033,17.928,375.158,-65.978,220.069,154.091,0.555,0.304,0.172,0.204,1.002,0.000,0.000,0.000,1.002,0.104,0.958,3.463,0.105,0.024,0.053,0.028,0.092,0.229,2.816,0.105,0.044,0.797,291.028,-97.069,2030.000
2015-2045_JJA,359.527,320.848,33.288,12.184,3.423,0.002,0.000,0.002,28.904,434.479,-74.952,259.887,184.935,0.666,0.462,0.288,0.278,0.028,0.000,0.000,0.000,0.028,0.000,0.031,0.060,0.018,0.000,0.000,0.018,0.000,0.000,1.735,0.018,-0.002,0.047,17.137,-0.484,2030.000
2015-2045_SON,304.861,229.111,23.124,22.865,2.523,0.014,0.000,0.014,18.753,379.746,-74.885,185.580,110.695,0.399,0.252,0.179,0.149,0.310,0.000,0.000,0.000,0.310,0.026,0.215,1.518,0.023,0.007,0.008,0.008,0.022,0.040,0.797,0.023,0.095,0.330,120.355,33.439,2030.000
2045-2075_annual,318.894,247.466,23.707,24.628,3.045,0.020,0.000,0.020,19.351,384.254,-65.360,200.448,135.088,0.486,0.300,0.195,0.185,0.550,0.000,0.001,0.000,0.550,0.052,0.498,2.714,0.052,0.009,0.025,0.018,0.051,0.111,1.767,0.052,0.052,0.482,175.922,-24.940,
2045-2075_DJF,268.657,172.701,11.645,38.486,2.950,0.033,0.000,0.033,7.384,323.422,-54.765,139.887,85.122,0.306,0.145,0.093,0.091,0.894,0.001,0.002,0.001,0.895,0.106,0.837,6.172,0.095,0.024,0.051,0.020,0.101,0.227,1.931,0.095,0.057,0.797,290.756,-49.343,2060.000
2045-2075_MAM,317.029,272.097,23.869,25.918,3.338,0.030,0.000,0.030,19.235,382.014,-64.985,220.399,155.414,0.559,0.318,0.184,0.210,0.894,0.000,0.000,0.000,0.894,0.067,0.867,2.975,0.071,0.006,0.037,0.027,0.067,0.166,2.697,0.071,0.027,0.710,258.993,-83.347,2060.000
2045-2075_JJA,374.934,316.012,34.747,12.219,3.437,0.004,0.000,0.004,30.448,443.454,-68.520,255.969,187.450,0.675,0.479,0.309,0.285,0.062,0.000,0.000,0.000,0.062,0.002,0.066,0.145,0.017,0.000,0.001,0.017,0.002,0.003,1.653,0.017,-0.004,0.099,35.955,5.671,2060.000
2045-2075_SON,313.934,227.396,24.342,22.131,2.445,0.014,0.000,0.014,20.116,386.982,-73.048,184.191,111.142,0.400,0.256,0.191,0.153,0.354,0.000,0.000,0.000,0.354,0.033,0.227,1.619,0.025,0.006,0.011,0.008,0.035,0.049,0.780,0.025,0.127,0.328,119.587,27.357,2060.000
2070-2100_annual,330.075,246.671,25.339,24.276,3.001,0.019,0.000,0.019,21.027,393.192,-63.117,199.803,136.687,0.492,0.313,0.212,0.192,0.524,0.000,0.000,0.000,0.524,0.061,0.463,2.605,0.061,0.019,0.026,0.016,0.053,0.115,1.569,0.061,0.061,0.466,169.912,-21.264,
2070-2100_DJF,275.435,172.625,13.029,39.935,2.870,0.035,0.000,0.035,8.808,329.963,-54.528,139.827,85.299,0.307,0.150,0.100,0.095,0.923,0.000,0.000,0.000,0.923,0.095,0.867,6.143,0.085,0.021,0.047,0.017,0.091,0.209,1.681,0.084,0.056,0.850,310.415,-36.803,2084.997
2070-2100_MAM,324.866,274.905,25.437,23.369,3.299,0.024,0.000,0.024,20.795,390.261,-65.395,222.673,157.278,0.566,0.336,0.200,0.217,0.752,0.000,0.000,0.000,0.752,0.087,0.716,2.542,0.095,0.029,0.041,0.025,0.067,0.176,2.496,0.095,0.036,0.573,209.091,-87.096,2085.000
2070-2100_JJA,392.575,311.741,36.674,11.863,3.420,0.003,0.000,0.003,32.405,455.029,-62.454,252.511,190.056,0.684,0.498,0.340,0.294,0.041,0.000,0.000,0.000,0.041,0.000,0.045,0.088,0.014,0.000,0.000,0.014,0.000,0.000,1.431,0.015,-0.004,0.082,29.822,8.235,2085.000
2070-2100_SON,326.331,225.756,25.983,22.217,2.407,0.015,0.000,0.015,21.873,396.329,-69.998,182.862,112.864,0.406,0.266,0.207,0.158,0.386,0.000,0.000,0.000,0.386,0.063,0.228,1.706,0.051,0.028,0.017,0.007,0.055,0.075,0.661,0.050,0.157,0.363,132.626,30.872,2085.000
