,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,367.222,237.222,25.986,44.108,2.838,0.015,0.000,0.015,23.682,406.234,-39.013,192.150,153.137,0.551,0.274,0.205,0.216,0.271,0.000,0.000,0.000,0.271,0.030,0.245,0.844,0.030,0.017,0.008,0.005,0.032,0.036,0.508,0.029,0.026,0.351,128.198,27.957,
2015-2045_DJF,307.953,182.996,19.023,56.057,2.412,0.008,0.000,0.008,15.287,361.217,-53.264,148.227,94.963,0.342,0.153,0.138,0.119,0.160,0.000,0.000,0.000,0.160,0.006,0.186,1.031,0.009,0.001,0.003,0.006,0.006,0.013,0.559,0.009,-0.026,0.204,74.431,3.531,2030.005
2015-2045_MAM,355.638,275.324,26.519,29.705,2.898,0.011,0.000,0.011,23.470,404.108,-48.470,223.012,174.542,0.628,0.328,0.206,0.245,0.210,0.000,0.000,0.000,0.210,0.016,0.190,0.525,0.016,0.005,0.007,0.004,0.015,0.031,0.405,0.015,0.021,0.262,95.486,20.928,2030.000
2015-2045_JJA,437.687,275.925,32.057,44.085,3.602,0.023,0.000,0.023,32.098,453.097,-15.410,223.500,208.090,0.749,0.377,0.271,0.309,0.428,0.000,0.000,0.000,0.428,0.059,0.359,0.874,0.055,0.040,0.011,0.004,0.060,0.051,0.411,0.054,0.069,0.553,201.895,51.122,2030.000
2015-2045_SON,366.457,213.337,26.214,46.847,2.428,0.016,0.000,0.016,23.712,405.640,-39.183,172.803,133.620,0.481,0.237,0.203,0.188,0.283,0.000,0.000,0.000,0.283,0.039,0.246,0.953,0.040,0.023,0.010,0.007,0.047,0.048,0.661,0.040,0.037,0.384,140.074,35.862,2030.000
2045-2075_annual,372.738,236.980,27.100,42.590,2.863,0.014,0.000,0.014,25.034,413.941,-41.204,191.954,150.750,0.543,0.283,0.218,0.215,0.255,0.000,0.000,0.000,0.255,0.023,0.232,0.746,0.023,0.012,0.006,0.005,0.023,0.030,0.476,0.022,0.023,0.330,120.445,27.855,
2045-2075_DJF,312.327,184.553,19.843,53.522,2.481,0.009,0.000,0.009,16.058,365.114,-52.787,149.488,96.702,0.348,0.163,0.145,0.123,0.169,0.000,0.000,0.000,0.169,0.006,0.177,0.861,0.008,0.000,0.002,0.005,0.006,0.013,0.511,0.006,-0.009,0.209,76.234,9.188,2060.000
2045-2075_MAM,365.044,275.103,27.411,29.472,2.880,0.010,0.000,0.010,24.555,410.194,-45.150,222.833,177.683,0.640,0.337,0.216,0.252,0.196,0.000,0.000,0.000,0.196,0.007,0.190,0.489,0.008,0.002,0.003,0.004,0.008,0.015,0.398,0.007,0.006,0.247,90.041,18.049,2060.000
2045-2075_JJA,436.378,274.481,33.795,43.010,3.649,0.021,0.000,0.021,34.277,466.214,-29.836,222.330,192.494,0.693,0.379,0.296,0.291,0.388,0.000,0.000,0.000,0.388,0.025,0.357,0.817,0.022,0.010,0.008,0.004,0.027,0.041,0.402,0.021,0.031,0.503,183.659,45.742,2060.000
2045-2075_SON,376.072,212.506,27.214,44.590,2.430,0.015,0.000,0.015,25.072,413.296,-37.223,172.130,134.907,0.486,0.248,0.215,0.192,0.265,0.000,0.000,0.000,0.265,0.054,0.201,0.821,0.054,0.037,0.011,0.006,0.053,0.052,0.595,0.054,0.064,0.359,131.108,38.191,2060.000
2070-2100_annual,380.501,237.584,28.237,42.773,2.889,0.015,0.000,0.015,26.458,422.058,-41.557,192.443,150.886,0.543,0.289,0.232,0.217,0.273,0.000,0.000,0.000,0.273,0.023,0.250,0.773,0.023,0.010,0.008,0.005,0.022,0.038,0.527,0.023,0.023,0.354,129.132,29.813,
2070-2100_DJF,318.997,185.109,20.873,52.668,2.443,0.009,0.000,0.009,17.138,370.549,-51.551,149.938,98.387,0.354,0.169,0.153,0.127,0.181,0.000,0.000,0.000,0.181,0.007,0.192,0.926,0.011,0.001,0.005,0.005,0.007,0.020,0.532,0.010,-0.011,0.222,81.126,7.535,2084.997
2070-2100_MAM,374.417,276.789,28.443,28.035,2.846,0.008,0.000,0.008,25.835,417.436,-43.019,224.199,181.180,0.652,0.350,0.229,0.260,0.155,0.000,0.000,0.000,0.155,0.007,0.146,0.358,0.008,0.001,0.003,0.004,0.007,0.017,0.429,0.007,0.009,0.193,70.455,14.331,2085.000
2070-2100_JJA,439.676,273.570,35.281,43.878,3.756,0.022,0.000,0.022,36.124,477.557,-37.881,221.591,183.710,0.661,0.380,0.318,0.281,0.399,0.000,0.000,0.000,0.399,0.039,0.358,0.863,0.036,0.019,0.013,0.004,0.032,0.061,0.394,0.035,0.041,0.516,188.343,44.839,2085.000
2070-2100_SON,387.808,213.596,28.208,46.746,2.498,0.020,0.000,0.020,26.555,421.693,-33.884,173.013,139.128,0.501,0.253,0.226,0.200,0.354,0.000,0.000,0.000,0.354,0.041,0.302,0.948,0.038,0.020,0.011,0.008,0.040,0.053,0.753,0.038,0.053,0.483,176.187,52.362,2085.000
