,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,367.614,237.233,26.149,44.278,2.858,0.014,0.000,0.014,23.847,407.079,-39.464,192.159,152.694,0.550,0.274,0.206,0.215,0.271,0.000,0.000,0.000,0.271,0.030,0.245,0.844,0.030,0.017,0.008,0.005,0.032,0.036,0.508,0.029,0.026,0.333,121.507,21.266,
2015-2045_DJF,309.294,183.467,19.279,55.691,2.394,0.008,0.000,0.008,15.574,362.648,-53.354,148.608,95.254,0.343,0.155,0.140,0.120,0.160,0.000,0.000,0.000,0.160,0.006,0.186,1.031,0.009,0.001,0.003,0.006,0.006,0.013,0.559,0.009,-0.026,0.191,69.612,-1.287,2030.005
2015-2045_MAM,356.893,275.460,26.737,29.840,2.899,0.010,0.000,0.010,23.710,405.403,-48.510,223.123,174.613,0.629,0.329,0.208,0.245,0.210,0.000,0.000,0.000,0.210,0.016,0.190,0.525,0.016,0.005,0.007,0.004,0.015,0.031,0.405,0.015,0.021,0.243,88.577,14.019,2030.000
2015-2045_JJA,435.952,275.452,32.039,44.950,3.679,0.022,0.000,0.022,32.030,452.688,-16.736,223.116,206.380,0.743,0.374,0.271,0.307,0.428,0.000,0.000,0.000,0.428,0.059,0.359,0.874,0.055,0.040,0.011,0.004,0.060,0.051,0.411,0.054,0.069,0.524,191.119,40.345,2030.000
2015-2045_SON,367.190,213.256,26.413,46.880,2.448,0.016,0.000,0.016,23.914,406.716,-39.526,172.737,133.211,0.480,0.237,0.205,0.188,0.283,0.000,0.000,0.000,0.283,0.039,0.246,0.953,0.040,0.023,0.010,0.007,0.047,0.048,0.661,0.040,0.037,0.372,135.875,31.663,2030.000
2045-2075_annual,373.145,236.985,27.245,42.790,2.884,0.013,0.000,0.013,25.181,414.689,-41.544,191.958,150.414,0.541,0.283,0.219,0.215,0.255,0.000,0.000,0.000,0.255,0.023,0.232,0.746,0.023,0.012,0.006,0.005,0.023,0.030,0.476,0.022,0.023,0.312,113.795,21.205,
2045-2075_DJF,313.673,185.085,20.104,53.124,2.457,0.008,0.000,0.008,16.349,366.578,-52.905,149.919,97.014,0.349,0.164,0.147,0.124,0.169,0.000,0.000,0.000,0.169,0.006,0.177,0.861,0.008,0.000,0.002,0.005,0.006,0.013,0.511,0.006,-0.009,0.192,70.168,3.122,2060.000
2045-2075_MAM,366.157,275.141,27.618,29.604,2.884,0.010,0.000,0.010,24.771,411.363,-45.206,222.864,177.658,0.640,0.339,0.218,0.252,0.196,0.000,0.000,0.000,0.196,0.007,0.190,0.489,0.008,0.002,0.003,0.004,0.008,0.015,0.398,0.007,0.006,0.229,83.464,11.471,2060.000
2045-2075_JJA,434.881,274.007,33.727,43.963,3.734,0.020,0.000,0.020,34.176,465.600,-30.718,221.945,191.227,0.688,0.377,0.295,0.288,0.388,0.000,0.000,0.000,0.388,0.025,0.357,0.817,0.022,0.010,0.008,0.004,0.027,0.041,0.402,0.021,0.031,0.475,173.254,35.338,2060.000
2045-2075_SON,376.763,212.440,27.395,44.687,2.449,0.015,0.000,0.015,25.256,414.284,-37.521,172.077,134.555,0.484,0.248,0.216,0.192,0.265,0.000,0.000,0.000,0.265,0.054,0.201,0.821,0.054,0.037,0.011,0.006,0.053,0.052,0.595,0.054,0.064,0.350,127.603,34.686,2060.000
2070-2100_annual,380.758,237.647,28.366,43.006,2.914,0.014,0.000,0.014,26.588,422.714,-41.957,192.494,150.538,0.542,0.289,0.233,0.217,0.273,0.000,0.000,0.000,0.273,0.023,0.250,0.773,0.023,0.010,0.008,0.005,0.022,0.038,0.527,0.023,0.023,0.335,122.371,23.052,
2070-2100_DJF,320.327,185.632,21.136,52.315,2.420,0.008,0.000,0.008,17.431,372.037,-51.711,150.362,98.651,0.355,0.170,0.155,0.128,0.181,0.000,0.000,0.000,0.181,0.007,0.192,0.926,0.011,0.001,0.005,0.005,0.007,0.020,0.532,0.010,-0.011,0.204,74.431,0.840,2084.997
2070-2100_MAM,375.294,276.841,28.637,28.238,2.859,0.007,0.000,0.007,26.030,418.505,-43.211,224.241,181.030,0.652,0.351,0.231,0.260,0.155,0.000,0.000,0.000,0.155,0.007,0.146,0.358,0.008,0.001,0.003,0.004,0.007,0.017,0.429,0.007,0.009,0.178,65.031,8.907,2085.000
2070-2100_JJA,438.027,273.252,35.182,44.855,3.840,0.020,0.000,0.020,35.999,476.777,-38.750,221.334,182.584,0.657,0.377,0.316,0.279,0.399,0.000,0.000,0.000,0.399,0.039,0.358,0.863,0.036,0.019,0.013,0.004,0.032,0.061,0.394,0.035,0.041,0.487,177.583,34.079,2085.000
2070-2100_SON,388.299,213.601,28.371,46.836,2.522,0.020,0.000,0.020,26.715,422.558,-34.259,173.017,138.758,0.500,0.254,0.228,0.200,0.354,0.000,0.000,0.000,0.354,0.041,0.302,0.948,0.038,0.020,0.011,0.008,0.040,0.053,0.753,0.038,0.053,0.471,172.055,48.229,2085.000
