,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,305.067,248.620,21.590,26.244,2.905,0.024,0.000,0.024,17.259,373.310,-68.243,201.382,133.139,0.479,0.274,0.174,0.177,0.524,0.001,0.003,0.001,0.526,0.052,0.478,2.708,0.052,0.011,0.024,0.017,0.046,0.107,1.672,0.051,0.046,0.568,207.150,13.939,
2015-2045_DJF,260.308,172.329,10.015,38.752,2.825,0.037,0.000,0.037,5.613,315.286,-54.978,139.586,84.608,0.305,0.134,0.084,0.087,0.838,0.005,0.014,0.005,0.843,0.089,0.775,6.017,0.073,0.016,0.041,0.017,0.079,0.186,1.649,0.073,0.062,0.890,324.853,15.328,2030.005
2015-2045_MAM,304.439,270.668,21.534,29.283,3.228,0.039,0.000,0.039,17.012,370.495,-66.056,219.241,153.185,0.551,0.286,0.163,0.200,0.942,0.000,0.000,0.000,0.942,0.094,0.907,3.337,0.096,0.022,0.047,0.027,0.084,0.206,2.662,0.095,0.036,0.939,342.748,-23.112,2030.000
2015-2045_JJA,354.497,320.386,32.305,13.359,3.191,0.003,0.000,0.003,28.230,430.656,-76.159,259.513,183.354,0.660,0.436,0.275,0.273,0.027,0.000,0.000,0.000,0.027,0.000,0.029,0.057,0.016,0.000,0.000,0.016,0.000,0.000,1.624,0.016,-0.002,0.078,28.428,11.801,2030.000
2015-2045_SON,300.108,229.416,22.290,23.795,2.367,0.015,0.000,0.015,17.965,375.711,-75.604,185.827,110.223,0.397,0.238,0.171,0.147,0.294,0.000,0.000,0.000,0.294,0.024,0.203,1.470,0.021,0.006,0.007,0.008,0.020,0.037,0.745,0.021,0.091,0.367,134.045,52.181,2030.000
2045-2075_annual,314.170,247.351,22.807,25.738,2.872,0.023,0.000,0.023,18.553,380.151,-65.982,200.354,134.373,0.484,0.284,0.186,0.182,0.519,0.001,0.004,0.001,0.520,0.047,0.473,2.639,0.047,0.008,0.022,0.017,0.046,0.099,1.661,0.047,0.046,0.558,203.752,13.854,
2045-2075_DJF,264.818,172.520,10.895,38.975,2.809,0.037,0.000,0.037,6.548,319.595,-54.777,139.741,84.965,0.306,0.138,0.089,0.090,0.842,0.004,0.014,0.004,0.847,0.098,0.795,6.035,0.087,0.022,0.046,0.018,0.093,0.207,1.820,0.086,0.047,0.897,327.525,5.944,2060.000
2045-2075_MAM,312.160,271.431,22.870,27.611,3.157,0.035,0.000,0.035,18.323,377.308,-65.149,219.859,154.711,0.557,0.299,0.175,0.206,0.843,0.000,0.000,0.000,0.843,0.060,0.823,2.866,0.064,0.005,0.033,0.026,0.060,0.147,2.540,0.064,0.020,0.837,305.388,-18.264,2060.000
2045-2075_JJA,369.636,315.964,33.735,13.386,3.215,0.006,0.000,0.006,29.788,439.654,-70.018,255.931,185.912,0.669,0.452,0.295,0.281,0.059,0.000,0.000,0.000,0.059,0.002,0.063,0.139,0.016,0.000,0.000,0.016,0.002,0.003,1.546,0.016,-0.004,0.133,48.633,19.906,2060.000
2045-2075_SON,309.059,227.834,23.505,23.210,2.302,0.015,0.000,0.015,19.331,382.911,-73.852,184.545,110.694,0.398,0.242,0.183,0.150,0.336,0.000,0.000,0.000,0.336,0.030,0.216,1.571,0.023,0.006,0.009,0.007,0.032,0.043,0.731,0.023,0.121,0.370,135.103,48.047,2060.000
2070-2100_annual,325.063,246.608,24.418,25.374,2.838,0.022,0.000,0.022,20.220,388.976,-63.913,199.753,135.840,0.489,0.296,0.202,0.188,0.497,0.000,0.000,0.000,0.497,0.057,0.440,2.533,0.057,0.018,0.023,0.015,0.049,0.105,1.482,0.056,0.057,0.534,194.754,13.391,
2070-2100_DJF,271.368,172.476,12.286,40.367,2.735,0.039,0.000,0.039,7.956,326.009,-54.641,139.706,85.065,0.306,0.142,0.096,0.093,0.876,0.000,0.000,0.000,0.876,0.086,0.826,5.980,0.077,0.020,0.042,0.016,0.083,0.190,1.591,0.077,0.050,0.939,342.872,13.414,2084.997
2070-2100_MAM,319.790,274.254,24.431,25.027,3.124,0.028,0.000,0.028,19.889,385.514,-65.724,222.146,156.422,0.563,0.317,0.190,0.213,0.710,0.000,0.000,0.000,0.710,0.080,0.681,2.458,0.087,0.027,0.037,0.024,0.061,0.159,2.360,0.088,0.029,0.681,248.441,-32.125,2085.000
2070-2100_JJA,386.805,311.894,35.613,13.025,3.213,0.005,0.000,0.005,31.733,451.076,-64.271,252.634,188.363,0.678,0.471,0.323,0.289,0.039,0.000,0.000,0.000,0.039,0.000,0.042,0.083,0.014,0.000,0.000,0.014,0.000,0.000,1.348,0.014,-0.003,0.114,41.618,21.208,2085.000
2070-2100_SON,321.209,226.158,25.114,23.343,2.271,0.017,0.000,0.017,21.076,392.124,-70.915,183.188,112.273,0.404,0.252,0.198,0.156,0.370,0.000,0.000,0.000,0.370,0.060,0.218,1.666,0.048,0.026,0.016,0.006,0.052,0.070,0.624,0.048,0.152,0.407,148.440,51.481,2085.000
