index,year,variable,annual_mean,long_term_mean,anomaly
0,1981,Prain,0.01657236426401649,0.052372938327977986,-0.0358005740639615
0,1981,Psnow,0,2.275443246773904e-4,-2.275443246773904e-4
0,1981,SWE,0,6.147684014835474e-4,-6.147684014835474e-4
0,1981,Msnow,0,2.2754432467739038e-4,-2.2754432467739038e-4
0,1981,Total,0.01657236426401649,0.05260048265265537,-0.03602811838863888
0,1981,Rech,0.001305770828444779,9.239709974502733e-4,3.817998309945058e-4
0,1981,Eac,0.2894904677190793,0.05816261124912611,0.2313278564699532
0,1981,SM,4.326528526194057,0.5813392597413821,3.745189266452675
0,1981,Qg,0.0012036099582549487,9.235470693428651e-4,2.8006288891208357e-4
0,1981,Q0,0,0,0
0,1981,Q1,0,2.842977310174417e-5,-2.842977310174417e-5
0,1981,Q2,0.0012036099582549487,8.95117296241121e-4,3.084926620138277e-4
0,1981,STZ,0.001305770828444779,9.239709974502733e-4,3.817998309945058e-4
0,1981,SUZ,0.0013057398860871572,0.001167008141328704,1.3873174475845327e-4
0,1981,SLZ,0.16310598399348353,0.12130091346591314,0.04180507052757039
0,1981,q_sim,0,4.2049677293173697e-4,-4.2049677293173697e-4
0,1981,WB,-0.27291810345506284,-0.005789672921148115,-0.2671284305339147
0,1982,Prain,0.16280295720217441,0.052372938327977986,0.11043001887419643
0,1982,Psnow,0,2.275443246773904e-4,-2.275443246773904e-4
0,1982,SWE,0,6.147684014835474e-4,-6.147684014835474e-4
0,1982,Msnow,0,2.2754432467739038e-4,-2.2754432467739038e-4
0,1982,Total,0.16280295720217441,0.05260048265265537,0.11020247454951904
0,1982,Rech,0.002113052565481143,9.239709974502733e-4,0.0011890815680308698
0,1982,Eac,0.15995939744399523,0.05816261124912611,0.10179678619486912
0,1982,SM,1.1505952295878092,0.5813392597413821,0.5692559698464271
0,1982,Qg,0.0019435920489855169,9.235470693428651e-4,0.0010200449796426516
0,1982,Q0,0,0,0
0,1982,Q1,0,2.842977310174417e-5,-2.842977310174417e-5
0,1982,Q2,0.0019435920489855169,8.95117296241121e-4,0.0010484747527443959
0,1982,STZ,0.002113052565481143,9.239709974502733e-4,0.0011890815680308698
0,1982,SUZ,0.0021130834230651797,0.001167008141328704,9.460752817364757e-4
0,1982,SLZ,0.2633839072678594,0.12130091346591314,0.14208299380194622
0,1982,q_sim,0,4.2049677293173697e-4,-4.2049677293173697e-4
0,1982,WB,0.002843559758179187,-0.005789672921148115,0.008633232679327302
