,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,313.497,256.783,23.912,22.920,4.268,0.011,0.000,0.011,13.973,355.929,-42.432,207.994,165.562,0.596,0.371,0.194,0.228,0.177,0.001,0.006,0.001,0.179,0.008,0.174,0.837,0.008,0.002,0.002,0.004,0.008,0.012,0.362,0.007,0.003,0.267,97.541,31.506,
hist_DJF,274.599,181.367,13.191,35.584,3.807,0.025,0.000,0.025,6.058,317.411,-42.811,146.907,104.096,0.375,0.183,0.102,0.117,0.424,0.005,0.023,0.005,0.429,0.018,0.403,2.474,0.010,0.001,0.005,0.004,0.018,0.031,0.395,0.010,0.021,0.593,216.385,65.629,2001.507
hist_MAM,316.258,296.405,25.257,20.475,4.578,0.011,0.000,0.011,14.519,357.816,-41.557,240.088,198.531,0.715,0.418,0.200,0.274,0.206,0.000,0.000,0.000,0.206,0.004,0.227,0.609,0.008,0.000,0.002,0.006,0.004,0.009,0.619,0.007,-0.020,0.270,98.692,13.364,2001.500
hist_JJA,355.447,314.741,33.006,17.205,5.074,0.006,0.000,0.006,20.923,391.363,-35.915,254.940,219.025,0.788,0.552,0.285,0.328,0.035,0.000,0.000,0.000,0.035,0.008,0.027,0.083,0.011,0.006,0.002,0.003,0.010,0.008,0.295,0.010,0.008,0.139,50.779,37.323,2001.500
hist_SON,306.855,232.894,23.986,18.615,3.598,0.003,0.000,0.003,14.240,356.385,-49.530,188.644,139.114,0.501,0.328,0.186,0.190,0.048,0.000,0.000,0.000,0.048,0.001,0.042,0.205,0.002,0.000,0.000,0.001,0.001,0.001,0.137,0.001,0.005,0.071,25.834,10.141,2001.500
