,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,338.489,245.948,24.385,41.930,3.531,0.022,0.000,0.022,16.990,370.651,-32.162,199.218,167.056,0.601,0.286,0.189,0.229,0.245,0.000,0.000,0.000,0.245,0.020,0.228,0.721,0.020,0.011,0.006,0.004,0.017,0.027,0.372,0.020,0.017,0.526,192.157,101.950,
hist_DJF,292.847,193.012,17.477,36.340,2.799,0.013,0.000,0.013,9.872,335.045,-42.198,156.340,114.142,0.411,0.195,0.128,0.139,0.270,0.000,0.000,0.000,0.270,0.010,0.269,1.272,0.008,0.001,0.004,0.003,0.010,0.023,0.315,0.008,0.001,0.324,118.197,17.076,2001.507
hist_MAM,330.822,295.158,26.703,29.956,4.250,0.011,0.000,0.011,17.154,370.999,-40.176,239.078,198.902,0.716,0.389,0.211,0.279,0.206,0.000,0.000,0.000,0.206,0.004,0.206,0.484,0.006,0.001,0.001,0.004,0.004,0.008,0.354,0.005,-0.000,0.272,99.237,22.153,2001.500
hist_JJA,391.971,267.014,27.952,62.779,4.196,0.053,0.000,0.053,23.096,402.000,-10.029,216.281,206.252,0.743,0.292,0.222,0.294,0.405,0.000,0.000,0.000,0.405,0.060,0.346,0.861,0.056,0.037,0.016,0.004,0.047,0.069,0.375,0.055,0.059,1.276,465.819,319.321,2001.500
hist_SON,337.419,227.378,25.283,38.498,2.855,0.009,0.000,0.009,17.706,373.905,-36.486,184.176,147.691,0.532,0.265,0.194,0.204,0.096,0.000,0.000,0.000,0.096,0.007,0.088,0.273,0.010,0.004,0.002,0.004,0.004,0.010,0.442,0.010,0.008,0.227,82.751,47.005,2001.500
