,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,341.949,243.174,23.967,47.437,4.783,0.020,0.000,0.020,17.151,371.284,-29.336,196.971,167.635,0.603,0.290,0.183,0.228,0.217,0.000,0.000,0.000,0.217,0.019,0.200,0.733,0.019,0.008,0.007,0.004,0.018,0.033,0.410,0.019,0.016,0.474,173.007,93.023,
hist_DJF,303.446,194.424,18.896,39.649,3.071,0.010,0.000,0.010,11.464,342.610,-39.165,157.484,118.319,0.426,0.205,0.138,0.148,0.231,0.000,0.000,0.000,0.231,0.021,0.221,1.197,0.020,0.011,0.005,0.004,0.022,0.025,0.366,0.019,0.010,0.236,86.014,-1.638,2001.507
hist_MAM,329.331,294.140,26.214,32.245,6.124,0.007,0.000,0.007,17.143,370.860,-41.528,238.253,196.725,0.708,0.426,0.205,0.274,0.129,0.000,0.000,0.000,0.129,0.002,0.133,0.358,0.004,0.000,0.001,0.003,0.003,0.006,0.315,0.004,-0.004,0.160,58.296,8.291,2001.500
hist_JJA,391.009,258.271,25.721,72.773,6.235,0.054,0.000,0.054,22.229,397.422,-6.414,209.199,202.786,0.730,0.260,0.198,0.281,0.401,0.000,0.000,0.000,0.401,0.048,0.348,1.058,0.042,0.018,0.020,0.004,0.042,0.088,0.401,0.041,0.052,1.286,469.280,327.058,2001.500
hist_SON,343.276,224.715,24.946,44.902,3.655,0.009,0.000,0.009,17.664,373.715,-30.439,182.020,151.580,0.546,0.268,0.190,0.208,0.105,0.000,0.000,0.000,0.105,0.007,0.099,0.322,0.011,0.002,0.003,0.006,0.007,0.015,0.557,0.010,0.007,0.207,75.692,35.925,2001.500
