,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,346.162,241.927,24.644,46.399,4.284,0.020,0.000,0.020,17.782,374.388,-28.226,195.961,167.734,0.604,0.289,0.190,0.231,0.217,0.000,0.000,0.000,0.217,0.019,0.200,0.733,0.019,0.008,0.007,0.004,0.018,0.033,0.410,0.019,0.016,0.472,172.243,92.259,
hist_DJF,306.894,190.879,19.391,39.198,2.718,0.011,0.000,0.011,12.029,345.310,-38.416,154.612,116.196,0.418,0.199,0.142,0.147,0.231,0.000,0.000,0.000,0.231,0.021,0.221,1.197,0.020,0.011,0.005,0.004,0.022,0.025,0.366,0.019,0.010,0.260,94.813,7.160,2001.507
hist_MAM,334.827,292.108,26.816,32.451,5.497,0.008,0.000,0.008,17.775,374.084,-39.257,236.608,197.351,0.710,0.415,0.211,0.277,0.129,0.000,0.000,0.000,0.129,0.002,0.133,0.358,0.004,0.000,0.001,0.003,0.003,0.006,0.315,0.004,-0.004,0.190,69.501,19.496,2001.500
hist_JJA,394.206,260.701,26.601,69.621,5.607,0.051,0.000,0.051,22.705,399.794,-5.589,211.168,205.579,0.740,0.276,0.208,0.288,0.401,0.000,0.000,0.000,0.401,0.048,0.348,1.058,0.042,0.018,0.020,0.004,0.042,0.088,0.401,0.041,0.052,1.221,445.835,303.614,2001.500
hist_SON,347.977,222.820,25.678,44.162,3.272,0.009,0.000,0.009,18.516,377.837,-29.860,180.484,150.624,0.542,0.265,0.197,0.209,0.105,0.000,0.000,0.000,0.105,0.007,0.099,0.322,0.011,0.002,0.003,0.006,0.007,0.015,0.557,0.010,0.007,0.209,76.276,36.509,2001.500
