,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,329.321,258.707,26.698,21.316,4.819,0.007,0.000,0.007,16.667,369.568,-40.248,209.553,169.305,0.609,0.427,0.222,0.241,0.199,0.000,0.000,0.000,0.199,0.016,0.186,0.754,0.016,0.008,0.004,0.004,0.013,0.021,0.406,0.015,0.013,0.159,58.026,-15.413,
hist_DJF,289.622,185.466,16.010,32.593,4.006,0.015,0.000,0.015,9.006,330.986,-41.364,150.227,108.863,0.392,0.213,0.119,0.129,0.432,0.000,0.000,0.000,0.432,0.021,0.411,2.109,0.015,0.002,0.009,0.004,0.021,0.044,0.412,0.015,0.021,0.370,135.080,-20.332,2001.507
hist_MAM,332.840,299.204,28.472,18.248,5.046,0.006,0.000,0.006,17.491,372.753,-39.913,242.356,202.443,0.729,0.478,0.234,0.290,0.180,0.000,0.000,0.000,0.180,0.008,0.188,0.497,0.011,0.001,0.003,0.007,0.008,0.015,0.652,0.011,-0.008,0.148,53.912,-18.923,2001.500
hist_JJA,370.751,313.468,35.562,16.808,6.321,0.003,0.000,0.003,23.230,404.668,-33.917,253.909,219.992,0.792,0.646,0.321,0.337,0.129,0.000,0.000,0.000,0.129,0.033,0.097,0.223,0.034,0.027,0.004,0.003,0.020,0.019,0.340,0.033,0.033,0.082,29.866,-17.623,2001.500
hist_SON,323.233,235.012,26.539,17.797,3.878,0.002,0.000,0.002,16.794,369.113,-45.880,190.359,144.479,0.520,0.367,0.211,0.204,0.057,0.000,0.000,0.000,0.057,0.002,0.050,0.207,0.003,0.000,0.001,0.002,0.002,0.005,0.217,0.002,0.006,0.039,14.267,-4.755,2001.500
