,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,337.811,220.978,21.879,52.653,2.875,0.052,0.000,0.052,15.390,366.264,-28.454,178.992,150.538,0.542,0.228,0.170,0.202,1.475,0.000,0.000,0.000,1.475,0.235,1.244,5.106,0.234,0.102,0.092,0.040,0.204,0.389,3.924,0.234,0.231,1.246,454.731,-84.898,
hist_DJF,283.564,156.370,12.928,49.811,2.555,0.023,0.000,0.023,6.547,321.358,-37.794,126.660,88.866,0.320,0.128,0.099,0.099,0.674,0.000,0.000,0.000,0.674,0.057,0.569,5.029,0.061,0.010,0.021,0.030,0.057,0.102,2.921,0.061,0.105,0.551,201.198,-28.731,2001.507
hist_MAM,332.580,273.046,23.437,41.581,3.326,0.038,0.000,0.038,15.302,364.409,-31.830,221.167,189.337,0.682,0.307,0.182,0.255,1.131,0.000,0.000,0.000,1.131,0.109,1.098,3.910,0.113,0.022,0.056,0.035,0.100,0.241,3.431,0.113,0.032,0.901,328.833,-113.260,2001.500
hist_JJA,393.273,254.170,28.630,64.666,3.106,0.121,0.000,0.121,23.393,411.050,-17.778,205.877,188.100,0.677,0.276,0.230,0.270,3.366,0.000,0.000,0.000,3.366,0.716,2.566,8.596,0.663,0.367,0.256,0.040,0.602,1.054,3.969,0.662,0.800,2.907,1060.884,-117.264,2001.500
hist_SON,340.806,198.832,22.353,54.516,2.504,0.025,0.000,0.025,16.154,367.381,-26.575,161.054,134.479,0.484,0.200,0.168,0.180,0.708,0.000,0.000,0.000,0.708,0.050,0.724,2.862,0.096,0.007,0.035,0.054,0.051,0.150,5.370,0.097,-0.016,0.604,220.542,-79.183,2001.500
