,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,295.238,255.845,20.060,30.130,3.294,0.021,0.000,0.021,10.971,341.065,-45.827,207.235,161.408,0.581,0.284,0.156,0.210,0.171,0.000,0.001,0.000,0.172,0.007,0.168,0.660,0.007,0.001,0.003,0.003,0.007,0.014,0.332,0.006,0.004,0.500,182.515,119.040,
hist_DJF,256.509,186.893,10.492,38.529,3.401,0.029,0.000,0.028,3.145,304.360,-47.851,151.384,103.533,0.373,0.155,0.087,0.109,0.373,0.001,0.003,0.001,0.374,0.018,0.360,1.789,0.013,0.002,0.007,0.003,0.017,0.036,0.336,0.012,0.013,0.686,250.222,114.375,2001.507
hist_MAM,293.307,299.802,21.265,24.823,3.773,0.019,0.000,0.019,10.901,340.097,-46.790,242.840,196.049,0.706,0.342,0.162,0.255,0.209,0.000,0.000,0.000,0.209,0.006,0.212,0.592,0.009,0.000,0.003,0.005,0.007,0.013,0.543,0.008,-0.003,0.453,165.456,85.076,2001.500
hist_JJA,342.223,299.609,27.775,33.148,3.082,0.029,0.000,0.029,18.298,376.600,-34.377,242.684,208.307,0.750,0.371,0.219,0.296,0.065,0.000,0.000,0.000,0.065,0.003,0.063,0.137,0.005,0.001,0.001,0.003,0.003,0.006,0.286,0.004,0.002,0.700,255.586,231.194,2001.500
hist_SON,288.084,235.517,20.526,24.119,2.918,0.007,0.000,0.007,11.392,342.505,-54.421,190.769,136.348,0.491,0.265,0.154,0.177,0.041,0.000,0.000,0.000,0.041,0.000,0.038,0.138,0.002,0.000,0.000,0.002,0.000,0.001,0.160,0.001,0.003,0.161,58.764,44.614,2001.500
