,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,338.603,249.384,24.908,40.160,4.572,0.012,0.000,0.012,16.895,370.442,-31.839,202.001,170.162,0.613,0.338,0.194,0.235,0.261,0.000,0.000,0.000,0.261,0.015,0.248,0.983,0.015,0.003,0.007,0.005,0.015,0.032,0.529,0.014,0.013,0.298,108.695,12.866,
hist_DJF,304.117,188.951,18.652,40.853,4.213,0.023,0.000,0.023,11.323,341.896,-37.779,153.050,115.272,0.415,0.224,0.136,0.144,0.508,0.000,0.000,0.000,0.508,0.037,0.461,2.530,0.029,0.006,0.018,0.005,0.037,0.082,0.522,0.028,0.047,0.562,205.286,26.895,2001.507
hist_MAM,330.597,293.163,26.485,30.715,5.677,0.011,0.000,0.011,16.852,369.400,-38.803,237.462,198.659,0.715,0.436,0.209,0.278,0.314,0.000,0.000,0.000,0.314,0.019,0.316,0.899,0.022,0.005,0.009,0.008,0.017,0.039,0.835,0.022,-0.001,0.275,100.387,-22.926,2001.500
hist_JJA,384.196,283.137,28.569,52.969,4.212,0.011,0.000,0.011,22.091,398.807,-14.611,229.341,214.730,0.773,0.359,0.229,0.308,0.156,0.000,0.000,0.000,0.156,0.004,0.154,0.291,0.006,0.000,0.001,0.005,0.004,0.006,0.480,0.005,0.003,0.255,92.954,34.930,2001.500
hist_SON,334.791,230.910,25.814,36.071,4.176,0.004,0.000,0.004,17.208,371.119,-36.328,187.037,150.709,0.543,0.329,0.199,0.209,0.070,0.000,0.000,0.000,0.070,0.001,0.065,0.234,0.003,0.000,0.000,0.003,0.001,0.001,0.278,0.002,0.005,0.102,37.250,12.837,2001.500
