,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,348.735,241.360,25.492,44.229,3.159,0.022,0.000,0.022,19.079,381.295,-32.560,195.501,162.941,0.587,0.287,0.200,0.227,0.425,0.000,0.000,0.000,0.425,0.085,0.342,1.146,0.085,0.054,0.023,0.008,0.058,0.098,0.783,0.085,0.082,0.533,194.575,38.696,
hist_DJF,311.175,178.696,18.379,42.633,2.550,0.010,0.000,0.010,12.002,345.143,-33.968,144.743,110.775,0.399,0.184,0.134,0.138,0.224,0.000,0.000,0.000,0.224,0.010,0.219,1.075,0.012,0.000,0.005,0.007,0.010,0.023,0.648,0.011,0.006,0.249,90.930,6.915,2001.507
hist_MAM,341.299,290.883,27.536,29.914,3.661,0.011,0.000,0.011,18.897,379.947,-38.648,235.616,196.967,0.709,0.390,0.220,0.279,0.207,0.000,0.000,0.000,0.207,0.004,0.211,0.490,0.006,0.000,0.001,0.005,0.004,0.007,0.511,0.005,-0.005,0.260,94.818,15.855,2001.500
hist_JJA,385.785,275.771,29.694,59.204,3.889,0.056,0.000,0.056,25.490,414.945,-29.161,223.374,194.214,0.699,0.320,0.242,0.282,1.049,0.000,0.000,0.000,1.049,0.269,0.757,2.479,0.250,0.169,0.074,0.007,0.185,0.309,0.713,0.249,0.292,1.340,489.276,122.126,2001.500
hist_SON,356.032,218.625,26.228,45.142,2.516,0.011,0.000,0.011,19.796,384.477,-28.446,177.086,148.640,0.535,0.250,0.203,0.208,0.213,0.000,0.000,0.000,0.213,0.057,0.179,0.534,0.072,0.047,0.012,0.013,0.033,0.049,1.263,0.071,0.034,0.275,100.237,8.946,2001.500
