,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,286.419,235.273,16.268,40.065,2.798,0.045,0.002,0.044,8.356,329.089,-42.670,190.571,147.901,0.532,0.219,0.128,0.182,0.392,0.123,2.984,0.123,0.516,0.063,0.456,2.538,0.063,0.017,0.029,0.016,0.052,0.124,1.623,0.063,-0.063,1.090,397.763,208.562,
hist_DJF,243.440,158.418,6.185,44.605,2.673,0.048,0.007,0.041,-0.720,287.749,-44.309,128.318,84.009,0.302,0.104,0.068,0.078,0.532,0.460,9.525,0.275,0.807,0.091,0.659,5.603,0.066,0.014,0.041,0.011,0.083,0.185,1.082,0.066,-0.128,1.143,417.323,152.703,2001.507
hist_MAM,282.255,279.459,16.861,36.397,3.264,0.057,0.001,0.057,7.840,325.812,-43.557,226.362,182.806,0.658,0.261,0.129,0.221,0.703,0.038,2.507,0.219,0.922,0.133,0.874,3.447,0.139,0.045,0.064,0.030,0.104,0.267,2.938,0.139,-0.171,1.377,502.489,132.695,2001.500
hist_JJA,339.925,288.495,24.578,45.590,2.737,0.061,0.000,0.061,17.103,370.576,-30.651,233.681,203.029,0.731,0.305,0.186,0.277,0.213,0.000,0.000,0.000,0.213,0.021,0.189,0.468,0.032,0.009,0.007,0.016,0.016,0.030,1.610,0.032,0.024,1.456,531.610,450.744,2001.500
hist_SON,279.145,212.988,17.263,33.688,2.512,0.016,0.000,0.016,9.032,331.444,-52.299,172.520,120.221,0.433,0.203,0.129,0.148,0.122,0.000,0.000,0.000,0.122,0.006,0.101,0.672,0.012,0.001,0.003,0.009,0.007,0.014,0.842,0.012,0.021,0.376,137.177,95.796,2001.500
