,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,345.574,240.071,25.251,42.963,3.006,0.024,0.000,0.024,18.831,380.119,-34.546,194.457,159.912,0.576,0.281,0.198,0.222,0.501,0.000,0.000,0.000,0.501,0.038,0.467,1.244,0.037,0.013,0.015,0.009,0.034,0.066,0.938,0.037,0.034,0.576,210.073,26.251,
hist_DJF,308.037,176.306,17.877,41.414,2.417,0.012,0.000,0.012,11.506,342.810,-34.773,142.808,108.035,0.389,0.178,0.130,0.133,0.280,0.000,0.000,0.000,0.280,0.012,0.267,1.338,0.014,0.001,0.006,0.007,0.012,0.028,0.730,0.014,0.012,0.296,108.191,5.595,2001.507
hist_MAM,338.979,289.523,27.177,29.292,3.528,0.013,0.000,0.013,18.609,378.543,-39.565,234.514,194.949,0.702,0.382,0.217,0.275,0.413,0.000,0.000,0.000,0.413,0.010,0.413,0.911,0.011,0.000,0.003,0.007,0.010,0.017,0.734,0.010,-0.000,0.305,111.237,-43.091,2001.500
hist_JJA,382.343,275.551,29.867,58.127,3.641,0.058,0.000,0.058,25.649,415.824,-33.480,223.196,189.715,0.683,0.314,0.244,0.276,1.051,0.000,0.000,0.000,1.051,0.109,0.920,2.062,0.094,0.043,0.042,0.009,0.095,0.184,0.912,0.094,0.131,1.402,511.583,141.657,2001.500
hist_SON,352.281,217.420,25.946,42.989,2.421,0.012,0.000,0.012,19.427,382.603,-30.322,176.110,145.788,0.525,0.249,0.200,0.203,0.255,0.000,0.000,0.000,0.255,0.018,0.261,0.659,0.030,0.009,0.007,0.014,0.019,0.033,1.378,0.029,-0.006,0.291,106.174,0.159,2001.500
