,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,310.321,258.554,22.211,30.839,4.276,0.014,0.000,0.014,13.192,351.677,-41.355,209.429,168.074,0.605,0.328,0.173,0.225,0.176,0.000,0.000,0.000,0.176,0.009,0.169,0.823,0.009,0.001,0.004,0.004,0.009,0.019,0.376,0.008,0.006,0.333,121.503,56.771,
hist_DJF,270.130,192.018,12.765,38.148,4.528,0.019,0.000,0.019,5.712,315.768,-45.637,155.535,109.897,0.396,0.187,0.099,0.122,0.384,0.000,0.000,0.000,0.384,0.023,0.362,2.325,0.017,0.002,0.011,0.004,0.023,0.052,0.398,0.017,0.022,0.455,166.084,28.085,2001.507
hist_MAM,310.260,301.134,23.912,24.619,4.640,0.012,0.000,0.012,13.507,352.654,-42.394,243.918,201.524,0.725,0.395,0.185,0.273,0.209,0.000,0.000,0.000,0.209,0.008,0.213,0.671,0.011,0.001,0.004,0.006,0.008,0.017,0.612,0.010,-0.005,0.291,106.351,24.734,2001.500
hist_JJA,356.325,300.558,29.326,35.837,4.004,0.020,0.000,0.020,20.024,385.520,-29.194,243.452,214.258,0.771,0.411,0.237,0.310,0.070,0.000,0.000,0.000,0.070,0.003,0.068,0.144,0.005,0.000,0.001,0.003,0.003,0.006,0.316,0.004,0.002,0.482,175.908,149.852,2001.500
hist_SON,303.717,239.004,22.663,24.829,3.933,0.004,0.000,0.004,13.380,352.072,-48.355,193.593,145.238,0.523,0.315,0.171,0.194,0.043,0.000,0.000,0.000,0.043,0.001,0.038,0.174,0.002,0.000,0.000,0.002,0.001,0.001,0.176,0.001,0.005,0.103,37.624,23.494,2001.500
