,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
hist_annual,328.062,254.016,24.221,34.435,4.807,0.013,0.000,0.013,15.626,363.921,-35.859,205.753,169.894,0.612,0.350,0.190,0.234,0.176,0.000,0.000,0.000,0.176,0.009,0.169,0.823,0.009,0.001,0.004,0.004,0.009,0.019,0.376,0.008,0.006,0.311,113.443,48.710,
hist_DJF,285.477,189.935,15.610,37.210,5.011,0.019,0.000,0.019,8.535,328.770,-43.293,153.847,110.554,0.398,0.216,0.116,0.130,0.384,0.000,0.000,0.000,0.384,0.023,0.362,2.325,0.017,0.002,0.011,0.004,0.023,0.052,0.398,0.017,0.022,0.460,167.825,29.826,2001.507
hist_MAM,327.201,297.079,26.231,26.970,5.219,0.012,0.000,0.012,16.026,365.241,-38.040,240.634,202.594,0.729,0.432,0.207,0.283,0.209,0.000,0.000,0.000,0.209,0.008,0.213,0.671,0.011,0.001,0.004,0.006,0.008,0.017,0.612,0.010,-0.005,0.286,104.466,22.849,2001.500
hist_JJA,376.152,292.534,29.931,44.979,4.404,0.016,0.000,0.016,21.887,396.261,-20.109,236.953,216.844,0.781,0.400,0.244,0.316,0.070,0.000,0.000,0.000,0.070,0.003,0.068,0.144,0.005,0.000,0.001,0.003,0.003,0.006,0.316,0.004,0.002,0.394,143.873,117.817,2001.500
hist_SON,322.531,235.067,24.954,28.571,4.594,0.004,0.000,0.004,15.923,364.739,-42.208,190.405,148.197,0.534,0.348,0.192,0.204,0.043,0.000,0.000,0.000,0.043,0.001,0.038,0.174,0.002,0.000,0.000,0.002,0.001,0.001,0.176,0.001,0.005,0.104,37.841,23.711,2001.500
