,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,353.041,243.509,26.175,39.228,3.758,0.011,0.000,0.011,22.687,400.761,-47.720,197.243,149.523,0.538,0.303,0.208,0.211,0.218,0.000,0.000,0.000,0.218,0.016,0.207,0.976,0.016,0.004,0.007,0.005,0.015,0.031,0.474,0.015,0.011,0.266,97.080,16.195,
2015-2045_DJF,297.884,192.041,18.822,41.568,3.486,0.011,0.000,0.011,14.070,355.240,-57.355,155.553,98.198,0.354,0.197,0.137,0.123,0.347,0.000,0.000,0.000,0.347,0.026,0.336,2.052,0.021,0.006,0.009,0.006,0.023,0.044,0.594,0.020,0.011,0.263,96.131,-33.574,2030.005
2015-2045_MAM,348.186,275.522,26.952,29.758,3.892,0.011,0.000,0.011,23.154,402.552,-54.366,223.173,168.807,0.608,0.357,0.212,0.238,0.285,0.000,0.000,0.000,0.285,0.012,0.289,0.938,0.015,0.001,0.008,0.007,0.012,0.036,0.660,0.015,-0.004,0.265,96.799,-14.130,2030.000
2015-2045_JJA,412.784,280.175,31.571,49.569,4.362,0.010,0.000,0.010,29.827,439.705,-26.921,226.942,200.021,0.720,0.368,0.266,0.296,0.059,0.000,0.000,0.000,0.059,0.001,0.064,0.121,0.005,0.000,0.001,0.004,0.001,0.004,0.395,0.004,-0.006,0.240,87.504,62.562,2030.000
2015-2045_SON,352.237,225.106,27.226,36.029,3.281,0.012,0.000,0.012,23.539,404.711,-52.474,182.336,129.862,0.468,0.289,0.214,0.184,0.184,0.000,0.000,0.000,0.184,0.024,0.140,0.813,0.022,0.010,0.009,0.002,0.023,0.039,0.246,0.021,0.044,0.296,107.985,49.321,2030.000
2045-2075_annual,360.354,242.256,26.739,39.988,3.737,0.011,0.000,0.011,23.380,404.521,-44.168,196.227,152.060,0.547,0.305,0.213,0.216,0.219,0.000,0.000,0.000,0.219,0.015,0.203,0.827,0.015,0.006,0.006,0.004,0.014,0.026,0.403,0.015,0.015,0.275,100.390,20.864,
2045-2075_DJF,300.868,193.338,19.581,38.865,3.492,0.008,0.000,0.008,14.711,358.430,-57.562,156.604,99.042,0.357,0.208,0.143,0.125,0.255,0.000,0.000,0.000,0.255,0.007,0.265,1.343,0.006,0.000,0.003,0.003,0.007,0.015,0.337,0.005,-0.011,0.196,71.664,-27.135,2060.000
2045-2075_MAM,353.953,273.601,27.446,31.336,3.820,0.016,0.000,0.016,23.810,406.073,-52.120,221.616,169.496,0.610,0.355,0.217,0.240,0.449,0.000,0.000,0.000,0.449,0.045,0.408,1.440,0.042,0.018,0.017,0.006,0.043,0.077,0.636,0.041,0.042,0.388,141.765,-21.964,2060.000
2045-2075_JJA,422.598,277.951,32.017,51.090,4.373,0.012,0.000,0.012,30.436,443.255,-20.657,225.140,204.483,0.736,0.369,0.271,0.304,0.047,0.000,0.000,0.000,0.047,0.000,0.048,0.082,0.004,0.000,0.000,0.004,0.000,0.000,0.433,0.004,-0.001,0.287,104.848,86.076,2060.000
2045-2075_SON,362.876,222.982,27.786,38.623,3.252,0.009,0.000,0.009,24.405,409.493,-46.617,180.616,133.999,0.482,0.286,0.221,0.191,0.123,0.000,0.000,0.000,0.123,0.009,0.092,0.448,0.009,0.004,0.003,0.002,0.006,0.012,0.202,0.008,0.030,0.226,82.534,45.824,2060.000
2070-2100_annual,362.499,244.850,27.169,38.725,3.776,0.011,0.000,0.011,23.761,406.571,-44.072,198.328,154.256,0.555,0.315,0.218,0.220,0.177,0.000,0.000,0.000,0.177,0.011,0.166,0.669,0.011,0.004,0.004,0.003,0.009,0.019,0.310,0.010,0.011,0.262,95.747,31.487,
2070-2100_DJF,303.752,195.196,20.226,38.068,3.397,0.008,0.000,0.008,15.336,361.522,-57.770,158.109,100.339,0.361,0.212,0.148,0.128,0.225,0.000,0.000,0.000,0.225,0.004,0.226,1.126,0.004,0.000,0.001,0.003,0.004,0.007,0.296,0.004,-0.001,0.191,69.792,-13.904,2084.997
2070-2100_MAM,355.858,278.190,27.927,29.099,3.907,0.012,0.000,0.012,24.235,408.430,-52.572,225.334,172.762,0.622,0.371,0.222,0.246,0.282,0.000,0.000,0.000,0.282,0.017,0.266,0.876,0.016,0.004,0.007,0.004,0.016,0.036,0.444,0.015,0.016,0.280,102.181,-0.450,2085.000
2070-2100_JJA,427.025,277.818,32.380,50.988,4.428,0.012,0.000,0.012,30.782,445.284,-18.260,225.033,206.773,0.744,0.376,0.276,0.308,0.045,0.000,0.000,0.000,0.045,0.000,0.044,0.074,0.003,0.000,0.000,0.003,0.000,0.000,0.288,0.002,0.001,0.287,104.618,87.609,2085.000
2070-2100_SON,362.225,227.044,28.016,36.712,3.361,0.012,0.000,0.012,24.535,410.217,-47.993,183.906,135.913,0.489,0.299,0.223,0.195,0.155,0.000,0.000,0.000,0.155,0.021,0.129,0.606,0.020,0.011,0.007,0.002,0.014,0.031,0.212,0.019,0.027,0.290,106.009,52.042,2085.000
