,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,284.811,245.253,17.218,32.613,2.624,0.029,0.001,0.028,13.006,351.776,-66.965,198.655,131.690,0.474,0.219,0.136,0.163,0.419,0.099,2.325,0.099,0.518,0.052,0.470,2.652,0.052,0.011,0.025,0.016,0.048,0.108,1.568,0.052,-0.051,0.700,255.534,65.023,
2015-2045_DJF,240.975,177.610,6.765,44.170,2.743,0.038,0.003,0.035,2.120,299.808,-58.833,143.864,85.030,0.306,0.109,0.070,0.080,0.399,0.362,8.662,0.278,0.678,0.058,0.577,4.737,0.044,0.012,0.020,0.011,0.052,0.096,1.079,0.043,-0.178,0.923,336.904,110.806,2030.005
2015-2045_MAM,281.788,271.388,17.006,33.497,2.954,0.042,0.000,0.042,12.745,349.198,-67.410,219.824,152.414,0.549,0.234,0.128,0.184,1.004,0.039,0.735,0.120,1.124,0.136,1.054,4.626,0.129,0.031,0.072,0.027,0.127,0.306,2.627,0.130,-0.050,1.011,369.145,-62.957,2030.000
2015-2045_JJA,335.979,302.968,26.756,23.282,2.468,0.021,0.000,0.021,23.585,404.745,-68.766,245.404,176.639,0.636,0.326,0.208,0.248,0.082,0.000,0.000,0.000,0.082,0.003,0.090,0.211,0.020,0.001,0.002,0.018,0.003,0.007,1.760,0.020,-0.008,0.492,179.750,139.275,2030.000
2015-2045_SON,279.601,227.548,18.152,29.695,2.328,0.016,0.000,0.016,13.369,352.358,-72.756,184.314,111.557,0.402,0.203,0.136,0.139,0.188,0.000,0.001,0.000,0.188,0.010,0.159,1.058,0.013,0.001,0.005,0.008,0.010,0.022,0.787,0.012,0.029,0.374,136.613,73.950,2030.000
2045-2075_annual,290.792,243.676,18.029,32.546,2.533,0.030,0.001,0.029,13.872,356.076,-65.284,197.378,132.093,0.476,0.221,0.141,0.166,0.447,0.059,0.801,0.061,0.507,0.040,0.467,2.444,0.039,0.006,0.020,0.014,0.038,0.087,1.411,0.039,-0.020,0.714,260.428,75.531,
2045-2075_DJF,242.945,179.148,7.739,41.128,2.667,0.030,0.002,0.028,2.876,303.111,-60.166,145.110,84.944,0.306,0.116,0.074,0.082,0.360,0.227,3.171,0.205,0.566,0.031,0.532,3.949,0.022,0.001,0.012,0.009,0.031,0.062,0.915,0.022,-0.172,0.731,266.788,64.407,2060.000
2045-2075_MAM,286.542,269.880,17.744,34.104,2.805,0.047,0.000,0.047,13.497,352.799,-66.257,218.602,152.346,0.548,0.235,0.132,0.187,1.041,0.009,0.068,0.038,1.078,0.110,1.007,4.272,0.101,0.019,0.059,0.023,0.105,0.255,2.319,0.101,0.033,1.140,415.955,11.447,2060.000
2045-2075_JJA,344.942,299.666,27.490,24.178,2.443,0.025,0.000,0.025,24.516,409.865,-64.922,242.730,177.807,0.640,0.330,0.217,0.251,0.145,0.000,0.000,0.000,0.145,0.002,0.156,0.338,0.017,0.000,0.000,0.017,0.002,0.003,1.648,0.017,-0.011,0.597,217.969,154.903,2060.000
2045-2075_SON,287.784,224.558,18.956,30.922,2.216,0.016,0.000,0.016,14.393,357.525,-69.741,181.892,112.151,0.404,0.202,0.142,0.142,0.238,0.001,0.003,0.001,0.239,0.015,0.171,1.233,0.017,0.004,0.006,0.008,0.014,0.027,0.744,0.017,0.067,0.383,139.812,71.102,2060.000
2070-2100_annual,292.596,245.982,18.635,30.625,2.531,0.026,0.000,0.026,14.429,358.810,-66.215,199.245,133.030,0.479,0.229,0.146,0.169,0.421,0.030,0.331,0.030,0.451,0.036,0.415,2.115,0.036,0.006,0.017,0.013,0.034,0.077,1.271,0.036,0.006,0.618,225.497,60.908,
2070-2100_DJF,244.727,181.600,8.671,38.855,2.588,0.023,0.001,0.022,3.647,306.476,-61.750,147.096,85.346,0.307,0.122,0.078,0.085,0.359,0.114,1.320,0.113,0.472,0.026,0.428,3.159,0.020,0.000,0.011,0.009,0.026,0.056,0.853,0.020,-0.069,0.555,202.575,39.218,2084.997
2070-2100_MAM,288.904,272.413,18.481,30.982,2.796,0.039,0.000,0.039,14.179,356.196,-67.292,220.654,153.362,0.552,0.246,0.138,0.191,0.974,0.006,0.018,0.008,0.982,0.100,0.919,3.775,0.091,0.022,0.049,0.020,0.091,0.214,2.026,0.091,0.055,0.943,344.169,-24.561,2085.000
2070-2100_JJA,348.737,299.854,28.006,23.625,2.480,0.024,0.000,0.024,25.081,413.004,-64.267,242.882,178.615,0.643,0.337,0.222,0.254,0.130,0.000,0.000,0.000,0.130,0.004,0.130,0.303,0.017,0.000,0.002,0.015,0.004,0.008,1.478,0.017,0.000,0.571,208.298,154.876,2085.000
2070-2100_SON,287.032,228.631,19.196,29.181,2.257,0.017,0.000,0.017,14.603,358.554,-71.522,185.191,113.669,0.409,0.209,0.144,0.144,0.217,0.001,0.002,0.000,0.217,0.014,0.181,1.234,0.016,0.003,0.006,0.007,0.014,0.029,0.713,0.016,0.036,0.399,145.636,73.822,2085.000
