,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,330.694,250.800,24.462,32.740,4.174,0.012,0.000,0.011,20.434,388.994,-58.300,203.148,144.848,0.521,0.320,0.194,0.200,0.214,0.004,0.029,0.004,0.218,0.010,0.212,1.064,0.010,0.001,0.005,0.005,0.010,0.023,0.484,0.009,0.002,0.276,100.811,20.094,
2015-2045_DJF,281.372,192.812,15.264,43.176,4.247,0.017,0.000,0.017,11.037,340.533,-59.160,156.178,97.017,0.349,0.184,0.114,0.113,0.325,0.017,0.117,0.017,0.342,0.012,0.361,2.296,0.010,0.000,0.004,0.006,0.012,0.022,0.588,0.009,-0.036,0.417,152.055,16.964,2030.005
2015-2045_MAM,329.833,275.809,24.996,27.521,4.115,0.014,0.000,0.014,20.795,389.984,-60.151,223.405,163.254,0.588,0.351,0.193,0.224,0.343,0.000,0.000,0.000,0.343,0.018,0.331,1.108,0.018,0.001,0.010,0.007,0.018,0.046,0.691,0.017,0.012,0.333,121.607,-5.519,2030.000
2015-2045_JJA,382.650,299.323,31.929,31.981,4.336,0.005,0.000,0.005,28.830,433.950,-51.300,242.451,191.151,0.688,0.423,0.269,0.284,0.028,0.000,0.000,0.000,0.028,0.000,0.032,0.070,0.004,0.000,0.000,0.004,0.000,0.001,0.424,0.003,-0.004,0.112,40.797,27.780,2030.000
2015-2045_SON,327.939,233.953,25.490,28.437,3.998,0.010,0.000,0.010,20.896,390.591,-62.653,189.502,126.850,0.457,0.321,0.198,0.176,0.160,0.000,0.000,0.000,0.160,0.010,0.125,0.802,0.008,0.001,0.005,0.002,0.010,0.022,0.231,0.007,0.035,0.246,89.653,41.321,2030.000
2045-2075_annual,336.558,249.628,25.065,33.013,4.133,0.012,0.000,0.012,21.101,392.538,-55.979,202.199,146.220,0.526,0.323,0.199,0.203,0.219,0.002,0.007,0.002,0.221,0.010,0.211,0.963,0.010,0.001,0.005,0.005,0.010,0.022,0.467,0.009,0.008,0.280,102.188,21.674,
2045-2075_DJF,283.549,194.637,16.040,40.219,4.265,0.012,0.000,0.012,11.617,343.320,-59.771,157.656,97.885,0.352,0.196,0.119,0.116,0.292,0.009,0.029,0.008,0.301,0.013,0.301,1.831,0.011,0.002,0.005,0.005,0.013,0.026,0.453,0.010,-0.008,0.299,108.972,-4.403,2060.000
2045-2075_MAM,334.723,273.939,25.519,29.006,4.036,0.023,0.000,0.023,21.420,393.246,-58.524,221.891,163.367,0.588,0.350,0.198,0.226,0.416,0.000,0.000,0.000,0.416,0.021,0.404,1.329,0.019,0.001,0.010,0.008,0.021,0.048,0.749,0.019,0.012,0.546,199.194,44.842,2060.000
2045-2075_JJA,390.912,296.485,32.413,33.141,4.311,0.005,0.000,0.005,29.456,437.566,-46.654,240.152,193.498,0.697,0.423,0.276,0.288,0.036,0.000,0.000,0.000,0.036,0.000,0.036,0.073,0.004,0.000,0.000,0.004,0.000,0.000,0.445,0.003,-0.000,0.118,42.985,28.694,2060.000
2045-2075_SON,336.022,232.203,26.125,29.790,3.922,0.007,0.000,0.007,21.734,395.097,-59.075,188.084,129.010,0.464,0.320,0.204,0.181,0.134,0.000,0.000,0.000,0.134,0.007,0.105,0.630,0.006,0.001,0.003,0.002,0.007,0.015,0.218,0.006,0.030,0.157,57.243,17.009,2060.000
2070-2100_annual,338.212,251.903,25.514,31.431,4.234,0.010,0.000,0.010,21.442,394.328,-56.116,204.041,147.925,0.533,0.335,0.204,0.207,0.181,0.000,0.001,0.000,0.181,0.008,0.173,0.791,0.008,0.001,0.003,0.003,0.008,0.015,0.332,0.007,0.008,0.237,86.432,20.703,
2070-2100_DJF,285.906,196.722,16.749,38.726,4.232,0.011,0.000,0.011,12.210,346.160,-60.254,159.345,99.090,0.357,0.205,0.123,0.119,0.255,0.001,0.002,0.001,0.256,0.007,0.252,1.498,0.006,0.000,0.002,0.004,0.007,0.014,0.353,0.005,0.004,0.272,99.294,5.563,2084.997
2070-2100_MAM,336.417,278.763,26.117,26.005,4.113,0.015,0.000,0.015,21.913,395.912,-59.495,225.798,166.303,0.599,0.368,0.204,0.232,0.297,0.000,0.000,0.000,0.297,0.012,0.292,0.941,0.012,0.001,0.006,0.005,0.013,0.026,0.505,0.011,0.006,0.361,131.911,21.351,2085.000
2070-2100_JJA,394.928,295.359,32.792,33.074,4.413,0.005,0.000,0.005,29.785,439.478,-44.551,239.241,194.690,0.701,0.431,0.281,0.291,0.032,0.000,0.000,0.000,0.032,0.000,0.033,0.067,0.003,0.000,0.000,0.003,0.000,0.000,0.282,0.002,-0.001,0.115,41.938,29.031,2085.000
2070-2100_SON,334.548,235.525,26.235,28.024,4.178,0.008,0.000,0.008,21.683,394.838,-60.290,190.776,130.486,0.470,0.335,0.205,0.183,0.138,0.000,0.000,0.000,0.138,0.012,0.117,0.670,0.010,0.004,0.005,0.002,0.012,0.021,0.187,0.009,0.022,0.199,72.683,26.638,2085.000
