,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,354.734,218.459,22.658,55.529,3.049,0.035,0.000,0.035,20.380,388.855,-34.121,176.952,142.831,0.514,0.229,0.176,0.194,0.893,0.000,0.000,0.000,0.893,0.104,0.793,3.148,0.104,0.031,0.049,0.025,0.091,0.211,2.473,0.104,0.100,0.842,307.264,-20.123,
2015-2045_DJF,292.410,164.523,14.163,70.424,2.636,0.027,0.000,0.027,11.073,340.596,-48.186,133.264,85.077,0.306,0.106,0.106,0.097,0.736,0.000,0.000,0.000,0.736,0.108,0.652,4.793,0.104,0.036,0.045,0.023,0.090,0.196,2.241,0.105,0.083,0.637,232.432,-43.872,2030.005
2015-2045_MAM,342.879,254.817,22.463,48.996,3.216,0.045,0.000,0.045,19.786,384.534,-41.655,206.402,164.747,0.593,0.257,0.168,0.219,1.302,0.000,0.000,0.000,1.302,0.207,1.106,3.927,0.199,0.066,0.104,0.029,0.170,0.435,2.825,0.199,0.195,1.080,394.167,-82.345,2030.000
2015-2045_JJA,433.098,256.618,30.898,47.227,3.631,0.047,0.000,0.047,30.296,442.568,-9.470,207.861,198.390,0.714,0.351,0.257,0.292,1.055,0.000,0.000,0.000,1.055,0.073,0.976,2.154,0.073,0.019,0.029,0.026,0.077,0.138,2.525,0.073,0.079,1.136,414.534,31.751,2030.000
2015-2045_SON,349.288,196.599,22.948,55.758,2.701,0.021,0.000,0.021,20.182,386.768,-37.480,159.245,121.765,0.438,0.200,0.173,0.164,0.470,0.000,0.000,0.000,0.470,0.029,0.429,1.734,0.040,0.001,0.015,0.023,0.029,0.073,2.296,0.040,0.041,0.507,185.152,13.885,2030.000
2045-2075_annual,361.194,219.561,23.360,56.144,3.084,0.038,0.000,0.038,21.236,393.520,-32.326,177.845,145.519,0.524,0.234,0.183,0.199,0.922,0.000,0.000,0.000,0.922,0.091,0.831,2.839,0.091,0.024,0.042,0.025,0.085,0.186,2.440,0.091,0.091,0.902,329.174,-7.062,
2045-2075_DJF,295.429,166.766,14.856,68.636,2.580,0.023,0.000,0.023,11.671,343.456,-48.027,135.080,87.053,0.313,0.111,0.110,0.101,0.584,0.000,0.000,0.000,0.584,0.058,0.515,3.281,0.058,0.017,0.022,0.019,0.048,0.101,1.847,0.058,0.069,0.547,199.729,-9.305,2060.000
2045-2075_MAM,349.540,253.273,23.032,50.264,3.179,0.049,0.000,0.049,20.494,388.225,-38.685,205.151,166.466,0.599,0.258,0.173,0.223,1.365,0.000,0.000,0.000,1.365,0.176,1.202,3.858,0.164,0.042,0.095,0.027,0.158,0.401,2.673,0.164,0.163,1.168,426.412,-72.048,2060.000
2045-2075_JJA,439.101,260.438,31.818,48.348,3.808,0.052,0.000,0.052,31.505,449.708,-10.608,210.955,200.347,0.721,0.359,0.269,0.297,1.170,0.000,0.000,0.000,1.170,0.075,1.084,2.365,0.073,0.013,0.033,0.027,0.076,0.152,2.650,0.073,0.086,1.256,458.536,36.377,2060.000
2045-2075_SON,359.420,196.500,23.571,57.584,2.754,0.026,0.000,0.026,21.090,391.707,-32.286,159.165,126.878,0.457,0.205,0.179,0.173,0.557,0.000,0.000,0.000,0.557,0.054,0.512,1.850,0.068,0.022,0.020,0.026,0.056,0.089,2.582,0.068,0.045,0.626,228.429,16.944,2060.000
2070-2100_annual,363.178,223.394,23.949,53.579,3.123,0.035,0.000,0.035,21.766,396.374,-33.196,180.949,147.753,0.532,0.246,0.189,0.203,0.862,0.000,0.000,0.000,0.862,0.083,0.778,2.576,0.083,0.022,0.039,0.022,0.080,0.174,2.179,0.083,0.083,0.834,304.304,-10.144,
2070-2100_DJF,298.157,169.887,15.559,66.003,2.562,0.016,0.000,0.016,12.267,346.310,-48.153,137.608,89.455,0.322,0.120,0.114,0.105,0.447,0.000,0.000,0.000,0.447,0.032,0.419,2.564,0.038,0.004,0.016,0.018,0.032,0.072,1.780,0.038,0.028,0.384,140.115,-26.588,2084.997
2070-2100_MAM,353.507,256.714,23.673,46.634,3.201,0.043,0.000,0.043,21.063,391.283,-37.775,207.938,170.163,0.613,0.274,0.179,0.230,1.196,0.000,0.000,0.000,1.196,0.157,1.038,3.282,0.146,0.044,0.080,0.022,0.141,0.338,2.143,0.146,0.158,1.029,375.477,-56.714,2085.000
2070-2100_JJA,440.103,262.880,32.483,46.971,3.951,0.055,0.000,0.055,32.155,453.576,-13.474,212.933,199.459,0.718,0.372,0.278,0.297,1.218,0.000,0.000,0.000,1.218,0.093,1.088,2.353,0.083,0.026,0.034,0.023,0.095,0.162,2.281,0.083,0.130,1.317,480.695,53.249,2085.000
2070-2100_SON,359.653,202.842,23.918,54.963,2.763,0.025,0.000,0.025,21.393,393.330,-33.677,164.302,130.625,0.470,0.216,0.182,0.179,0.574,0.000,0.000,0.000,0.574,0.051,0.559,2.098,0.064,0.013,0.026,0.025,0.051,0.119,2.508,0.065,0.015,0.594,216.810,-10.849,2085.000
