,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,269.195,247.494,14.463,33.701,3.545,0.029,0.002,0.028,10.139,337.693,-68.498,200.470,131.972,0.475,0.220,0.117,0.156,0.504,0.039,0.517,0.039,0.543,0.047,0.501,2.832,0.047,0.007,0.022,0.017,0.046,0.099,1.703,0.046,0.003,0.707,258.211,58.554,
2015-2045_DJF,228.969,175.365,3.798,41.903,3.792,0.039,0.006,0.033,-0.319,289.254,-60.285,142.045,81.760,0.294,0.107,0.058,0.070,0.612,0.153,2.040,0.144,0.756,0.062,0.670,5.731,0.047,0.007,0.026,0.014,0.058,0.124,1.393,0.047,-0.058,0.938,342.216,80.464,2030.005
2015-2045_MAM,268.172,268.893,13.949,40.514,4.035,0.056,0.000,0.056,9.976,335.753,-67.582,217.804,150.222,0.541,0.217,0.108,0.171,1.099,0.006,0.052,0.016,1.114,0.109,1.054,4.250,0.103,0.019,0.056,0.028,0.109,0.242,2.751,0.103,0.044,1.347,491.599,69.264,2030.000
2015-2045_JJA,315.750,312.913,24.377,23.239,3.179,0.010,0.000,0.010,20.286,386.906,-71.157,253.459,182.303,0.656,0.342,0.184,0.248,0.099,0.000,0.000,0.000,0.099,0.004,0.107,0.241,0.021,0.001,0.002,0.018,0.003,0.007,1.830,0.021,-0.008,0.249,91.047,44.256,2030.000
2015-2045_SON,263.046,231.237,15.534,29.257,3.175,0.012,0.000,0.012,10.414,337.926,-74.880,187.302,112.422,0.405,0.212,0.117,0.134,0.204,0.000,0.000,0.000,0.204,0.011,0.171,1.144,0.014,0.001,0.005,0.008,0.011,0.024,0.824,0.014,0.033,0.296,107.967,40.459,2030.000
2045-2075_annual,274.595,245.954,15.343,33.442,3.393,0.030,0.001,0.029,11.007,341.866,-67.271,199.222,131.952,0.475,0.223,0.122,0.159,0.516,0.019,0.142,0.018,0.534,0.041,0.494,2.572,0.041,0.006,0.020,0.015,0.039,0.090,1.495,0.041,0.022,0.716,261.164,66.111,
2045-2075_DJF,230.870,176.680,4.938,38.787,3.641,0.032,0.003,0.029,0.478,292.627,-61.758,143.111,81.353,0.293,0.115,0.062,0.073,0.518,0.076,0.573,0.071,0.588,0.031,0.569,4.431,0.024,0.000,0.013,0.011,0.031,0.065,1.076,0.024,-0.052,0.758,276.743,60.271,2060.000
2045-2075_MAM,272.342,267.406,14.750,40.717,3.811,0.058,0.000,0.058,10.710,339.155,-66.813,216.599,149.786,0.539,0.219,0.112,0.173,1.119,0.000,0.000,0.002,1.121,0.113,1.040,4.180,0.102,0.018,0.060,0.024,0.108,0.261,2.373,0.102,0.079,1.398,510.321,93.572,2060.000
2045-2075_JJA,323.967,309.673,25.106,24.315,3.076,0.015,0.000,0.015,21.230,391.942,-67.975,250.835,182.860,0.658,0.343,0.191,0.251,0.168,0.000,0.000,0.000,0.168,0.002,0.179,0.380,0.018,0.000,0.001,0.017,0.002,0.004,1.724,0.018,-0.011,0.362,131.984,60.148,2060.000
2045-2075_SON,270.312,228.530,16.388,30.017,3.044,0.014,0.000,0.014,11.413,342.799,-72.488,185.110,112.622,0.405,0.212,0.123,0.137,0.257,0.001,0.001,0.001,0.258,0.017,0.185,1.321,0.019,0.004,0.007,0.008,0.016,0.031,0.789,0.019,0.072,0.341,124.421,50.170,2060.000
2070-2100_annual,276.947,248.278,16.147,30.969,3.341,0.026,0.000,0.026,11.609,344.748,-67.801,201.105,133.304,0.480,0.233,0.127,0.163,0.468,0.013,0.102,0.013,0.481,0.038,0.443,2.214,0.038,0.007,0.018,0.014,0.035,0.081,1.346,0.038,0.025,0.634,231.320,55.723,
2070-2100_DJF,232.618,178.780,6.090,35.657,3.504,0.024,0.002,0.023,1.253,295.935,-63.316,144.812,81.495,0.293,0.124,0.066,0.075,0.439,0.053,0.414,0.053,0.492,0.025,0.450,3.382,0.019,0.000,0.010,0.009,0.025,0.051,0.934,0.019,-0.011,0.586,213.884,42.545,2084.997
2070-2100_MAM,275.158,269.917,15.640,37.389,3.752,0.053,0.000,0.053,11.376,342.367,-67.209,218.633,151.424,0.545,0.232,0.118,0.179,1.045,0.000,0.000,0.000,1.045,0.107,0.977,3.835,0.097,0.023,0.053,0.021,0.097,0.230,2.110,0.097,0.068,1.263,460.888,69.115,2085.000
2070-2100_JJA,328.969,310.407,25.816,23.124,3.099,0.014,0.000,0.014,21.880,395.440,-66.470,251.430,184.959,0.666,0.354,0.198,0.256,0.151,0.000,0.000,0.000,0.151,0.004,0.150,0.340,0.018,0.000,0.002,0.016,0.004,0.009,1.566,0.018,0.000,0.346,126.453,65.147,2085.000
2070-2100_SON,270.112,232.494,16.857,27.762,3.006,0.014,0.000,0.014,11.727,344.303,-74.191,188.320,114.129,0.411,0.220,0.126,0.139,0.233,0.000,0.000,0.000,0.233,0.016,0.193,1.313,0.017,0.003,0.006,0.008,0.015,0.032,0.761,0.018,0.040,0.336,122.534,45.724,2085.000
