,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
2015-2045_annual,363.491,234.710,25.836,43.077,2.721,0.016,0.000,0.016,23.459,405.191,-41.699,190.115,148.416,0.534,0.268,0.204,0.209,0.425,0.000,0.000,0.000,0.425,0.022,0.408,1.269,0.022,0.003,0.010,0.009,0.022,0.046,0.902,0.022,0.018,0.379,138.385,-18.343,
2015-2045_DJF,304.821,179.829,18.385,56.865,2.399,0.014,0.000,0.014,14.579,357.735,-52.913,145.661,92.748,0.334,0.146,0.134,0.115,0.308,0.000,0.000,0.000,0.308,0.021,0.306,1.682,0.023,0.003,0.011,0.009,0.021,0.049,0.873,0.023,0.002,0.346,126.343,6.253,2030.005
2015-2045_MAM,352.438,271.532,26.175,31.925,2.795,0.016,0.000,0.016,23.142,402.429,-49.991,219.941,169.950,0.612,0.313,0.203,0.237,0.471,0.000,0.000,0.000,0.471,0.021,0.454,1.150,0.019,0.000,0.010,0.009,0.021,0.049,0.905,0.019,0.017,0.374,136.480,-36.331,2030.000
2015-2045_JJA,435.937,272.925,32.473,41.722,3.365,0.019,0.000,0.019,32.487,455.429,-19.492,221.069,201.577,0.726,0.372,0.277,0.301,0.628,0.000,0.000,0.000,0.628,0.032,0.591,1.242,0.029,0.010,0.011,0.009,0.033,0.054,0.878,0.029,0.037,0.454,165.870,-60.387,2030.000
2015-2045_SON,359.595,213.264,26.173,42.050,2.316,0.014,0.000,0.014,23.456,404.245,-44.649,172.744,128.094,0.461,0.237,0.203,0.180,0.290,0.000,0.000,0.000,0.290,0.014,0.275,1.007,0.017,0.001,0.006,0.010,0.014,0.031,0.951,0.017,0.015,0.341,124.462,17.961,2030.000
2045-2075_annual,368.759,234.236,26.476,43.598,2.726,0.017,0.000,0.017,24.286,409.804,-41.045,189.732,148.686,0.535,0.270,0.211,0.211,0.455,0.000,0.000,0.000,0.455,0.027,0.428,1.196,0.026,0.009,0.009,0.009,0.028,0.042,0.880,0.026,0.027,0.402,146.748,-19.077,
2045-2075_DJF,308.081,181.662,19.104,54.053,2.374,0.013,0.000,0.013,15.231,360.986,-52.904,147.146,94.242,0.339,0.154,0.139,0.118,0.276,0.000,0.000,0.000,0.276,0.017,0.257,1.286,0.017,0.003,0.007,0.007,0.018,0.034,0.695,0.018,0.019,0.319,116.560,16.344,2060.000
2045-2075_MAM,358.524,269.340,26.611,33.642,2.730,0.019,0.000,0.019,23.768,405.807,-47.283,218.165,170.882,0.615,0.311,0.207,0.240,0.533,0.000,0.000,0.000,0.533,0.023,0.508,1.239,0.021,0.004,0.008,0.009,0.024,0.039,0.901,0.021,0.025,0.460,167.771,-25.361,2060.000
2045-2075_JJA,436.496,273.173,33.260,42.500,3.424,0.022,0.000,0.022,33.549,461.828,-25.332,221.270,195.939,0.705,0.372,0.288,0.294,0.681,0.000,0.000,0.000,0.681,0.041,0.626,1.310,0.037,0.017,0.012,0.009,0.044,0.058,0.860,0.037,0.055,0.535,195.423,-46.562,2060.000
2045-2075_SON,370.785,211.510,26.791,44.410,2.365,0.012,0.000,0.012,24.421,409.653,-38.868,171.323,132.455,0.477,0.241,0.210,0.187,0.326,0.000,0.000,0.000,0.326,0.025,0.317,0.948,0.030,0.011,0.008,0.011,0.027,0.036,1.062,0.029,0.009,0.291,106.216,-20.058,2060.000
2070-2100_annual,370.222,237.789,26.896,42.217,2.725,0.016,0.000,0.016,24.738,412.293,-42.071,192.609,150.537,0.542,0.277,0.216,0.214,0.410,0.000,0.000,0.000,0.410,0.023,0.387,1.031,0.023,0.007,0.008,0.008,0.023,0.039,0.796,0.023,0.023,0.380,138.631,-10.955,
2070-2100_DJF,310.651,183.990,19.683,53.009,2.301,0.009,0.000,0.009,15.835,363.988,-53.337,149.032,95.695,0.345,0.158,0.143,0.121,0.174,0.000,0.000,0.000,0.174,0.004,0.172,0.808,0.008,0.000,0.001,0.007,0.004,0.006,0.715,0.007,0.002,0.228,83.160,17.618,2084.997
2070-2100_MAM,361.539,273.581,27.081,30.712,2.747,0.014,0.000,0.014,24.258,408.542,-47.003,221.600,174.597,0.629,0.324,0.212,0.247,0.456,0.000,0.000,0.000,0.456,0.016,0.432,1.027,0.014,0.002,0.006,0.007,0.016,0.029,0.679,0.014,0.024,0.331,120.773,-41.910,2085.000
2070-2100_JJA,437.424,274.969,33.719,42.240,3.497,0.023,0.000,0.023,34.048,464.862,-27.438,222.725,195.286,0.703,0.377,0.295,0.294,0.694,0.000,0.000,0.000,0.694,0.049,0.628,1.332,0.043,0.021,0.014,0.007,0.050,0.069,0.729,0.043,0.066,0.559,204.119,-40.484,2085.000
2070-2100_SON,370.125,217.355,26.962,43.124,2.345,0.017,0.000,0.017,24.637,410.834,-40.709,176.057,135.348,0.487,0.246,0.212,0.192,0.310,0.000,0.000,0.000,0.310,0.022,0.312,0.954,0.026,0.005,0.011,0.011,0.024,0.050,1.064,0.026,-0.002,0.399,145.476,21.864,2085.000
