catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,404.655,285.052,33.251,32.696,3.038,0.025,0.000,0.025,31.257,448.215,-43.561,230.892,187.331,0.674,0.378,0.288,0.281,0.463,0.000,0.000,0.000,0.463,0.042,0.412,0.911,0.039,0.023,0.012,0.003,0.041,0.053,0.331,0.038,0.050,0.594,216.649,52.436,2085.000
1,438.340,273.480,34.981,47.005,4.064,0.019,0.000,0.019,35.818,475.647,-37.307,221.519,184.212,0.663,0.375,0.313,0.281,0.344,0.000,0.000,0.000,0.344,0.034,0.308,0.769,0.032,0.017,0.012,0.003,0.027,0.055,0.321,0.031,0.035,0.444,162.164,38.292,2085.000
2,439.676,273.570,35.281,43.878,3.756,0.022,0.000,0.022,36.124,477.557,-37.881,221.591,183.710,0.661,0.380,0.318,0.281,0.399,0.000,0.000,0.000,0.399,0.039,0.358,0.863,0.036,0.019,0.013,0.004,0.032,0.061,0.394,0.035,0.041,0.516,188.343,44.839,2085.000
3,436.484,270.517,35.048,43.431,3.478,0.024,0.000,0.024,35.311,472.644,-36.160,219.119,182.959,0.659,0.366,0.314,0.279,0.688,0.000,0.000,0.000,0.688,0.074,0.613,1.465,0.070,0.042,0.020,0.008,0.078,0.092,0.839,0.070,0.076,0.568,207.288,-41.779,2085.000
4,416.290,276.729,34.312,33.999,2.783,0.029,0.000,0.029,32.995,458.641,-42.351,224.151,181.800,0.654,0.363,0.304,0.276,0.083,0.000,0.000,0.000,0.083,0.004,0.083,0.183,0.006,0.001,0.001,0.003,0.004,0.006,0.300,0.005,0.000,0.692,252.478,220.463,2085.000
5,439.523,272.486,35.408,42.574,3.533,0.023,0.000,0.023,36.124,477.594,-38.071,220.714,182.643,0.658,0.376,0.320,0.279,0.678,0.000,0.000,0.000,0.678,0.043,0.640,1.289,0.038,0.014,0.016,0.008,0.046,0.078,0.754,0.038,0.039,0.561,204.846,-42.375,2085.000
6,435.491,273.126,34.945,46.893,4.103,0.019,0.000,0.019,35.706,474.957,-39.466,221.232,181.765,0.654,0.374,0.313,0.277,0.317,0.000,0.000,0.000,0.317,0.026,0.289,0.683,0.023,0.009,0.011,0.003,0.026,0.050,0.327,0.022,0.028,0.445,162.282,48.611,2085.000
7,436.941,273.242,35.145,45.177,3.890,0.020,0.000,0.020,35.942,476.425,-39.484,221.326,181.842,0.655,0.377,0.316,0.278,0.447,0.000,0.000,0.000,0.447,0.043,0.402,0.922,0.039,0.021,0.014,0.005,0.034,0.066,0.447,0.038,0.045,0.479,174.739,13.908,2085.000
8,438.027,273.252,35.182,44.855,3.840,0.020,0.000,0.020,35.999,476.777,-38.750,221.334,182.584,0.657,0.377,0.316,0.279,0.399,0.000,0.000,0.000,0.399,0.039,0.358,0.863,0.036,0.019,0.013,0.004,0.032,0.061,0.394,0.035,0.041,0.487,177.583,34.079,2085.000
9,435.148,272.326,34.839,46.774,4.220,0.019,0.000,0.019,35.444,473.357,-38.209,220.584,182.375,0.657,0.378,0.311,0.278,0.321,0.000,0.000,0.000,0.321,0.025,0.294,0.692,0.022,0.009,0.010,0.003,0.026,0.049,0.320,0.021,0.027,0.460,167.800,52.778,2085.000
10,439.524,272.230,35.501,43.520,3.857,0.029,0.000,0.029,35.531,473.934,-34.410,220.507,186.097,0.670,0.385,0.322,0.285,0.913,0.000,0.000,0.000,0.913,0.057,0.859,1.963,0.051,0.016,0.023,0.012,0.061,0.107,1.154,0.050,0.054,0.705,257.489,-74.408,2085.000
11,442.064,273.844,35.370,42.814,3.677,0.023,0.000,0.023,36.216,478.132,-36.067,221.814,185.747,0.669,0.385,0.319,0.284,0.348,0.000,0.000,0.000,0.348,0.027,0.319,0.745,0.023,0.009,0.011,0.003,0.027,0.051,0.342,0.022,0.029,0.555,202.628,77.982,2085.000
12,419.751,276.393,34.363,33.221,2.825,0.029,0.000,0.029,33.727,463.487,-43.735,223.878,180.143,0.649,0.366,0.306,0.273,0.661,0.000,0.000,0.000,0.661,0.050,0.613,1.633,0.049,0.023,0.016,0.010,0.052,0.073,1.018,0.049,0.047,0.706,257.536,15.808,2085.000
13,436.311,273.395,35.546,39.627,3.153,0.027,0.000,0.027,35.958,476.656,-40.345,221.450,181.105,0.652,0.369,0.322,0.277,0.906,0.000,0.000,0.000,0.906,0.061,0.848,1.724,0.055,0.020,0.024,0.011,0.062,0.112,1.101,0.054,0.057,0.649,236.739,-92.636,2085.000
14,445.693,274.298,35.449,41.837,3.610,0.025,0.000,0.025,36.312,478.731,-33.038,222.182,189.143,0.681,0.391,0.320,0.289,0.523,0.000,0.000,0.000,0.523,0.059,0.467,1.006,0.056,0.035,0.015,0.006,0.061,0.071,0.597,0.055,0.056,0.609,222.262,31.829,2085.000
15,445.577,274.294,35.452,41.859,3.602,0.025,0.000,0.025,36.322,478.796,-33.219,222.178,188.959,0.680,0.390,0.320,0.289,0.523,0.000,0.000,0.000,0.523,0.059,0.467,1.006,0.056,0.035,0.015,0.006,0.061,0.071,0.597,0.055,0.056,0.605,220.989,30.556,2085.000
16,406.193,279.166,33.895,28.904,2.544,0.030,0.000,0.030,32.014,452.800,-46.607,226.124,179.518,0.646,0.363,0.298,0.271,0.125,0.000,0.000,0.000,0.125,0.004,0.127,0.259,0.013,0.001,0.002,0.011,0.004,0.010,1.043,0.013,-0.002,0.718,262.002,210.875,2085.000
17,394.796,282.006,32.934,25.657,2.576,0.028,0.000,0.028,30.664,444.921,-50.125,228.424,178.299,0.642,0.368,0.285,0.267,0.170,0.000,0.000,0.000,0.170,0.007,0.163,0.365,0.008,0.002,0.003,0.003,0.005,0.013,0.316,0.007,0.007,0.670,244.500,182.644,2085.000
18,434.670,272.092,35.550,39.084,2.756,0.050,0.000,0.050,34.644,468.557,-33.886,220.395,186.508,0.671,0.363,0.322,0.286,0.509,0.000,0.000,0.000,0.509,0.037,0.477,1.238,0.036,0.020,0.010,0.007,0.038,0.050,0.670,0.036,0.033,1.209,441.210,254.196,2085.000
19,440.008,273.340,35.569,39.527,3.092,0.039,0.000,0.039,35.423,473.345,-33.337,221.405,188.068,0.677,0.376,0.323,0.288,1.163,0.000,0.000,0.000,1.163,0.080,1.086,2.517,0.075,0.021,0.034,0.021,0.073,0.153,2.056,0.075,0.076,0.947,345.578,-78.453,2085.000
20,438.726,270.112,34.830,47.454,4.807,0.025,0.000,0.025,34.535,467.802,-29.077,218.791,189.714,0.683,0.396,0.312,0.289,0.417,0.000,0.000,0.000,0.417,0.023,0.394,0.836,0.019,0.004,0.010,0.004,0.023,0.050,0.444,0.018,0.023,0.592,215.948,65.636,2085.000
21,448.095,274.322,35.712,40.980,3.449,0.027,0.000,0.027,36.702,481.221,-33.127,222.201,189.074,0.681,0.388,0.325,0.290,0.482,0.000,0.000,0.000,0.482,0.036,0.442,1.038,0.031,0.012,0.015,0.005,0.035,0.067,0.494,0.030,0.040,0.636,232.216,59.639,2085.000
22,397.682,282.709,32.743,28.101,2.559,0.033,0.000,0.033,31.069,447.847,-50.164,228.994,178.830,0.644,0.358,0.284,0.267,0.137,0.000,0.000,0.000,0.137,0.004,0.141,0.339,0.025,0.000,0.002,0.023,0.004,0.008,2.291,0.025,-0.004,0.781,285.050,224.609,2085.000
