catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
133,368.713,275.074,28.382,33.447,4.078,0.008,0.000,0.008,24.779,411.370,-42.657,222.810,180.153,0.649,0.376,0.228,0.258,0.193,0.000,0.000,0.000,0.193,0.023,0.173,0.540,0.023,0.010,0.009,0.004,0.025,0.040,0.415,0.022,0.020,0.193,70.465,-0.784,2085.000
134,370.192,274.935,28.767,32.553,3.880,0.008,0.000,0.008,25.255,414.050,-43.858,222.697,178.839,0.644,0.374,0.232,0.257,0.157,0.000,0.000,0.000,0.157,0.022,0.138,0.412,0.023,0.011,0.008,0.004,0.024,0.035,0.386,0.022,0.020,0.201,73.400,14.983,2085.000
135,364.084,276.112,27.949,32.693,4.344,0.007,0.000,0.007,24.147,407.876,-43.793,223.651,179.858,0.647,0.382,0.223,0.257,0.193,0.000,0.000,0.000,0.193,0.023,0.173,0.540,0.023,0.010,0.009,0.004,0.025,0.040,0.415,0.022,0.020,0.173,63.140,-8.109,2085.000
136,368.902,275.513,28.716,31.991,3.871,0.008,0.000,0.008,25.194,413.720,-44.818,223.165,178.347,0.642,0.375,0.232,0.257,0.220,0.000,0.000,0.000,0.220,0.028,0.196,0.626,0.029,0.014,0.010,0.005,0.022,0.044,0.528,0.029,0.024,0.199,72.717,-9.339,2085.000
137,361.502,275.746,28.062,29.971,4.335,0.008,0.000,0.008,24.145,407.935,-46.433,223.355,176.921,0.637,0.388,0.224,0.253,0.214,0.000,0.000,0.000,0.214,0.027,0.191,0.641,0.028,0.012,0.010,0.005,0.029,0.046,0.498,0.027,0.023,0.182,66.524,-12.967,2085.000
138,366.477,274.944,28.606,31.032,3.856,0.008,0.000,0.008,25.020,412.789,-46.313,222.705,176.392,0.635,0.374,0.230,0.253,0.256,0.000,0.000,0.000,0.256,0.032,0.229,0.720,0.034,0.016,0.012,0.006,0.026,0.051,0.636,0.033,0.027,0.196,71.623,-24.016,2085.000
139,366.491,274.344,28.781,29.414,3.705,0.009,0.000,0.009,25.174,413.664,-47.173,222.218,175.046,0.630,0.373,0.233,0.252,0.187,0.000,0.000,0.000,0.187,0.016,0.174,0.573,0.016,0.005,0.008,0.003,0.017,0.034,0.336,0.015,0.013,0.225,82.184,13.097,2085.000
140,365.915,273.775,28.916,28.077,3.763,0.010,0.000,0.010,25.303,414.401,-48.486,221.758,173.272,0.624,0.379,0.234,0.250,0.219,0.000,0.000,0.000,0.219,0.020,0.202,0.658,0.020,0.007,0.009,0.004,0.018,0.039,0.430,0.019,0.016,0.230,83.835,2.946,2085.000
141,350.285,279.836,27.963,24.086,4.348,0.008,0.000,0.008,23.740,405.817,-55.532,226.667,171.136,0.616,0.402,0.224,0.244,0.167,0.000,0.000,0.000,0.167,0.014,0.155,0.540,0.014,0.004,0.007,0.003,0.016,0.030,0.292,0.014,0.011,0.185,67.526,5.990,2085.000
142,354.272,278.461,28.252,24.723,4.402,0.008,0.000,0.008,24.081,407.650,-53.377,225.554,172.176,0.620,0.405,0.227,0.246,0.196,0.000,0.000,0.000,0.196,0.017,0.182,0.584,0.016,0.005,0.008,0.004,0.018,0.035,0.350,0.016,0.014,0.198,72.289,0.101,2085.000
143,357.380,272.720,28.486,25.013,3.577,0.011,0.000,0.011,24.649,410.853,-53.473,220.903,167.430,0.603,0.372,0.230,0.240,0.164,0.000,0.000,0.000,0.164,0.007,0.161,0.436,0.007,0.001,0.004,0.003,0.007,0.017,0.309,0.006,0.002,0.253,92.259,31.120,2085.000
144,358.484,275.118,28.408,25.686,3.854,0.010,0.000,0.010,24.550,410.264,-51.780,222.846,171.066,0.616,0.383,0.229,0.245,0.195,0.000,0.000,0.000,0.195,0.017,0.181,0.619,0.017,0.006,0.008,0.004,0.019,0.036,0.365,0.017,0.014,0.241,88.132,15.980,2085.000
