catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
182,276.224,194.587,14.477,42.241,4.467,0.015,0.000,0.015,10.341,337.185,-60.960,157.615,96.655,0.348,0.184,0.109,0.111,0.299,0.004,0.024,0.004,0.303,0.012,0.312,1.861,0.010,0.000,0.004,0.005,0.012,0.023,0.499,0.009,-0.014,0.361,131.823,14.561,2030.005
183,277.700,197.170,14.728,42.128,4.912,0.015,0.000,0.014,10.767,339.196,-61.497,159.708,98.211,0.354,0.193,0.110,0.113,0.272,0.002,0.008,0.002,0.275,0.013,0.281,1.696,0.009,0.001,0.004,0.005,0.013,0.020,0.448,0.009,-0.008,0.349,127.345,21.831,2030.005
184,276.784,195.364,14.656,42.852,4.849,0.014,0.000,0.014,10.612,338.458,-61.674,158.245,96.571,0.348,0.189,0.110,0.111,0.295,0.002,0.010,0.002,0.297,0.014,0.302,1.862,0.011,0.001,0.004,0.005,0.015,0.023,0.498,0.010,-0.007,0.345,126.045,12.286,2030.005
185,268.838,195.991,13.306,42.259,3.854,0.016,0.000,0.016,8.910,330.434,-61.596,158.752,97.156,0.350,0.168,0.102,0.109,0.266,0.005,0.026,0.005,0.271,0.011,0.285,1.964,0.009,0.000,0.004,0.005,0.011,0.021,0.470,0.008,-0.019,0.377,137.645,30.721,2030.005
186,266.874,191.931,12.793,40.561,3.171,0.019,0.000,0.019,8.286,327.523,-60.649,155.464,94.815,0.341,0.157,0.099,0.105,0.340,0.018,0.145,0.018,0.358,0.012,0.376,2.282,0.010,0.001,0.004,0.006,0.012,0.022,0.583,0.009,-0.035,0.457,166.881,26.392,2030.005
187,268.241,192.398,13.182,40.735,3.206,0.019,0.000,0.019,8.661,329.248,-61.007,155.842,94.836,0.341,0.159,0.101,0.106,0.340,0.018,0.145,0.018,0.358,0.012,0.376,2.282,0.010,0.001,0.004,0.006,0.012,0.022,0.583,0.009,-0.035,0.456,166.511,26.023,2030.005
188,261.175,193.048,11.986,42.703,3.187,0.018,0.000,0.018,7.362,323.247,-62.072,156.369,94.297,0.339,0.149,0.094,0.102,0.289,0.000,0.001,0.000,0.290,0.013,0.285,1.657,0.011,0.003,0.003,0.005,0.011,0.018,0.474,0.009,0.005,0.425,155.047,47.746,2030.005
189,262.881,195.424,12.348,42.489,3.133,0.017,0.000,0.017,7.750,325.035,-62.154,158.293,96.139,0.346,0.151,0.096,0.105,0.289,0.000,0.001,0.000,0.290,0.013,0.285,1.657,0.011,0.003,0.003,0.005,0.011,0.018,0.474,0.009,0.005,0.408,148.907,41.607,2030.005
190,272.789,181.601,12.925,37.599,2.931,0.023,0.000,0.022,8.586,328.988,-56.199,147.097,90.898,0.327,0.157,0.100,0.101,0.412,0.005,0.038,0.005,0.417,0.018,0.415,2.748,0.013,0.000,0.007,0.006,0.018,0.036,0.569,0.012,-0.002,0.540,197.154,41.336,2030.005
191,271.859,182.932,12.761,37.923,2.881,0.025,0.000,0.024,8.509,328.620,-56.761,148.175,91.414,0.329,0.154,0.099,0.101,0.433,0.000,0.002,0.000,0.433,0.021,0.425,2.700,0.015,0.001,0.008,0.006,0.020,0.039,0.586,0.014,0.008,0.589,215.067,54.922,2030.005
192,269.950,180.126,12.161,38.812,3.046,0.027,0.000,0.027,7.937,325.956,-56.006,145.902,89.896,0.324,0.152,0.096,0.098,0.468,0.006,0.042,0.006,0.474,0.024,0.466,3.053,0.017,0.001,0.009,0.007,0.023,0.047,0.697,0.016,0.002,0.658,240.276,64.201,2030.005
193,264.467,175.176,10.495,40.947,3.096,0.040,0.000,0.039,6.322,318.552,-54.085,141.892,87.808,0.316,0.140,0.087,0.092,0.468,0.006,0.042,0.006,0.474,0.024,0.466,3.053,0.017,0.001,0.009,0.007,0.023,0.047,0.697,0.016,0.002,0.956,348.951,172.876,2030.005
194,257.420,179.891,9.997,41.277,2.877,0.033,0.001,0.032,5.507,314.901,-57.481,145.712,88.231,0.318,0.133,0.085,0.091,0.433,0.000,0.002,0.000,0.433,0.021,0.425,2.700,0.015,0.001,0.008,0.006,0.020,0.039,0.586,0.014,0.008,0.798,291.298,131.153,2030.005
195,250.266,180.365,8.599,41.904,2.533,0.037,0.001,0.035,4.050,308.249,-57.982,146.095,88.113,0.317,0.119,0.077,0.087,0.930,0.002,0.007,0.002,0.932,0.123,0.794,6.714,0.103,0.032,0.054,0.017,0.108,0.238,1.727,0.101,0.137,0.880,321.098,-5.647,2030.005
196,244.164,175.790,6.814,43.044,2.882,0.041,0.003,0.038,2.455,301.324,-57.160,142.390,85.230,0.307,0.112,0.070,0.080,1.153,0.106,0.873,0.105,1.258,0.206,1.025,9.792,0.175,0.062,0.087,0.026,0.183,0.377,2.559,0.173,0.128,0.993,362.619,-74.721,2030.005
197,244.970,182.704,8.276,42.526,2.645,0.033,0.002,0.031,3.432,305.496,-60.526,147.990,87.464,0.315,0.118,0.076,0.086,0.930,0.002,0.007,0.002,0.932,0.123,0.794,6.714,0.103,0.032,0.054,0.017,0.108,0.238,1.727,0.101,0.137,0.785,286.370,-40.374,2030.005
198,241.390,183.575,7.619,43.778,2.732,0.033,0.002,0.030,2.777,302.643,-61.252,148.696,87.444,0.315,0.115,0.073,0.085,0.580,0.001,0.004,0.001,0.581,0.040,0.553,3.821,0.030,0.003,0.017,0.010,0.038,0.081,0.981,0.030,0.026,0.785,286.642,73.784,2030.005
199,284.994,177.341,13.575,37.773,4.092,0.016,0.000,0.016,9.968,335.503,-50.509,143.647,93.138,0.335,0.180,0.104,0.104,0.269,0.012,0.060,0.012,0.280,0.008,0.299,1.768,0.005,0.000,0.002,0.003,0.008,0.014,0.318,0.005,-0.030,0.387,141.388,30.506,2030.005
200,285.058,177.640,13.819,37.636,4.113,0.013,0.000,0.012,10.136,336.318,-51.259,143.888,92.629,0.333,0.182,0.106,0.104,0.269,0.012,0.060,0.012,0.280,0.008,0.299,1.768,0.005,0.000,0.002,0.003,0.008,0.014,0.318,0.005,-0.030,0.311,113.472,2.590,2030.005
201,279.401,177.557,13.086,37.491,4.051,0.019,0.000,0.019,9.117,331.519,-52.118,143.821,91.703,0.330,0.178,0.101,0.102,0.382,0.006,0.045,0.006,0.388,0.014,0.397,2.433,0.010,0.000,0.005,0.005,0.014,0.027,0.521,0.009,-0.015,0.463,168.968,20.879,2030.005
202,279.882,178.999,13.270,37.543,4.194,0.015,0.000,0.014,9.373,332.722,-52.840,144.989,92.149,0.332,0.181,0.103,0.103,0.343,0.006,0.043,0.006,0.348,0.012,0.359,2.323,0.008,0.000,0.004,0.004,0.012,0.022,0.445,0.007,-0.017,0.351,128.216,-5.681,2030.005
203,284.809,177.546,13.652,37.695,4.116,0.015,0.000,0.014,10.013,335.726,-50.917,143.812,92.895,0.334,0.181,0.105,0.104,0.402,0.002,0.010,0.002,0.405,0.017,0.404,2.583,0.013,0.000,0.007,0.005,0.017,0.039,0.494,0.012,-0.002,0.354,129.184,-22.577,2030.005
204,280.625,179.182,13.395,37.483,4.226,0.013,0.001,0.013,9.539,333.503,-52.878,145.138,92.260,0.332,0.182,0.103,0.103,0.269,0.012,0.060,0.012,0.280,0.008,0.299,1.768,0.005,0.000,0.002,0.003,0.008,0.014,0.318,0.005,-0.030,0.323,117.814,6.931,2030.005
205,276.281,178.375,12.745,37.753,4.076,0.015,0.001,0.014,8.780,329.952,-53.670,144.484,90.814,0.327,0.175,0.100,0.100,0.443,0.027,0.145,0.027,0.470,0.029,0.466,3.816,0.023,0.002,0.013,0.009,0.030,0.062,0.866,0.022,-0.023,0.348,127.151,-50.994,2030.005
206,275.442,176.337,12.013,39.695,3.845,0.018,0.001,0.018,8.268,327.600,-52.158,142.833,90.675,0.326,0.162,0.096,0.098,0.430,0.022,0.079,0.022,0.452,0.026,0.441,3.735,0.020,0.002,0.011,0.007,0.027,0.056,0.699,0.019,-0.011,0.441,160.833,-6.915,2030.005
207,267.239,181.716,12.149,38.957,2.767,0.025,0.000,0.025,7.615,324.570,-57.331,147.190,89.859,0.323,0.147,0.096,0.098,0.433,0.000,0.002,0.000,0.433,0.021,0.425,2.700,0.015,0.001,0.008,0.006,0.020,0.039,0.586,0.014,0.008,0.600,219.160,59.015,2030.005
208,271.173,181.452,12.226,37.830,3.917,0.020,0.000,0.019,7.926,325.937,-54.763,146.976,92.212,0.332,0.171,0.096,0.100,0.375,0.005,0.036,0.005,0.380,0.015,0.381,2.397,0.010,0.000,0.005,0.005,0.015,0.028,0.468,0.009,-0.006,0.476,173.810,31.286,2030.005
209,291.496,194.536,17.688,43.741,3.939,0.013,0.000,0.013,13.155,350.777,-59.280,157.574,98.294,0.354,0.194,0.130,0.120,0.293,0.004,0.023,0.004,0.298,0.012,0.308,1.849,0.010,0.000,0.004,0.005,0.012,0.023,0.492,0.009,-0.014,0.309,112.909,-2.624,2030.005
210,279.166,186.734,14.227,34.213,4.570,0.014,0.000,0.014,9.990,335.634,-56.468,151.254,94.786,0.341,0.202,0.108,0.108,0.195,0.015,0.089,0.015,0.210,0.004,0.238,1.381,0.003,0.000,0.001,0.002,0.004,0.006,0.227,0.003,-0.042,0.339,123.894,36.199,2030.005
211,240.975,177.610,6.765,44.170,2.743,0.038,0.003,0.035,2.120,299.808,-58.833,143.864,85.030,0.306,0.109,0.070,0.080,0.399,0.362,8.662,0.278,0.678,0.058,0.577,4.737,0.044,0.012,0.020,0.011,0.052,0.096,1.079,0.043,-0.178,0.923,336.904,110.806,2030.005
212,274.683,178.955,12.596,37.821,3.991,0.020,0.000,0.020,8.430,328.287,-53.604,144.954,91.350,0.329,0.174,0.099,0.100,0.382,0.006,0.045,0.006,0.388,0.014,0.397,2.433,0.010,0.000,0.005,0.005,0.014,0.027,0.521,0.009,-0.015,0.478,174.345,26.257,2030.005
213,238.074,176.180,6.626,44.587,2.825,0.036,0.004,0.032,1.700,298.027,-59.953,142.706,82.753,0.298,0.108,0.069,0.078,0.497,0.353,7.743,0.295,0.792,0.103,0.647,8.284,0.078,0.020,0.041,0.018,0.089,0.187,1.792,0.077,-0.150,0.872,318.275,53.962,2030.005
