catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
171,277.775,181.971,13.900,35.327,3.133,0.024,0.000,0.024,6.822,320.955,-43.180,147.396,104.217,0.375,0.175,0.106,0.119,0.436,0.006,0.022,0.006,0.442,0.021,0.416,2.457,0.013,0.001,0.008,0.004,0.021,0.040,0.401,0.012,0.021,0.570,207.907,51.700,2001.507
172,280.106,185.517,14.534,34.917,3.274,0.019,0.000,0.019,7.430,323.745,-43.639,150.268,106.630,0.384,0.184,0.110,0.123,0.432,0.000,0.000,0.000,0.432,0.021,0.411,2.109,0.015,0.002,0.009,0.004,0.021,0.044,0.412,0.015,0.021,0.462,168.691,13.280,2001.507
173,282.881,184.558,14.987,34.669,3.599,0.018,0.000,0.018,7.899,325.877,-42.996,149.492,106.496,0.383,0.193,0.113,0.124,0.432,0.000,0.000,0.000,0.432,0.021,0.411,2.109,0.015,0.002,0.009,0.004,0.021,0.044,0.412,0.015,0.021,0.430,156.799,1.388,2001.507
174,262.764,183.553,10.622,40.676,3.449,0.032,0.000,0.031,3.701,306.746,-43.982,148.678,104.696,0.377,0.151,0.087,0.110,0.575,0.011,0.021,0.009,0.583,0.041,0.533,3.497,0.028,0.004,0.018,0.006,0.041,0.085,0.643,0.027,0.041,0.758,276.560,72.069,2001.507
175,264.152,177.610,10.527,40.149,4.130,0.026,0.001,0.026,3.765,307.096,-42.944,143.864,100.920,0.363,0.159,0.088,0.106,0.541,0.029,0.142,0.029,0.570,0.031,0.530,3.175,0.020,0.002,0.011,0.006,0.031,0.060,0.619,0.019,0.011,0.636,231.983,31.448,2001.507
176,278.160,189.762,13.968,38.800,5.293,0.018,0.000,0.018,7.133,322.246,-44.086,153.707,109.621,0.395,0.203,0.106,0.125,0.359,0.001,0.005,0.001,0.360,0.019,0.343,1.936,0.013,0.002,0.008,0.003,0.019,0.040,0.297,0.013,0.016,0.435,158.625,28.682,2001.507
177,274.318,188.869,13.448,38.669,4.535,0.021,0.000,0.021,6.383,318.808,-44.490,152.984,108.493,0.391,0.189,0.103,0.122,0.610,0.002,0.005,0.002,0.612,0.054,0.551,3.475,0.041,0.010,0.024,0.007,0.050,0.111,0.656,0.040,0.059,0.505,184.178,-31.419,2001.507
178,277.446,191.992,13.870,39.057,5.759,0.018,0.000,0.018,7.206,322.581,-45.135,155.513,110.378,0.397,0.207,0.105,0.125,0.359,0.001,0.005,0.001,0.360,0.019,0.343,1.936,0.013,0.002,0.008,0.003,0.019,0.040,0.297,0.013,0.016,0.426,155.457,25.514,2001.507
179,278.884,189.783,14.089,38.672,5.340,0.017,0.000,0.017,7.264,322.850,-43.966,153.724,109.758,0.395,0.204,0.107,0.125,0.398,0.000,0.000,0.000,0.398,0.022,0.372,2.152,0.016,0.002,0.010,0.004,0.021,0.047,0.405,0.015,0.025,0.419,152.817,11.279,2001.507
180,269.346,185.949,12.635,36.865,3.073,0.025,0.000,0.025,5.423,314.629,-45.283,150.618,105.335,0.379,0.166,0.099,0.116,0.436,0.006,0.022,0.006,0.442,0.021,0.416,2.457,0.013,0.001,0.008,0.004,0.021,0.040,0.401,0.012,0.021,0.604,220.354,64.147,2001.507
