catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,324.736,278.398,24.588,25.525,2.841,0.018,0.000,0.018,20.700,389.702,-64.966,225.502,160.536,0.578,0.306,0.189,0.219,0.198,0.000,0.000,0.000,0.198,0.007,0.193,0.531,0.008,0.001,0.003,0.004,0.007,0.014,0.426,0.007,0.004,0.425,155.122,81.966,2085.000
1,366.827,276.372,27.803,30.978,2.868,0.010,0.000,0.010,24.990,412.519,-45.693,223.862,178.169,0.641,0.336,0.220,0.254,0.204,0.000,0.000,0.000,0.204,0.006,0.197,0.511,0.007,0.001,0.002,0.004,0.006,0.012,0.410,0.007,0.007,0.237,86.470,12.133,2085.000
2,363.508,275.332,27.124,31.343,2.842,0.013,0.000,0.013,24.321,408.852,-45.344,223.019,177.675,0.640,0.330,0.213,0.251,0.243,0.000,0.000,0.000,0.243,0.009,0.234,0.615,0.009,0.001,0.003,0.005,0.008,0.017,0.503,0.009,0.009,0.302,110.367,21.710,2085.000
3,359.505,271.526,27.268,29.806,2.685,0.013,0.000,0.013,24.359,409.149,-49.644,219.936,170.291,0.613,0.320,0.215,0.241,0.507,0.000,0.000,0.000,0.507,0.032,0.473,1.338,0.030,0.006,0.014,0.010,0.031,0.067,0.999,0.030,0.033,0.320,116.627,-67.067,2085.000
4,334.565,271.819,25.565,26.049,2.548,0.019,0.000,0.019,22.005,396.623,-62.058,220.173,158.116,0.569,0.299,0.198,0.219,0.282,0.000,0.000,0.000,0.282,0.015,0.271,0.932,0.014,0.002,0.007,0.005,0.015,0.034,0.464,0.013,0.010,0.448,163.374,59.536,2085.000
5,361.539,273.581,27.081,30.712,2.747,0.014,0.000,0.014,24.258,408.542,-47.003,221.600,174.597,0.629,0.324,0.212,0.247,0.456,0.000,0.000,0.000,0.456,0.016,0.432,1.027,0.014,0.002,0.006,0.007,0.016,0.029,0.679,0.014,0.024,0.331,120.773,-41.910,2085.000
6,366.302,276.268,27.708,31.290,2.916,0.010,0.000,0.010,24.869,411.837,-45.535,223.777,178.242,0.642,0.337,0.219,0.254,0.169,0.000,0.000,0.000,0.169,0.004,0.164,0.392,0.004,0.000,0.001,0.003,0.004,0.007,0.316,0.004,0.005,0.239,87.344,26.344,2085.000
7,364.926,275.563,27.392,31.454,2.861,0.011,0.000,0.011,24.589,410.308,-45.382,223.206,177.824,0.640,0.332,0.216,0.252,0.272,0.000,0.000,0.000,0.272,0.010,0.262,0.691,0.011,0.001,0.004,0.006,0.010,0.020,0.569,0.010,0.011,0.272,99.345,-0.089,2085.000
8,364.635,275.518,27.338,31.430,2.848,0.012,0.000,0.012,24.543,410.056,-45.421,223.170,177.749,0.640,0.331,0.215,0.252,0.243,0.000,0.000,0.000,0.243,0.009,0.234,0.615,0.009,0.001,0.003,0.005,0.008,0.017,0.503,0.009,0.009,0.279,101.678,13.021,2085.000
9,364.205,276.586,27.393,31.645,3.027,0.010,0.000,0.010,24.463,409.597,-45.391,224.035,178.643,0.643,0.338,0.216,0.253,0.171,0.000,0.000,0.000,0.171,0.003,0.166,0.394,0.004,0.000,0.001,0.003,0.003,0.006,0.309,0.003,0.005,0.252,91.857,30.016,2085.000
10,359.259,276.245,26.976,31.029,2.892,0.018,0.000,0.018,23.956,406.980,-47.721,223.759,176.038,0.634,0.329,0.212,0.248,0.689,0.000,0.000,0.000,0.689,0.037,0.642,1.939,0.031,0.002,0.017,0.011,0.038,0.078,1.132,0.030,0.047,0.442,161.278,-84.159,2085.000
11,361.821,275.067,26.816,31.391,2.859,0.014,0.000,0.014,23.979,406.996,-45.174,222.804,177.630,0.639,0.328,0.210,0.250,0.190,0.000,0.000,0.000,0.190,0.004,0.184,0.440,0.004,0.000,0.001,0.003,0.004,0.007,0.331,0.004,0.006,0.335,122.247,53.820,2085.000
12,336.623,268.987,24.616,29.083,2.592,0.023,0.000,0.023,21.184,392.522,-55.899,217.879,161.980,0.583,0.292,0.191,0.222,0.681,0.000,0.000,0.000,0.681,0.059,0.627,2.567,0.053,0.006,0.033,0.014,0.058,0.141,1.411,0.052,0.054,0.561,204.843,-43.250,2085.000
13,356.058,272.192,26.692,29.963,2.618,0.017,0.000,0.017,23.757,405.923,-49.865,220.476,170.610,0.614,0.314,0.209,0.240,0.622,0.000,0.000,0.000,0.622,0.027,0.584,1.417,0.024,0.003,0.011,0.010,0.027,0.053,0.987,0.024,0.038,0.413,150.686,-70.949,2085.000
14,359.271,274.572,26.345,31.469,2.894,0.016,0.000,0.016,23.432,404.051,-44.779,222.404,177.624,0.639,0.326,0.205,0.249,0.384,0.000,0.000,0.000,0.384,0.021,0.363,1.066,0.020,0.003,0.010,0.007,0.021,0.045,0.739,0.020,0.021,0.381,138.975,-0.630,2085.000
15,359.525,274.603,26.390,31.456,2.885,0.016,0.000,0.016,23.489,404.361,-44.836,222.429,177.593,0.639,0.326,0.205,0.249,0.384,0.000,0.000,0.000,0.384,0.021,0.363,1.066,0.020,0.003,0.010,0.007,0.021,0.045,0.739,0.020,0.021,0.378,138.014,-1.592,2085.000
16,323.940,270.207,24.398,25.404,2.506,0.022,0.000,0.022,20.496,388.673,-64.733,218.868,154.135,0.555,0.287,0.187,0.210,0.855,0.000,0.000,0.001,0.856,0.082,0.800,2.866,0.077,0.016,0.042,0.019,0.075,0.181,1.873,0.077,0.055,0.534,195.025,-124.974,2085.000
17,313.146,269.627,22.834,25.960,2.646,0.024,0.000,0.024,18.623,378.914,-65.769,218.398,152.629,0.549,0.280,0.174,0.203,0.284,0.000,0.000,0.000,0.284,0.017,0.271,0.856,0.016,0.003,0.008,0.005,0.018,0.038,0.507,0.016,0.012,0.587,214.222,109.510,2085.000
18,347.018,271.136,25.788,31.560,2.336,0.035,0.000,0.035,22.796,400.859,-53.841,219.620,165.779,0.597,0.291,0.201,0.230,0.529,0.000,0.000,0.000,0.529,0.031,0.501,1.857,0.026,0.002,0.015,0.009,0.030,0.066,0.937,0.025,0.028,0.843,307.768,115.606,2085.000
19,351.757,271.466,25.933,31.661,2.595,0.027,0.000,0.027,22.938,401.563,-49.806,219.888,170.082,0.612,0.304,0.202,0.237,1.244,0.000,0.000,0.000,1.244,0.147,1.103,4.019,0.133,0.030,0.080,0.024,0.131,0.336,2.358,0.133,0.140,0.656,239.392,-211.956,2085.000
20,358.766,279.382,27.035,31.388,3.365,0.014,0.000,0.014,23.728,405.674,-46.908,226.299,179.392,0.646,0.348,0.213,0.253,0.205,0.000,0.000,0.000,0.205,0.003,0.195,0.439,0.004,0.000,0.001,0.004,0.003,0.005,0.347,0.003,0.010,0.341,124.310,51.904,2085.000
21,359.312,273.581,26.368,31.309,2.827,0.017,0.000,0.017,23.484,404.417,-45.105,221.601,176.496,0.635,0.323,0.205,0.247,0.281,0.000,0.000,0.000,0.281,0.007,0.270,0.604,0.007,0.000,0.002,0.005,0.007,0.013,0.468,0.006,0.011,0.410,149.749,49.049,2085.000
