catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
21,443.732,275.169,33.462,41.065,3.340,0.025,0.000,0.025,34.003,464.626,-20.894,222.887,201.993,0.727,0.382,0.291,0.304,0.484,0.000,0.000,0.000,0.484,0.044,0.430,1.011,0.041,0.025,0.011,0.005,0.042,0.051,0.540,0.040,0.054,0.597,218.076,46.481,2060.000
22,381.431,285.164,30.529,28.732,2.478,0.031,0.000,0.031,28.644,433.690,-52.259,230.983,178.724,0.643,0.340,0.255,0.261,0.122,0.000,0.000,0.000,0.122,0.002,0.132,0.312,0.031,0.000,0.000,0.031,0.002,0.003,3.065,0.031,-0.011,0.750,273.670,213.975,2060.000
23,363.565,296.906,29.853,24.120,2.769,0.022,0.000,0.022,26.990,423.598,-60.033,240.494,180.461,0.650,0.364,0.244,0.262,0.594,0.000,0.000,0.000,0.594,0.025,0.565,1.516,0.028,0.004,0.009,0.016,0.026,0.044,1.563,0.029,0.029,0.525,191.624,-25.054,2060.000
24,358.514,296.743,28.982,24.412,2.613,0.025,0.000,0.025,26.148,418.931,-60.417,240.362,179.945,0.648,0.350,0.234,0.259,0.122,0.000,0.000,0.000,0.122,0.002,0.132,0.312,0.031,0.000,0.000,0.031,0.002,0.003,3.065,0.031,-0.011,0.594,216.830,157.136,2060.000
25,440.869,273.954,34.568,38.339,2.888,0.030,0.000,0.030,35.124,471.593,-30.724,221.903,191.179,0.688,0.366,0.308,0.290,0.021,0.000,0.000,0.000,0.021,0.000,0.022,0.041,0.006,0.000,0.000,0.006,0.000,0.000,0.632,0.006,-0.001,0.709,258.913,248.892,2060.000
26,443.487,275.222,33.327,41.203,3.357,0.025,0.000,0.025,33.836,463.592,-20.105,222.930,202.825,0.730,0.382,0.289,0.305,0.473,0.000,0.000,0.000,0.473,0.033,0.427,0.852,0.032,0.015,0.009,0.008,0.028,0.044,0.771,0.031,0.046,0.605,220.743,53.704,2060.000
27,422.376,275.091,33.938,34.898,2.489,0.039,0.000,0.039,33.360,461.109,-38.734,222.824,184.091,0.663,0.349,0.299,0.278,1.482,0.000,0.000,0.000,1.482,0.111,1.360,2.970,0.107,0.022,0.050,0.034,0.107,0.227,3.414,0.107,0.123,0.942,343.745,-191.558,2060.000
28,436.118,274.089,34.600,37.756,2.709,0.039,0.000,0.039,34.459,467.462,-31.344,222.012,190.668,0.686,0.361,0.308,0.290,1.142,0.000,0.000,0.000,1.142,0.083,1.039,2.359,0.075,0.026,0.029,0.019,0.084,0.137,1.907,0.075,0.103,0.945,344.980,-61.703,2060.000
29,427.864,269.883,33.257,43.362,3.852,0.040,0.000,0.040,32.159,453.553,-25.688,218.605,192.917,0.695,0.370,0.289,0.290,0.463,0.000,0.000,0.000,0.463,0.058,0.398,0.959,0.053,0.037,0.012,0.005,0.041,0.054,0.449,0.052,0.065,0.966,352.628,188.353,2060.000
30,429.809,270.896,34.622,37.496,2.511,0.048,0.000,0.048,33.839,463.627,-33.819,219.426,185.607,0.668,0.350,0.308,0.282,1.482,0.000,0.000,0.000,1.482,0.111,1.360,2.970,0.107,0.022,0.050,0.034,0.107,0.227,3.414,0.107,0.123,1.163,424.444,-110.860,2060.000
31,374.712,286.064,29.564,30.001,2.584,0.035,0.000,0.035,27.360,426.587,-51.876,231.712,179.836,0.647,0.335,0.245,0.260,0.145,0.000,0.000,0.000,0.145,0.002,0.156,0.338,0.017,0.000,0.000,0.017,0.002,0.003,1.648,0.017,-0.011,0.850,310.340,247.274,2060.000
32,403.854,273.921,32.032,37.083,2.423,0.053,0.000,0.053,30.687,445.000,-41.147,221.876,180.729,0.651,0.329,0.273,0.268,0.865,0.000,0.000,0.000,0.865,0.037,0.834,2.019,0.040,0.002,0.016,0.023,0.037,0.077,2.286,0.040,0.030,1.265,461.544,142.435,2060.000
33,389.063,281.410,30.878,32.463,2.489,0.042,0.000,0.042,29.006,435.615,-46.553,227.942,181.389,0.653,0.336,0.259,0.266,1.580,0.000,0.000,0.000,1.580,0.127,1.439,3.371,0.122,0.025,0.059,0.038,0.123,0.264,3.720,0.122,0.141,1.013,369.604,-200.121,2060.000
34,423.350,265.856,31.604,50.576,5.616,0.029,0.000,0.029,30.785,445.379,-22.029,215.344,193.315,0.696,0.383,0.266,0.286,0.611,0.000,0.000,0.000,0.611,0.058,0.545,1.332,0.053,0.029,0.016,0.008,0.056,0.075,0.815,0.052,0.065,0.696,254.117,35.954,2060.000
35,425.170,266.115,31.587,50.742,5.662,0.028,0.000,0.028,30.791,445.415,-20.245,215.553,195.308,0.703,0.385,0.266,0.289,0.611,0.000,0.000,0.000,0.611,0.058,0.545,1.332,0.053,0.029,0.016,0.008,0.056,0.075,0.815,0.052,0.065,0.678,247.504,29.342,2060.000
36,424.176,266.678,32.573,46.561,4.605,0.038,0.000,0.038,31.573,450.072,-25.895,216.009,190.114,0.684,0.372,0.279,0.284,0.704,0.000,0.000,0.000,0.704,0.062,0.633,1.496,0.057,0.030,0.017,0.010,0.060,0.080,0.958,0.057,0.070,0.904,330.111,78.168,2060.000
37,420.518,264.257,31.643,50.400,5.432,0.032,0.000,0.032,30.784,445.378,-24.860,214.048,189.188,0.681,0.377,0.266,0.280,0.704,0.000,0.000,0.000,0.704,0.062,0.633,1.496,0.057,0.030,0.017,0.010,0.060,0.080,0.958,0.057,0.070,0.761,277.695,25.752,2060.000
38,418.455,266.734,32.576,44.568,3.938,0.046,0.000,0.046,31.429,449.204,-30.749,216.054,185.306,0.667,0.357,0.279,0.277,0.704,0.000,0.000,0.000,0.704,0.062,0.633,1.496,0.057,0.030,0.017,0.010,0.060,0.080,0.958,0.057,0.070,1.112,405.699,153.756,2060.000
