catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
134,359.573,246.288,26.248,42.860,3.586,0.010,0.000,0.010,22.993,402.142,-42.569,199.493,156.924,0.565,0.296,0.206,0.221,0.174,0.000,0.000,0.000,0.174,0.014,0.165,0.684,0.014,0.005,0.005,0.003,0.013,0.024,0.341,0.013,0.009,0.247,90.067,25.163,
135,354.096,244.995,25.472,43.313,4.035,0.010,0.000,0.010,22.030,396.824,-42.729,198.446,155.717,0.561,0.298,0.198,0.217,0.222,0.000,0.000,0.000,0.222,0.015,0.212,0.874,0.015,0.004,0.006,0.005,0.014,0.029,0.457,0.014,0.010,0.246,89.693,7.286,
136,357.846,246.715,26.173,42.424,3.612,0.011,0.000,0.011,22.893,401.625,-43.779,199.839,156.060,0.562,0.296,0.206,0.219,0.244,0.000,0.000,0.000,0.244,0.015,0.233,0.992,0.015,0.002,0.007,0.005,0.015,0.033,0.540,0.014,0.010,0.252,92.104,1.905,
137,349.484,245.070,25.366,40.791,4.117,0.011,0.000,0.011,21.758,395.554,-46.070,198.506,152.436,0.549,0.305,0.198,0.212,0.250,0.000,0.000,0.000,0.250,0.019,0.236,1.095,0.019,0.005,0.008,0.006,0.018,0.037,0.553,0.018,0.014,0.259,94.592,1.945,
138,354.770,245.035,25.950,41.548,3.632,0.011,0.000,0.011,22.580,400.008,-45.237,198.478,153.241,0.552,0.296,0.204,0.215,0.290,0.000,0.000,0.000,0.290,0.019,0.275,1.145,0.019,0.003,0.009,0.007,0.019,0.041,0.667,0.018,0.014,0.260,94.722,-12.373,
139,354.026,246.880,26.145,39.763,3.512,0.011,0.000,0.011,22.715,400.845,-46.819,199.973,153.154,0.551,0.299,0.207,0.215,0.195,0.001,0.006,0.001,0.197,0.010,0.191,0.913,0.009,0.001,0.004,0.004,0.010,0.021,0.418,0.009,0.004,0.273,99.624,26.585,
140,351.708,246.321,26.127,38.637,3.672,0.012,0.000,0.012,22.641,400.552,-48.844,199.520,150.676,0.542,0.305,0.208,0.212,0.230,0.001,0.006,0.001,0.231,0.013,0.223,1.087,0.013,0.002,0.006,0.005,0.013,0.029,0.537,0.012,0.008,0.282,103.076,17.372,
141,335.493,250.115,24.820,34.753,4.322,0.011,0.000,0.011,20.888,391.291,-55.798,202.593,146.795,0.528,0.323,0.196,0.204,0.172,0.001,0.006,0.001,0.173,0.008,0.170,0.910,0.008,0.001,0.004,0.004,0.008,0.019,0.367,0.007,0.003,0.267,97.407,32.847,
142,338.953,250.137,25.146,35.247,4.423,0.011,0.000,0.011,21.265,393.252,-54.298,202.611,148.313,0.534,0.327,0.199,0.206,0.204,0.001,0.006,0.001,0.205,0.010,0.200,0.940,0.010,0.001,0.005,0.004,0.010,0.022,0.438,0.009,0.004,0.266,97.260,21.043,
143,342.310,245.357,25.555,34.795,3.524,0.013,0.000,0.013,21.808,396.297,-53.987,198.739,144.752,0.521,0.303,0.204,0.202,0.179,0.004,0.027,0.004,0.183,0.007,0.181,0.735,0.007,0.000,0.003,0.003,0.007,0.015,0.332,0.006,-0.002,0.309,112.881,44.752,
