catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
31,353.037,289.905,26.933,39.927,2.917,0.048,0.000,0.048,19.043,381.239,-28.201,234.823,206.622,0.744,0.338,0.214,0.290,0.196,0.000,0.000,0.000,0.196,0.021,0.172,0.456,0.034,0.009,0.007,0.017,0.016,0.032,1.692,0.033,0.024,1.162,424.140,349.189,2001.500
32,383.933,274.827,28.979,51.215,2.724,0.070,0.000,0.070,22.731,400.073,-16.140,222.610,206.469,0.743,0.320,0.234,0.298,1.103,0.000,0.000,0.000,1.103,0.064,1.026,2.379,0.059,0.012,0.026,0.021,0.060,0.121,2.055,0.059,0.076,1.685,615.042,218.814,2001.500
33,367.700,283.131,28.040,44.365,2.814,0.057,0.000,0.057,20.801,390.129,-22.429,229.336,206.907,0.745,0.334,0.224,0.295,2.861,0.000,0.000,0.000,2.861,0.423,2.398,6.168,0.382,0.161,0.185,0.036,0.364,0.771,3.539,0.381,0.463,1.374,501.598,-512.842,2001.500
34,393.765,268.943,28.412,64.072,5.580,0.055,0.000,0.055,24.237,408.079,-14.314,217.844,203.530,0.733,0.321,0.226,0.292,1.161,0.000,0.000,0.000,1.161,0.188,0.941,2.521,0.165,0.099,0.056,0.009,0.134,0.242,0.861,0.163,0.220,1.331,485.656,82.496,2001.500
35,392.958,269.229,28.402,63.998,5.614,0.054,0.000,0.054,24.204,407.898,-14.941,218.075,203.135,0.731,0.321,0.226,0.291,1.161,0.000,0.000,0.000,1.161,0.188,0.941,2.521,0.165,0.099,0.056,0.009,0.134,0.242,0.861,0.163,0.220,1.298,473.651,70.491,2001.500
36,398.179,269.021,29.362,60.026,4.515,0.064,0.000,0.064,24.608,410.148,-11.969,217.907,205.938,0.741,0.325,0.238,0.298,1.340,0.000,0.000,0.000,1.340,0.206,1.104,2.907,0.171,0.099,0.062,0.010,0.157,0.267,1.027,0.171,0.236,1.538,561.318,96.240,2001.500
37,394.522,267.544,28.458,64.317,5.336,0.061,0.000,0.061,24.316,408.520,-13.997,216.710,202.713,0.730,0.318,0.227,0.291,1.340,0.000,0.000,0.000,1.340,0.206,1.104,2.907,0.171,0.099,0.062,0.010,0.157,0.267,1.027,0.171,0.236,1.469,536.173,71.095,2001.500
38,397.178,268.679,29.370,58.361,3.893,0.073,0.000,0.073,24.317,408.557,-11.379,217.630,206.251,0.743,0.321,0.238,0.299,1.340,0.000,0.000,0.000,1.340,0.206,1.104,2.907,0.171,0.099,0.062,0.010,0.157,0.267,1.027,0.171,0.236,1.757,641.123,176.045,2001.500
39,394.274,271.162,29.500,53.879,2.460,0.087,0.000,0.087,23.540,404.277,-10.003,219.642,209.638,0.755,0.316,0.239,0.304,1.607,0.000,0.000,0.000,1.607,0.113,1.472,3.125,0.094,0.025,0.052,0.018,0.108,0.229,1.772,0.094,0.135,2.084,760.601,189.061,2001.500
40,355.217,286.165,26.451,45.169,2.935,0.057,0.000,0.057,18.921,380.207,-24.990,231.794,206.803,0.744,0.324,0.207,0.289,0.389,0.000,0.000,0.000,0.389,0.019,0.366,0.844,0.033,0.004,0.008,0.021,0.018,0.035,2.044,0.032,0.023,1.362,497.296,351.738,2001.500
41,377.697,275.918,27.912,53.565,2.873,0.072,0.000,0.072,21.647,394.140,-16.443,223.494,207.051,0.745,0.313,0.221,0.295,3.113,0.000,0.000,0.000,3.113,0.517,2.544,6.877,0.473,0.226,0.206,0.041,0.467,0.853,4.019,0.473,0.568,1.735,633.284,-467.852,2001.500
42,374.753,276.600,27.680,53.149,2.854,0.071,0.000,0.071,21.343,392.527,-17.774,224.046,206.273,0.743,0.311,0.219,0.293,3.113,0.000,0.000,0.000,3.113,0.517,2.544,6.877,0.473,0.226,0.206,0.041,0.467,0.853,4.019,0.473,0.568,1.701,620.800,-480.336,2001.500
43,392.934,269.483,29.351,54.786,3.058,0.080,0.000,0.080,23.685,405.169,-12.235,218.281,206.046,0.742,0.318,0.238,0.298,1.573,0.000,0.000,0.000,1.573,0.169,1.371,3.431,0.130,0.048,0.068,0.014,0.145,0.293,1.429,0.130,0.201,1.914,698.520,150.708,2001.500
44,393.850,265.492,28.806,61.289,4.224,0.078,0.000,0.078,24.135,408.090,-14.241,215.048,200.808,0.723,0.312,0.232,0.289,1.738,0.000,0.000,0.000,1.738,0.204,1.502,3.866,0.159,0.061,0.081,0.017,0.171,0.351,1.702,0.159,0.236,1.870,682.574,76.280,2001.500
45,341.146,293.651,25.411,43.540,3.185,0.044,0.000,0.044,17.474,372.518,-31.372,237.857,206.485,0.743,0.327,0.195,0.285,0.234,0.000,0.000,0.000,0.234,0.024,0.207,0.509,0.035,0.011,0.008,0.017,0.019,0.035,1.667,0.035,0.027,1.051,383.558,295.085,2001.500
