catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
181,301.994,234.733,22.764,24.689,2.503,0.011,0.000,0.011,18.120,376.623,-74.629,190.134,115.505,0.416,0.250,0.175,0.154,0.120,0.000,0.000,0.000,0.120,0.004,0.101,0.570,0.004,0.000,0.002,0.002,0.004,0.009,0.219,0.003,0.019,0.271,99.057,61.115,2030.000
182,322.513,236.256,25.111,27.769,4.218,0.010,0.000,0.010,20.334,387.592,-65.078,191.367,126.289,0.455,0.328,0.194,0.175,0.146,0.000,0.000,0.000,0.146,0.011,0.117,0.687,0.010,0.002,0.005,0.002,0.011,0.025,0.211,0.009,0.029,0.233,85.013,39.246,2030.000
183,324.809,238.199,25.408,28.177,4.620,0.010,0.000,0.010,20.615,389.045,-64.237,192.941,128.704,0.463,0.344,0.197,0.179,0.141,0.000,0.000,0.000,0.141,0.011,0.112,0.656,0.009,0.002,0.006,0.002,0.012,0.027,0.162,0.008,0.029,0.231,84.312,40.355,2030.000
184,323.571,236.717,25.191,28.465,4.547,0.010,0.000,0.010,20.392,387.864,-64.293,191.741,127.448,0.459,0.339,0.195,0.177,0.149,0.000,0.000,0.000,0.149,0.013,0.117,0.705,0.011,0.002,0.007,0.002,0.014,0.032,0.181,0.010,0.032,0.233,85.016,38.706,2030.000
185,313.980,236.908,23.863,28.045,3.565,0.011,0.000,0.011,19.157,381.452,-67.472,191.895,124.423,0.448,0.295,0.182,0.169,0.137,0.000,0.000,0.000,0.137,0.011,0.107,0.726,0.009,0.002,0.005,0.002,0.011,0.024,0.190,0.008,0.031,0.257,93.868,51.979,2030.000
186,306.388,236.279,23.612,23.516,2.978,0.009,0.000,0.009,18.804,379.744,-73.355,191.386,118.031,0.425,0.277,0.181,0.160,0.162,0.000,0.000,0.000,0.162,0.009,0.129,0.776,0.008,0.001,0.004,0.003,0.009,0.021,0.266,0.007,0.033,0.219,79.883,30.357,2030.000
187,308.280,236.367,23.959,23.709,3.014,0.009,0.000,0.009,19.156,381.548,-73.268,191.457,118.189,0.425,0.281,0.184,0.161,0.162,0.000,0.000,0.000,0.162,0.009,0.129,0.776,0.008,0.001,0.004,0.003,0.009,0.021,0.266,0.007,0.033,0.219,79.926,30.400,2030.000
188,305.660,234.510,22.594,28.441,2.871,0.012,0.000,0.012,17.977,375.400,-69.740,189.953,120.213,0.433,0.259,0.170,0.161,0.153,0.000,0.000,0.000,0.153,0.013,0.131,0.711,0.011,0.001,0.008,0.002,0.013,0.035,0.221,0.010,0.022,0.288,105.262,53.835,2030.000
189,307.729,236.012,22.911,28.559,2.814,0.012,0.000,0.012,18.397,377.566,-69.837,191.170,121.332,0.437,0.260,0.173,0.163,0.153,0.000,0.000,0.000,0.153,0.013,0.131,0.711,0.011,0.001,0.008,0.002,0.013,0.035,0.221,0.010,0.022,0.287,104.909,53.482,2030.000
190,314.560,233.150,25.036,20.836,2.854,0.008,0.000,0.008,20.412,388.315,-73.755,188.852,115.096,0.414,0.286,0.196,0.159,0.113,0.000,0.000,0.000,0.113,0.004,0.091,0.533,0.003,0.000,0.001,0.002,0.004,0.008,0.201,0.002,0.022,0.191,69.784,35.703,2030.000
