catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
158,253.447,225.712,14.509,24.836,3.563,0.007,0.000,0.007,5.189,313.542,-60.095,182.826,122.731,0.442,0.229,0.111,0.144,0.131,0.000,0.000,0.000,0.131,0.005,0.112,0.699,0.012,0.000,0.003,0.009,0.005,0.013,0.904,0.012,0.019,0.174,63.395,18.082,2001.500
159,255.504,224.923,14.626,25.498,3.552,0.007,0.000,0.007,5.497,314.951,-59.447,182.187,122.740,0.442,0.229,0.112,0.144,0.164,0.023,0.086,0.012,0.176,0.009,0.127,1.101,0.015,0.001,0.004,0.011,0.008,0.018,1.088,0.015,0.037,0.177,64.752,12.994,2001.500
160,314.592,232.879,25.201,18.099,5.053,0.001,0.000,0.001,15.140,360.830,-46.238,188.632,142.394,0.513,0.391,0.198,0.197,0.016,0.000,0.000,0.000,0.016,0.000,0.014,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.002,0.031,11.288,6.041,2001.500
161,311.456,233.613,24.773,18.212,4.331,0.002,0.000,0.002,14.720,358.755,-47.300,189.227,141.927,0.511,0.365,0.194,0.196,0.069,0.000,0.000,0.000,0.069,0.002,0.062,0.280,0.003,0.000,0.001,0.002,0.002,0.004,0.225,0.002,0.007,0.049,17.935,-5.141,2001.500
162,317.288,234.710,25.241,21.270,4.277,0.003,0.000,0.003,15.506,362.651,-45.363,190.115,144.752,0.521,0.359,0.197,0.201,0.057,0.000,0.000,0.000,0.057,0.002,0.050,0.207,0.003,0.000,0.001,0.002,0.002,0.005,0.217,0.002,0.006,0.060,22.001,2.979,2001.500
163,317.831,234.189,25.557,19.521,4.364,0.002,0.000,0.002,15.518,362.721,-44.890,189.693,144.803,0.521,0.372,0.201,0.202,0.036,0.000,0.000,0.000,0.036,0.001,0.032,0.139,0.002,0.000,0.000,0.001,0.001,0.003,0.113,0.001,0.005,0.048,17.413,5.584,2001.500
164,312.555,230.475,24.948,18.403,4.597,0.002,0.000,0.002,14.834,359.328,-46.773,186.685,139.912,0.504,0.372,0.196,0.193,0.054,0.000,0.000,0.000,0.054,0.000,0.049,0.202,0.002,0.000,0.000,0.002,0.000,0.000,0.213,0.001,0.005,0.041,14.945,-3.198,2001.500
165,309.202,232.800,24.275,20.137,3.999,0.002,0.000,0.002,14.291,356.617,-47.416,188.568,141.152,0.508,0.343,0.188,0.193,0.057,0.000,0.000,0.000,0.057,0.000,0.051,0.220,0.002,0.000,0.000,0.002,0.000,0.001,0.220,0.001,0.006,0.058,21.293,2.201,2001.500
166,306.855,232.894,23.986,18.615,3.598,0.003,0.000,0.003,14.240,356.385,-49.530,188.644,139.114,0.501,0.328,0.186,0.190,0.048,0.000,0.000,0.000,0.048,0.001,0.042,0.205,0.002,0.000,0.000,0.001,0.001,0.001,0.137,0.001,0.005,0.071,25.834,10.141,2001.500
167,320.015,234.604,26.049,18.093,3.936,0.002,0.000,0.002,16.265,366.474,-46.459,190.029,143.570,0.517,0.363,0.206,0.201,0.057,0.000,0.000,0.000,0.057,0.002,0.050,0.207,0.003,0.000,0.001,0.002,0.002,0.005,0.217,0.002,0.006,0.046,16.818,-2.204,2001.500
168,302.295,227.197,22.810,19.970,4.040,0.003,0.000,0.003,12.975,350.169,-47.874,184.030,136.156,0.490,0.327,0.176,0.183,0.051,0.000,0.000,0.000,0.051,0.001,0.044,0.217,0.002,0.000,0.000,0.002,0.001,0.001,0.180,0.001,0.007,0.062,22.693,6.187,2001.500
169,310.908,232.060,24.387,19.006,5.246,0.001,0.000,0.001,14.239,356.300,-45.391,187.969,142.577,0.513,0.385,0.190,0.196,0.025,0.000,0.000,0.000,0.025,0.000,0.021,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.004,0.031,11.284,3.517,2001.500
