catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,323.059,249.289,23.266,33.076,2.710,0.018,0.000,0.018,19.530,384.663,-61.604,201.924,140.320,0.505,0.263,0.183,0.191,0.281,0.000,0.000,0.000,0.281,0.022,0.259,0.743,0.022,0.010,0.007,0.005,0.023,0.030,0.485,0.021,0.022,0.434,158.284,56.166,
1,369.974,242.445,26.622,43.509,2.937,0.012,0.000,0.012,24.380,410.041,-40.067,196.381,156.313,0.563,0.282,0.212,0.222,0.221,0.000,0.000,0.000,0.221,0.017,0.204,0.663,0.017,0.009,0.004,0.004,0.020,0.020,0.390,0.016,0.017,0.287,104.590,24.167,
2,367.500,241.569,26.167,43.554,2.864,0.014,0.000,0.014,23.923,407.652,-40.153,195.671,155.518,0.560,0.279,0.207,0.220,0.261,0.000,0.000,0.000,0.261,0.020,0.241,0.785,0.020,0.009,0.005,0.005,0.023,0.026,0.497,0.019,0.020,0.335,122.320,27.446,
3,361.521,238.417,26.129,41.507,2.677,0.015,0.000,0.015,23.613,406.083,-44.562,193.118,148.556,0.535,0.269,0.208,0.210,0.465,0.000,0.000,0.000,0.465,0.034,0.431,1.470,0.034,0.010,0.013,0.011,0.036,0.061,1.068,0.034,0.034,0.364,132.824,-36.861,
4,333.800,241.860,24.300,34.503,2.441,0.020,0.000,0.020,20.909,391.963,-58.163,195.906,137.743,0.496,0.255,0.192,0.190,0.219,0.000,0.000,0.000,0.219,0.009,0.211,0.941,0.008,0.001,0.004,0.004,0.009,0.018,0.442,0.008,0.008,0.470,171.671,91.909,
5,364.996,240.128,26.107,42.595,2.747,0.015,0.000,0.015,23.793,407.035,-42.039,194.504,152.465,0.549,0.274,0.207,0.215,0.413,0.000,0.000,0.000,0.413,0.017,0.396,1.113,0.017,0.002,0.007,0.008,0.017,0.037,0.802,0.017,0.017,0.363,132.375,-18.451,
6,368.860,242.196,26.558,43.758,2.983,0.012,0.000,0.012,24.279,409.469,-40.610,196.178,155.569,0.560,0.282,0.211,0.220,0.190,0.000,0.000,0.000,0.190,0.008,0.182,0.565,0.008,0.001,0.003,0.004,0.008,0.015,0.357,0.007,0.008,0.286,104.300,35.247,
7,368.123,241.701,26.360,43.747,2.905,0.013,0.000,0.013,24.108,408.594,-40.470,195.778,155.307,0.559,0.279,0.209,0.220,0.290,0.000,0.000,0.000,0.290,0.022,0.269,0.874,0.022,0.010,0.006,0.006,0.025,0.030,0.572,0.021,0.022,0.310,113.204,7.451,
8,368.134,241.621,26.324,43.719,2.885,0.013,0.000,0.013,24.081,408.460,-40.325,195.713,155.388,0.559,0.279,0.209,0.220,0.261,0.000,0.000,0.000,0.261,0.020,0.241,0.785,0.020,0.009,0.005,0.005,0.023,0.026,0.497,0.019,0.020,0.315,115.046,20.172,
9,367.158,241.796,26.311,44.230,3.092,0.012,0.000,0.012,23.931,407.556,-40.398,195.855,155.457,0.560,0.283,0.208,0.220,0.192,0.000,0.000,0.000,0.192,0.007,0.184,0.563,0.007,0.001,0.003,0.004,0.007,0.014,0.348,0.007,0.007,0.292,106.579,36.954,
10,361.923,241.153,25.897,42.921,2.921,0.018,0.000,0.018,23.256,404.219,-42.296,195.334,153.038,0.551,0.277,0.206,0.215,0.562,0.000,0.000,0.000,0.562,0.028,0.534,1.800,0.028,0.003,0.012,0.013,0.028,0.056,1.315,0.028,0.028,0.443,161.774,-43.257,
11,366.479,241.437,25.933,43.479,2.862,0.015,0.000,0.015,23.666,406.317,-39.838,195.564,155.726,0.561,0.278,0.205,0.219,0.208,0.000,0.000,0.000,0.208,0.008,0.200,0.615,0.008,0.001,0.003,0.004,0.008,0.015,0.375,0.007,0.008,0.361,131.814,56.097,
12,337.423,238.956,23.603,36.984,2.495,0.022,0.000,0.022,20.466,390.046,-52.623,193.554,140.931,0.507,0.252,0.188,0.193,0.488,0.030,0.169,0.030,0.519,0.039,0.480,2.550,0.039,0.007,0.017,0.015,0.037,0.080,1.492,0.039,0.009,0.523,191.077,1.694,
13,357.958,239.832,25.690,40.716,2.576,0.018,0.000,0.018,23.183,403.979,-46.021,194.264,148.242,0.534,0.266,0.204,0.208,0.556,0.000,0.000,0.000,0.556,0.028,0.529,1.481,0.027,0.004,0.012,0.012,0.026,0.057,1.193,0.027,0.027,0.427,155.915,-46.980,
14,364.671,241.249,25.525,43.412,2.875,0.017,0.000,0.017,23.206,403.953,-39.282,195.411,156.130,0.562,0.277,0.202,0.219,0.354,0.000,0.000,0.000,0.354,0.023,0.330,1.161,0.023,0.007,0.008,0.008,0.025,0.041,0.749,0.023,0.023,0.398,145.142,16.303,
