catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
161,321.927,296.437,26.262,19.669,5.061,0.009,0.000,0.009,15.332,361.875,-39.948,240.114,200.166,0.721,0.449,0.211,0.279,0.283,0.000,0.000,0.000,0.283,0.008,0.303,0.811,0.013,0.000,0.004,0.009,0.008,0.020,0.860,0.013,-0.021,0.215,78.316,-37.058,2001.500
162,326.206,297.908,26.912,21.523,5.080,0.008,0.000,0.008,16.160,365.990,-39.784,241.306,201.522,0.725,0.451,0.217,0.284,0.180,0.000,0.000,0.000,0.180,0.008,0.188,0.497,0.011,0.001,0.003,0.007,0.008,0.015,0.652,0.011,-0.008,0.201,73.530,0.696,2001.500
163,327.917,297.000,27.299,20.190,5.131,0.007,0.000,0.007,16.375,367.071,-39.154,240.570,201.415,0.725,0.463,0.221,0.285,0.129,0.000,0.000,0.000,0.129,0.005,0.131,0.354,0.007,0.001,0.002,0.004,0.005,0.010,0.383,0.006,-0.002,0.178,65.096,14.862,2001.500
164,323.463,292.867,26.442,19.887,4.919,0.008,0.000,0.008,15.620,363.318,-39.855,237.223,197.367,0.711,0.444,0.213,0.276,0.301,0.000,0.000,0.000,0.301,0.013,0.311,0.913,0.019,0.003,0.005,0.011,0.011,0.025,1.083,0.018,-0.010,0.188,68.566,-51.711,2001.500
165,318.307,293.988,25.411,21.896,4.684,0.010,0.000,0.010,14.778,359.079,-40.772,238.130,197.358,0.710,0.420,0.202,0.273,0.311,0.000,0.000,0.000,0.311,0.015,0.319,0.973,0.021,0.004,0.006,0.011,0.013,0.029,1.126,0.021,-0.008,0.252,91.930,-32.142,2001.500
166,316.258,296.405,25.257,20.475,4.578,0.011,0.000,0.011,14.519,357.816,-41.557,240.088,198.531,0.715,0.418,0.200,0.274,0.206,0.000,0.000,0.000,0.206,0.004,0.227,0.609,0.008,0.000,0.002,0.006,0.004,0.009,0.619,0.007,-0.020,0.270,98.692,13.364,2001.500
167,329.543,298.361,27.850,18.688,4.978,0.007,0.000,0.007,16.895,369.752,-40.210,241.673,201.463,0.725,0.467,0.227,0.287,0.180,0.000,0.000,0.000,0.180,0.008,0.188,0.497,0.011,0.001,0.003,0.007,0.008,0.015,0.652,0.011,-0.008,0.170,61.920,-10.914,2001.500
168,312.715,289.347,23.838,22.487,4.506,0.011,0.000,0.011,13.572,353.157,-40.442,234.371,193.929,0.698,0.391,0.187,0.262,0.259,0.002,0.004,0.004,0.262,0.008,0.281,0.837,0.015,0.000,0.005,0.010,0.008,0.021,0.985,0.015,-0.023,0.276,100.659,-7.253,2001.500
169,323.859,293.635,26.110,20.250,5.212,0.007,0.000,0.007,15.265,361.472,-37.613,237.845,200.231,0.721,0.447,0.209,0.279,0.091,0.000,0.000,0.000,0.091,0.001,0.101,0.254,0.003,0.000,0.000,0.002,0.001,0.002,0.212,0.002,-0.009,0.161,58.791,21.423,2001.500
170,332.840,299.204,28.472,18.248,5.046,0.006,0.000,0.006,17.491,372.753,-39.913,242.356,202.443,0.729,0.478,0.234,0.290,0.180,0.000,0.000,0.000,0.180,0.008,0.188,0.497,0.011,0.001,0.003,0.007,0.008,0.015,0.652,0.011,-0.008,0.148,53.912,-18.923,2001.500
171,318.680,296.389,25.840,20.664,3.964,0.012,0.000,0.012,15.354,362.083,-43.403,240.075,196.672,0.708,0.401,0.206,0.273,0.172,0.000,0.000,0.000,0.172,0.004,0.189,0.499,0.008,0.000,0.002,0.006,0.004,0.011,0.617,0.008,-0.017,0.285,104.207,32.360,2001.500
172,321.217,299.972,26.484,20.461,4.157,0.010,0.000,0.010,15.930,364.953,-43.736,242.977,199.241,0.717,0.418,0.212,0.279,0.180,0.000,0.000,0.000,0.180,0.008,0.188,0.497,0.011,0.001,0.003,0.007,0.008,0.015,0.652,0.011,-0.008,0.231,84.385,11.551,2001.500
173,324.506,299.130,27.013,20.424,4.498,0.009,0.000,0.009,16.373,367.125,-42.618,242.295,199.677,0.719,0.434,0.218,0.281,0.180,0.000,0.000,0.000,0.180,0.008,0.188,0.497,0.011,0.001,0.003,0.007,0.008,0.015,0.652,0.011,-0.008,0.206,75.297,2.463,2001.500
174,300.206,292.798,21.088,25.470,3.771,0.018,0.000,0.018,11.538,343.122,-42.916,237.166,194.251,0.699,0.334,0.160,0.252,0.259,0.002,0.004,0.004,0.262,0.008,0.281,0.837,0.015,0.000,0.005,0.010,0.008,0.021,0.985,0.015,-0.023,0.430,156.854,48.943,2001.500
175,303.659,290.255,21.486,24.879,4.477,0.015,0.000,0.015,11.814,344.528,-40.869,235.106,194.238,0.699,0.358,0.165,0.254,0.368,0.004,0.010,0.004,0.372,0.014,0.385,1.084,0.018,0.001,0.006,0.011,0.013,0.029,1.122,0.018,-0.017,0.363,132.669,-14.380,2001.500
176,320.317,297.781,25.309,25.815,5.085,0.011,0.000,0.011,14.948,359.788,-39.471,241.203,201.732,0.726,0.418,0.198,0.279,0.144,0.000,0.000,0.000,0.144,0.003,0.154,0.440,0.006,0.000,0.002,0.005,0.003,0.008,0.480,0.006,-0.010,0.268,97.771,39.388,2001.500
177,314.786,295.773,24.475,25.072,4.687,0.013,0.000,0.013,14.124,355.707,-40.922,239.576,198.655,0.715,0.399,0.190,0.271,0.311,0.000,0.000,0.000,0.311,0.015,0.319,0.973,0.021,0.004,0.006,0.011,0.013,0.029,1.126,0.021,-0.008,0.309,112.884,-11.188,2001.500
178,319.418,299.336,25.195,26.165,5.406,0.011,0.000,0.011,14.877,359.415,-39.997,242.462,202.465,0.729,0.425,0.197,0.279,0.144,0.000,0.000,0.000,0.144,0.003,0.154,0.440,0.006,0.000,0.002,0.005,0.003,0.008,0.480,0.006,-0.010,0.262,95.522,37.139,2001.500
179,321.433,297.955,25.519,25.700,5.083,0.011,0.000,0.011,15.126,360.673,-39.239,241.343,202.104,0.728,0.421,0.200,0.280,0.253,0.000,0.000,0.000,0.253,0.010,0.256,0.716,0.013,0.002,0.005,0.006,0.011,0.022,0.610,0.012,-0.003,0.258,94.282,-3.613,2001.500
180,308.453,300.767,24.169,22.227,3.694,0.014,0.000,0.014,13.761,354.216,-45.764,243.621,197.857,0.712,0.373,0.190,0.269,0.172,0.000,0.000,0.000,0.172,0.004,0.189,0.499,0.008,0.000,0.002,0.006,0.004,0.011,0.617,0.008,-0.017,0.331,120.878,49.030,2001.500
