catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
0,319.340,230.488,23.834,31.742,2.416,0.013,0.000,0.013,19.774,384.955,-65.615,186.695,121.080,0.436,0.242,0.182,0.165,0.254,0.000,0.000,0.000,0.254,0.009,0.260,0.803,0.010,0.000,0.004,0.006,0.009,0.021,0.633,0.010,-0.006,0.318,115.896,17.210,2085.000
1,367.152,221.857,26.848,43.836,2.476,0.012,0.000,0.012,24.366,409.183,-42.031,179.704,137.673,0.496,0.249,0.210,0.195,0.214,0.000,0.000,0.000,0.214,0.009,0.203,0.768,0.009,0.001,0.003,0.005,0.008,0.018,0.501,0.009,0.010,0.284,103.567,26.169,2085.000
2,363.583,221.015,26.268,44.181,2.415,0.013,0.000,0.013,23.751,405.858,-42.275,179.022,136.747,0.492,0.244,0.204,0.192,0.246,0.000,0.000,0.000,0.246,0.011,0.233,0.878,0.012,0.001,0.005,0.006,0.010,0.023,0.612,0.012,0.012,0.321,117.124,27.679,2085.000
3,358.480,218.242,26.396,41.794,2.273,0.014,0.000,0.014,23.663,405.469,-46.989,176.776,129.787,0.467,0.237,0.206,0.183,0.358,0.000,0.000,0.000,0.358,0.024,0.338,1.355,0.025,0.003,0.011,0.012,0.023,0.049,1.180,0.025,0.019,0.331,120.674,-11.925,2085.000
4,329.999,222.492,24.778,33.901,2.145,0.015,0.000,0.015,21.110,391.980,-61.981,180.219,118.238,0.426,0.230,0.191,0.163,0.160,0.000,0.000,0.000,0.160,0.015,0.128,0.840,0.013,0.004,0.007,0.003,0.015,0.031,0.249,0.012,0.032,0.367,133.794,82.881,2085.000
5,361.069,219.704,26.238,43.175,2.323,0.014,0.000,0.014,23.656,405.383,-44.314,177.960,133.646,0.481,0.240,0.204,0.188,0.356,0.000,0.000,0.000,0.356,0.025,0.343,1.156,0.027,0.006,0.010,0.011,0.024,0.049,1.043,0.027,0.013,0.338,123.217,-11.814,2085.000
6,366.332,221.591,26.772,44.146,2.520,0.012,0.000,0.012,24.250,408.537,-42.205,179.489,137.284,0.494,0.249,0.209,0.194,0.198,0.000,0.000,0.000,0.198,0.009,0.194,0.665,0.008,0.000,0.004,0.004,0.009,0.022,0.406,0.008,0.004,0.283,103.436,29.839,2085.000
7,364.915,221.126,26.509,44.286,2.452,0.013,0.000,0.013,23.999,407.183,-42.268,179.112,136.844,0.493,0.246,0.206,0.193,0.269,0.000,0.000,0.000,0.269,0.013,0.252,0.960,0.014,0.002,0.006,0.007,0.013,0.028,0.693,0.014,0.016,0.302,110.213,13.014,2085.000
8,364.705,221.035,26.463,44.292,2.437,0.013,0.000,0.013,23.957,406.957,-42.252,179.038,136.787,0.492,0.245,0.206,0.193,0.246,0.000,0.000,0.000,0.246,0.011,0.233,0.878,0.012,0.001,0.005,0.006,0.010,0.023,0.612,0.012,0.012,0.306,111.703,22.258,2085.000
9,364.334,221.099,26.480,44.774,2.625,0.012,0.000,0.012,23.850,406.346,-42.012,179.090,137.078,0.493,0.250,0.206,0.193,0.199,0.000,0.000,0.000,0.199,0.009,0.196,0.661,0.008,0.000,0.004,0.004,0.009,0.021,0.399,0.007,0.004,0.290,105.915,31.853,2085.000
